Gene = YRDC
index = 1586
Annotated 5SS: [ 394 1085 1329 3884]
Annotated 3SS: [ 969 1208 3740 4187]
SMsplice 5SS: [ 394 1085 1329 3884]
SMsplice 3SS: [ 969 1208 3740 4187]
top_k =  100
Partition function (log Z): 3.719746665012298

Sorted 5' Splice Sites (High to Low Probability):
Position 1085: 0.9962607828020906
Position 394: 0.9905579869184464
Position 3884: 0.9901622374140862
Position 1329: 0.9311630321557623
Position 2869: 0.01888963943778361
Position 1753: 0.016272043816104344
Position 3035: 0.014698829555066
Position 4224: 0.008346005347546443
Position 274: 0.004490111588808931
Position 840: 0.004412103364693327
Position 4292: 0.0042067227421363216
Position 1748: 0.00415377971517575
Position 1270: 0.00382467515394999
Position 1739: 0.003291955970821889
Position 797: 0.00312347360679234
Position 362: 0.001945425046939487
Position 4001: 0.0018269091615969093
Position 2612: 0.001563956578902687
Position 4164: 0.0010376356634408668
Position 449: 0.00032107198730156887
Position 4133: 0.0003074009497587259
Position 4061: 0.00029606045188062884
Position 4502: 0.0002318688713740326
Position 18: 0.0002206279931221436
Position 1034: 0.0002052892998655566
Position 22: 0.00019410182400809954
Position 1104: 0.00017964173027083967
Position 4308: 0.00017121670533532814
Position 1094: 9.6929301379935e-05
Position 1089: 4.6561936327899116e-05
Position 322: 4.4591352281612986e-05
Position 869: 4.331648463225686e-05
Position 620: 3.9526334333932054e-05
Position 745: 2.4223395603342275e-05
Position 1473: 2.3614222192191517e-05
Position 1453: 2.0706626523560518e-05
Position 251: 1.5055156328856477e-05
Position 336: 1.4596276352725574e-05
Position 980: 4.776668746551503e-06
Position 1106: 2.44089599023217e-06
Position 3926: 2.331267737261686e-06
Position 4014: 1.2181371722383826e-06
Position 7: 2.2959793463648376e-07
Position 61: 2.268138348978975e-07
Position 44: 2.0970349378998535e-07
Position 248: 1.3036238257875993e-07
Position 145: 1.2514539701137675e-07
Position 56: 1.0064714738439306e-07
Position 114: 3.947233641776009e-08
Position 1025: 2.848121116730579e-09
Position 529: 3.507466303139866e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 969: 0.9878362246477173
Position 3740: 0.975855300087093
Position 4187: 0.9356107648622282
Position 1208: 0.9338135972372822
Position 5209: 0.018793349308468765
Position 4050: 0.01759739584580387
Position 2934: 0.012637313969876026
Position 1614: 0.01039838448743281
Position 4221: 0.009877206740926316
Position 2741: 0.007626620293300635
Position 3987: 0.006379264860815654
Position 3651: 0.0061067453287969664
Position 4634: 0.0058447622088279375
Position 3680: 0.004895578002377862
Position 4275: 0.00478950542389783
Position 2721: 0.004764104503008485
Position 1575: 0.004653432726800493
Position 1621: 0.003965842986702952
Position 3628: 0.0036537933170704175
Position 1661: 0.0033402845169871443
Position 4126: 0.003253529342804749
Position 1007: 0.002860166016499292
Position 742: 0.002738041744403848
Position 4672: 0.002669841373138682
Position 685: 0.0026665810020611654
Position 2634: 0.002579075378820218
Position 2770: 0.0024902812323525526
Position 904: 0.0022195639364659594
Position 2952: 0.002061515585189975
Position 1019: 0.0019163648202944403
Position 5120: 0.001645208880473914
Position 2492: 0.001563956578902687
Position 1288: 0.001556021700703601
Position 4940: 0.0014735224936693208
Position 2805: 0.0014295580303017193
Position 1560: 0.0013598347841785958
Position 3522: 0.0012284856638112612
Position 4224: 0.0012257453865619065
Position 5132: 0.0009900134052808255
Position 4084: 0.0007425395006459399
Position 4344: 0.0007007902118063835
Position 4585: 0.0006762346133565517
Position 3860: 0.0005119965149673124
Position 880: 0.00046721238419588984
Position 4071: 0.0004312247986615211
Position 4482: 0.0003643921503091967
Position 4272: 0.0003314556739989032
Position 3630: 0.00033085637806309703
Position 1025: 0.00031064657246955704
Position 828: 0.00029406328116088776
Position 498: 0.00022108610240690943
Position 536: 0.000182788417389331
Position 3591: 0.00016268311664398497
Position 699: 0.00013111550744730074
Position 3570: 8.583768049292745e-05
Position 582: 7.129434151061975e-05
Position 750: 4.6665689304816074e-05
Position 508: 4.4082743817706256e-05
Position 835: 4.106882600541616e-05
Position 114: 3.4070323228305365e-05
Position 984: 3.402019315506614e-05
Position 672: 3.3184195457273596e-05
Position 906: 3.285696457394165e-05
Position 759: 1.9686999662863777e-05
Position 334: 1.057310339918533e-05
Position 1248: 9.80226876962029e-06
Position 669: 9.218007764744513e-06
Position 342: 9.095472986186062e-06
Position 656: 7.565623755497574e-06
Position 4060: 4.852669137349715e-06
Position 1215: 4.575974894884792e-06
Position 175: 4.3086133372317865e-06
Position 3500: 2.3479771016443156e-06
Position 1051: 2.15319703238142e-06
Position 3356: 1.6994948031570843e-06
Position 1259: 5.758243343601625e-07
Position 1392: 1.2950708458750114e-07
Position 1300: 8.836066955174415e-09
Position 1113: 6.936472524962742e-11
Position 1139: 2.492730774040423e-12
