Gene = UTS2B
index = 1544
Annotated 5SS: [  123  1906 14501 26045 48450 52465 53730 55285]
Annotated 3SS: [ 1826 14096 25987 48222 52365 53691 55190 62094]
SMsplice 5SS: [  123 48484 51820 52465]
SMsplice 3SS: [48222 51725 52365 52899]
top_k =  100
Partition function (log Z): -35.25349314641826

Sorted 5' Splice Sites (High to Low Probability):
Position 123: 0.9815355165872748
Position 4206: 0.19291580124610935
Position 486: 0.03308372941569597
Position 155: 0.005536251711408427
Position 359: 0.001930546339441613
Position 1906: 0.0018774485677178299
Position 321: 0.0015404907130753141
Position 210: 5.648813958540828e-05
Position 212: 4.644398981598597e-05
Position 214: 3.860375425898506e-05
Position 208: 3.51553502873917e-05
Position 216: 3.3781562896374905e-05
Position 218: 2.7416722031879384e-05
Position 220: 1.9003751749990803e-05
Position 53: 1.4824529872348659e-05
Position 127: 1.291441162869461e-05
Position 1159: 8.053213541233547e-06
Position 247: 8.028375769085703e-06
Position 224: 5.453262873792752e-06
Position 222: 5.116701517444596e-06
Position 226: 4.912733048405185e-06
Position 228: 3.0423449428826344e-06
Position 1733: 2.868992850600241e-06
Position 329: 2.1651151535659697e-06
Position 108: 2.3415011830586865e-07
Position 182: 1.0266978078804359e-07
Position 189: 5.7457560330461946e-08
Position 90: 6.489184145236843e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 10404: 0.2345353137220915
Position 4039: 0.19833322195945038
Position 1903: 0.09611309491362854
Position 7941: 0.07927183318443032
Position 11696: 0.07827399532493384
Position 6897: 0.06510004698125277
Position 4482: 0.06432972384345761
Position 283: 0.04866416905156114
Position 6082: 0.03238851251164068
Position 5347: 0.03171277558640657
Position 6277: 0.028801006599396065
Position 6193: 0.027796055564889365
Position 5382: 0.02637811150761392
Position 2816: 0.026016473143134107
Position 8230: 0.021706385053823253
Position 827: 0.019447230990619176
Position 4660: 0.0194115633784679
Position 6696: 0.015571756470559259
Position 3423: 0.013387425318088201
Position 442: 0.012188519767623593
Position 5218: 0.010101073488141387
Position 251: 0.006700942475197715
Position 3116: 0.006386584371469739
Position 5263: 0.006298013691792848
Position 478: 0.005542721752918424
Position 2080: 0.005071661714797853
Position 2975: 0.004306426760318312
Position 1858: 0.003923613388622366
Position 2794: 0.0037976528336970982
Position 4423: 0.003539642742888219
Position 3696: 0.003336676376216172
Position 1776: 0.0032164582656790544
Position 2575: 0.0029290440383230388
Position 2726: 0.0028411664070732753
Position 2092: 0.0026226229527292794
Position 2173: 0.0023779637529930497
Position 1826: 0.001652207287833844
Position 831: 0.0014316133113435828
Position 656: 0.0014196733092585272
Position 481: 0.001172513615262059
Position 400: 0.0006165125772512014
Position 316: 9.853792304396365e-06
Position 320: 8.675131958003687e-06
Position 353: 5.986721310007122e-06
Position 290: 4.343549279243982e-06
Position 264: 3.599117461585656e-06
