Gene = NANS
index = 910
Annotated 5SS: [  202  4259 20279 21609 24344]
Annotated 3SS: [ 4042 20178 21453 24076 26106]
SMsplice 5SS: [  202  4210 20279 21609 24265]
SMsplice 3SS: [ 4042 20178 21322 24110 26106]
top_k =  100
Partition function (log Z): -14.964892270804015

Sorted 5' Splice Sites (High to Low Probability):
Position 202: 0.999982347413872
Position 4210: 0.6151677981048267
Position 524: 0.03783333003808954
Position 4259: 0.03417085106213561
Position 7354: 0.01481300039893683
Position 3717: 0.01164185337945523
Position 439: 0.005217524899829015
Position 106: 1.1767336208314587e-05
Position 39: 4.72164965936175e-06
Position 90: 5.150809221000275e-07
Position 42: 3.2659845254467937e-07
Position 172: 1.7834119013363768e-07
Position 295: 6.359008561198128e-08
Position 367: 3.4849763232956154e-08
Position 92: 1.5835244742262745e-08
Position 303: 1.133000854765642e-08
Position 380: 7.382612506633148e-09
Position 365: 6.960888968016798e-09
Position 3: 3.630886531083037e-09
Position 326: 2.0884124886288107e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 4042: 0.6343508061901829
Position 13313: 0.21162679241522825
Position 326: 0.12925186780136094
Position 6065: 0.10514115409261351
Position 13405: 0.10296365387563373
Position 11420: 0.0789416367038685
Position 6122: 0.06510965916114494
Position 9436: 0.06477389005441853
Position 7254: 0.05751898130188144
Position 6218: 0.04672216202200353
Position 8597: 0.026311043970743485
Position 7907: 0.025107883013267454
Position 3999: 0.022225515804632712
Position 612: 0.02085967328385978
Position 6529: 0.020031725942352422
Position 3564: 0.019975532054810907
Position 7892: 0.01731728811180903
Position 4294: 0.01335082942131128
Position 4374: 0.008595555098632282
Position 8618: 0.007327898929893811
Position 6823: 0.004301551168547481
Position 3636: 0.0038761957193909477
Position 6061: 0.0037235480713061647
Position 5751: 0.003599516646535462
Position 5803: 0.0035885024794145583
Position 5906: 0.0024992930240209403
Position 1823: 0.0023411760677100888
Position 4297: 0.0021874151323270467
Position 2200: 0.0021844628259406924
Position 1583: 0.001944704020747202
Position 1210: 0.0019391907376549366
Position 581: 0.001867324794033005
Position 4336: 0.0016127192566502415
Position 1796: 0.0012435405568671982
Position 399: 0.0011096751022922715
Position 3598: 0.0008857817841151755
Position 445: 0.0008637101166196021
Position 2720: 0.0006449464564711693
Position 2305: 0.0005562860089040252
Position 7295: 0.0002428611465952867
Position 402: 0.000124942070362254
Position 462: 2.143318537019288e-06
Position 466: 7.800085346156844e-07
Position 271: 5.421200472862812e-07
