Gene = AZI2
index = 123
Annotated 5SS: [  527  8726 10635 11191 12391 16759 22296]
Annotated 3SS: [ 8504 10511 11090 12241 16699 22176 24672]
SMsplice 5SS: [  445  7616  8726 10635 11191 22296]
SMsplice 3SS: [ 7479  8504 10511 11090 22176 27202]
top_k =  100
Partition function (log Z): -9.18903595279791

Sorted 5' Splice Sites (High to Low Probability):
Position 8726: 0.9924955619023563
Position 7616: 0.945565904487836
Position 10635: 0.7486717536111831
Position 11191: 0.6716884955033706
Position 445: 0.5240622981313284
Position 456: 0.3561178582400502
Position 12391: 0.24801328746800905
Position 10425: 0.2415637930292664
Position 10709: 0.2326619102713879
Position 527: 0.08672677204671342
Position 9549: 0.06941698255948035
Position 11699: 0.056050482108932084
Position 5820: 0.04489118535151349
Position 1055: 0.036256599799076555
Position 11602: 0.017330844924353467
Position 7591: 0.013560750423441932
Position 9267: 0.011898607268260515
Position 10590: 0.009220171583434588
Position 9167: 0.0022341819879442316
Position 9433: 0.0008589589921826322
Position 9262: 1.576241960503869e-05
Position 252: 7.78446552113755e-06
Position 427: 5.5114104185998185e-06
Position 9102: 1.5997811572771933e-06
Position 8995: 7.968238628548332e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 8504: 0.9687860850337487
Position 10511: 0.7374851814606714
Position 7479: 0.5978626994436532
Position 11090: 0.5847256767794016
Position 17176: 0.3697864941428484
Position 7530: 0.36126395546762496
Position 10359: 0.27768823182557845
Position 12241: 0.2592474766358005
Position 18980: 0.2171050016761194
Position 10470: 0.2045181546566761
Position 11590: 0.13630940017348486
Position 11419: 0.10161654462796887
Position 11310: 0.09355734979402791
Position 11118: 0.06207188483713038
Position 11372: 0.06195400036689635
Position 9385: 0.05283196716322393
Position 11394: 0.04102133420072668
Position 5651: 0.025006485468820998
Position 8465: 0.023709476868608477
Position 10993: 0.022689313348563094
Position 8974: 0.015954728660126132
Position 14753: 0.013787575130980965
Position 10274: 0.011090356132373606
Position 5654: 0.01015498211014812
Position 5773: 0.009729717772544364
Position 9252: 0.009415674440978466
Position 16043: 0.008784002928257461
Position 12167: 0.008541851755127353
Position 9390: 0.0034449837878146304
Position 10907: 0.002455670548563383
Position 9011: 0.002387686837079948
Position 12750: 0.002333381670887456
Position 9365: 0.001670958220946659
Position 9415: 0.0014702856098958363
Position 11425: 0.001457506562597071
Position 10399: 0.0013357044199717803
Position 10934: 0.0010523315797427402
Position 11014: 0.0009506275252428581
Position 1015: 0.0006858265255322004
Position 900: 0.0006561800232236714
Position 746: 0.000637169514004282
Position 10829: 0.0006252512933323698
Position 822: 0.00044101403226022123
Position 841: 0.0003815321203899069
Position 957: 0.000375101877698693
Position 9101: 0.00014271450632410268
Position 10812: 0.00011678680972415715
Position 9173: 1.5382233445034045e-06
