Gene = SMCP
index = 1279
Annotated 5SS: [130]
Annotated 3SS: [6085]
SMsplice 5SS: [ 130 2753]
SMsplice 3SS: [2676 6085]
top_k =  100
Partition function (log Z): -8.817576569586564

Sorted 5' Splice Sites (High to Low Probability):
Position 130: 0.9897791614910907
Position 2753: 0.5808292429949449
Position 1740: 0.06718901163747452
Position 1766: 0.019277183869659074
Position 2845: 0.017292793750258103
Position 4118: 0.012520437468164666
Position 1260: 0.009165906519143063
Position 606: 0.009070939631584878
Position 1543: 0.007612537952547685
Position 515: 0.0075562811414073405
Position 376: 0.005109631226104113
Position 2553: 0.0036676486701314216
Position 498: 0.0027838840335344763
Position 1573: 0.0017309732204550113
Position 2029: 0.0012927366699664598
Position 2477: 0.0009752177086336888
Position 336: 0.0009307930262360172
Position 2043: 0.0009198431977050379
Position 113: 1.3139353610786534e-05
Position 111: 5.966499787463432e-06
Position 104: 1.944206966258564e-06
Position 157: 3.5630381833007176e-07
Position 115: 1.569005117381225e-07
Position 88: 1.4654096076055618e-07
Position 117: 3.4924307416040783e-08
Position 200: 1.890052254822997e-08
Position 181: 5.6796801438045785e-09
Position 191: 4.076842614782721e-10
Position 183: 2.7830771832906256e-10
Position 78: 2.561366905917634e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 2676: 0.7665648374072128
Position 6085: 0.49305283639756636
Position 3678: 0.06247425323044592
Position 1626: 0.04978994671363516
Position 5348: 0.042486925052845355
Position 5034: 0.036445307307999386
Position 4023: 0.03166078439240331
Position 6513: 0.030935148517581473
Position 2476: 0.025253608912865
Position 1572: 0.022756378455048198
Position 3962: 0.021944584661597922
Position 5094: 0.015458758827841342
Position 277: 0.013994595616016084
Position 235: 0.013241241025169131
Position 6171: 0.011981761969367401
Position 3703: 0.011941926471288973
Position 6174: 0.010900349235699313
Position 1420: 0.00993096051180702
Position 1632: 0.009598763606562581
Position 1713: 0.00935931820137876
Position 3889: 0.006760952193010771
Position 2331: 0.006105811846318025
Position 5489: 0.005022381660132169
Position 1908: 0.004370665983329994
Position 1157: 0.0034856212230102595
Position 3838: 0.0027708146885186405
Position 366: 0.0020573491984183555
Position 1481: 0.001959967300081921
Position 2612: 0.0019274276949259011
Position 4264: 0.0017668184148931997
Position 2899: 0.0017598207465927065
Position 3123: 0.0017115600826467907
Position 1085: 0.0014343259804385534
Position 1181: 0.0014142498409673216
Position 757: 0.0014071272807803783
Position 1088: 0.0009352835746569996
Position 948: 0.0007204518262571487
Position 473: 0.0006589643945648521
Position 1114: 0.0004894055423743227
Position 215: 0.0004730921565563414
Position 302: 0.00035741431869678567
Position 1140: 0.00035185159927546815
Position 1494: 1.2350400559933857e-05
