Gene = SEC61B
index = 1239
Annotated 5SS: [  66  343 5700]
Annotated 3SS: [ 244 5597 8035]
SMsplice 5SS: [  66  343 5700]
SMsplice 3SS: [ 244 5597 8035]
top_k =  100
Partition function (log Z): -5.172247028462262

Sorted 5' Splice Sites (High to Low Probability):
Position 5700: 0.9449388450169741
Position 343: 0.8985762341422318
Position 66: 0.7168177612974101
Position 1870: 0.5465307281279279
Position 1688: 0.2954574803421922
Position 2883: 0.06881027456800337
Position 6178: 0.03336545404839167
Position 2892: 0.017069651754218367
Position 2148: 0.013557567142825301
Position 170: 0.009066237505034014
Position 2442: 0.008630489472566238
Position 631: 0.005499428420190784
Position 6501: 0.0028913474103336397
Position 142: 0.0017154070283527294
Position 172: 0.0013859871475482423
Position 14: 0.0003092738750386573
Position 34: 0.00010834122557445908
Position 176: 8.892828626743048e-05
Position 28: 1.1681681750769847e-05
Position 427: 4.032269924786617e-06
Position 178: 2.7939508552466145e-06
Position 129: 2.0203127793661895e-06
Position 358: 2.016783200033279e-06
Position 249: 1.3652001220757087e-09
Position 272: 3.0798171846015853e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 5597: 1.0000000000000016
Position 8035: 0.7652705644459502
Position 244: 0.5523526101186822
Position 1590: 0.38105988719743555
Position 1768: 0.17921705018588666
Position 1790: 0.1388277985413822
Position 1687: 0.0844377428296487
Position 2575: 0.06176780268899422
Position 1648: 0.05073736228916937
Position 7962: 0.045132823243468845
Position 6318: 0.04078921946331619
Position 2865: 0.024112123633227518
Position 183: 0.022225480575795136
Position 6076: 0.019901280996394786
Position 261: 0.01963598059774109
Position 7042: 0.016336973003500142
Position 163: 0.015520087853293368
Position 6474: 0.015137423932447519
Position 2071: 0.013557567142825286
Position 145: 0.013536825312375699
Position 6332: 0.012257572883153867
Position 6296: 0.011034236980903996
Position 6524: 0.009607701363242821
Position 2358: 0.008630489472566243
Position 6820: 0.007924873156536132
Position 7720: 0.007782440952947008
Position 1556: 0.006028682821376888
Position 7068: 0.005962719422008496
Position 6087: 0.004875961706097928
Position 5869: 0.004690056131867902
Position 6132: 0.004232475935436318
Position 6055: 0.00411567661474405
Position 527: 0.003260280581164561
Position 201: 0.0032456571508653444
Position 5778: 0.002784256273058421
Position 284: 0.0024152390014938302
Position 5781: 0.0019369997032556837
Position 6806: 0.001422390267367727
Position 297: 0.0010586202554401685
Position 1613: 0.0005950293983047688
Position 1482: 0.0005838281332484369
Position 1831: 0.0005008270736675514
Position 532: 0.000182816978754627
Position 302: 0.0001560053883411616
Position 340: 4.86717484867782e-07
Position 305: 5.506790715297639e-08
