Gene = IFI6
index = 676
Annotated 5SS: [  56 2958 3721 3953]
Annotated 3SS: [2831 3642 3802 5702]
SMsplice 5SS: [  56 2946 3721 3953]
SMsplice 3SS: [2831 3642 3802 5702]
top_k =  100
Partition function (log Z): 8.391755747974534

Sorted 5' Splice Sites (High to Low Probability):
Position 3953: 0.997736344932076
Position 3721: 0.9948090434539879
Position 56: 0.892550977871361
Position 2223: 0.32721920917596103
Position 1073: 0.30935884593859764
Position 2946: 0.2446103462656178
Position 2934: 0.19284363596747447
Position 2958: 0.1717465187035943
Position 2970: 0.08108607781170411
Position 4370: 0.04498963506295144
Position 3090: 0.04327113959571449
Position 430: 0.04295205066621599
Position 2982: 0.04093636643259055
Position 3078: 0.033982385911870375
Position 2640: 0.030793966877756
Position 3066: 0.023259802701301333
Position 3054: 0.02134081424433517
Position 3006: 0.021151424678431344
Position 3114: 0.019534239365297978
Position 5483: 0.017605321958759086
Position 284: 0.016404574850296713
Position 3102: 0.016086395282962858
Position 3138: 0.013893246290206758
Position 3018: 0.012992202177089457
Position 560: 0.011620388971306994
Position 3042: 0.00958285642127061
Position 3126: 0.009534626318483315
Position 4546: 0.009325538253397879
Position 3150: 0.008342312844164201
Position 2218: 0.00796329018054747
Position 122: 0.0077983374408548385
Position 3186: 0.006788223179880044
Position 3174: 0.005198579387928201
Position 2438: 0.004449452205190574
Position 3210: 0.004307607834854113
Position 3030: 0.004238826787109981
Position 3725: 0.003645472929163979
Position 3222: 0.0033629643830463195
Position 3162: 0.0031991850207248205
Position 2879: 0.002376694773734132
Position 959: 0.0019044275882678027
Position 2994: 0.0017113710523388326
Position 3246: 0.0015280670032872669
Position 5778: 0.0014210163881166627
Position 1925: 0.0013522409582508639
Position 3888: 0.0011154473336733041
Position 5767: 0.0010618619076529336
Position 5730: 0.0009760404896720902
Position 358: 0.000687581590900368
Position 3198: 0.000617096844937164
Position 810: 0.0003615725920459583
Position 3683: 0.00020362616937532764
Position 3977: 5.334717821674768e-05
Position 3957: 1.775385125420263e-05
Position 78: 8.848123246334395e-06
Position 76: 4.157419769290766e-06
Position 4041: 1.9154226045910246e-06
Position 3865: 1.7016904953883209e-06
Position 347: 7.979354856078859e-07
Position 223: 2.2493787559323786e-07
Position 133: 2.112081005998695e-07
Position 180: 2.0910084612284467e-07
Position 114: 2.1799934381425238e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 3642: 0.998729944205616
Position 3802: 0.9981316353932119
Position 2831: 0.9970833778722249
Position 5702: 0.8622245377348384
Position 958: 0.26729984551046376
Position 2140: 0.16556730515052373
Position 4110: 0.1298147367032423
Position 2109: 0.11009647847116472
Position 5607: 0.028942837581200188
Position 2058: 0.02584262398670842
Position 5421: 0.025463637005975415
Position 2042: 0.02063699217406314
Position 2530: 0.014852544659107982
Position 2368: 0.012495057283654019
Position 898: 0.011848931107132919
Position 5891: 0.008807905254935902
Position 2477: 0.007895817140184573
Position 2154: 0.0060207063737899025
Position 415: 0.003976383697296338
Position 190: 0.002537426024176614
Position 5677: 0.0024449636292315684
Position 5475: 0.002408960665674748
Position 4106: 0.002091714552183243
Position 382: 0.001991085796021748
Position 2208: 0.001950144188950206
Position 4130: 0.0018432764795983652
Position 3811: 0.001785978879121853
Position 5641: 0.0017070630234067865
Position 1037: 0.0015459580134572074
Position 5137: 0.001516218188987712
Position 4271: 0.0014389820927740533
Position 4758: 0.0012995925393339753
Position 5657: 0.0010989203093638926
Position 4941: 0.001092928315007889
Position 4353: 0.0007547419332074063
Position 4274: 0.0007338760890485814
Position 6080: 0.0005466800473160546
Position 2751: 0.0004396294077253192
Position 859: 0.00019093901643403376
Position 984: 0.0001717401133595014
Position 353: 0.00013036629129357512
Position 398: 8.252202078821451e-05
Position 5369: 7.726219085785321e-05
Position 237: 6.210999109468288e-05
Position 1908: 5.0164269696580474e-05
Position 526: 3.5680740218175814e-05
Position 446: 3.484698920276217e-05
Position 170: 3.4814211458936315e-05
Position 892: 3.271968081879752e-05
Position 261: 1.6386728080598017e-05
Position 430: 1.1897991735455227e-05
Position 283: 1.1611583998927358e-05
Position 4208: 7.674207262514592e-06
Position 451: 4.18530281962985e-06
Position 1044: 4.102925117470994e-06
