Gene = SYF2
index = 1365
Annotated 5SS: [  50  390 3496 4376 5052 7492]
Annotated 3SS: [ 281 3369 4257 4960 7392 9061]
SMsplice 5SS: [  50  390 3496 4376 5052 7492]
SMsplice 3SS: [ 281 3340 4257 4960 7392 9061]
top_k =  100
Partition function (log Z): 14.515386076841754

Sorted 5' Splice Sites (High to Low Probability):
Position 4376: 0.9972950585685117
Position 390: 0.98514564560123
Position 7492: 0.9829828075955899
Position 5052: 0.9661625306939157
Position 50: 0.7221117240882282
Position 3496: 0.4415570473097411
Position 3646: 0.4337923429143399
Position 1867: 0.2329776433648736
Position 86: 0.12618039737568545
Position 1863: 0.08436477228384182
Position 9265: 0.028430086877792166
Position 5074: 0.02665644583550504
Position 7836: 0.02044613081172723
Position 1596: 0.017967202190820906
Position 7738: 0.012634221590413771
Position 8087: 0.011543209768011807
Position 7091: 0.011231964219897281
Position 7249: 0.010759281463285045
Position 117: 0.01059651995784393
Position 4126: 0.007306459472890413
Position 5145: 0.007181023470583604
Position 7873: 0.004718222347254504
Position 7228: 0.003799250055184709
Position 4413: 0.0023990694294028702
Position 20: 0.002122393370501895
Position 3735: 0.0019390260556462118
Position 4565: 0.0018305210545708967
Position 4744: 0.0017787864716579994
Position 8518: 0.0013806618132822387
Position 133: 0.0012234218461800598
Position 170: 0.0004123279610814374
Position 4799: 0.0004075053025764514
Position 177: 0.0003494143079892006
Position 82: 0.0003382055894853495
Position 160: 0.0002602054465138297
Position 4506: 0.0002062612628373016
Position 165: 0.00018322763471393527
Position 128: 0.00015303005480418058
Position 92: 0.00013510717397000047
Position 66: 0.00013130829293972078
Position 750: 7.732095511661213e-05
Position 199: 6.765980087536253e-05
Position 77: 5.841739724451114e-05
Position 4: 1.346096867909417e-05
Position 23: 5.0750795784108925e-06

Sorted 3' Splice Sites (High to Low Probability):
Position 9061: 0.9937749350170123
Position 4257: 0.9933036889228741
Position 4960: 0.9772915071645277
Position 7392: 0.9590248528304183
Position 281: 0.8143114210204677
Position 3340: 0.5840659031276259
Position 1746: 0.24955000050206777
Position 3369: 0.223786978050323
Position 1714: 0.06622752986998763
Position 3588: 0.05087349833240609
Position 7637: 0.033869053042117674
Position 262: 0.027410476050286067
Position 7422: 0.019499029939579807
Position 4907: 0.019352895312961003
Position 9532: 0.01579292116621258
Position 6968: 0.015622516644653806
Position 1421: 0.014354775877246677
Position 3253: 0.01184479668207689
Position 7129: 0.010167979093713243
Position 7969: 0.009228703196780853
Position 3891: 0.007306459472890413
Position 9349: 0.006821808731115161
Position 3396: 0.006717240087295145
Position 4232: 0.006388536625413063
Position 7800: 0.0032601977019647253
Position 7764: 0.003101773426615229
Position 7454: 0.0029039675916761364
Position 1513: 0.0028592042282064257
Position 8302: 0.0027761542713682086
Position 9605: 0.002718535608055226
Position 266: 0.002699235459616881
Position 295: 0.0026249016878846666
Position 4977: 0.0025889890176918036
Position 9011: 0.0021999729877301075
Position 4670: 0.0021862917742344495
Position 9547: 0.0018743135187882696
Position 7359: 0.0016276756150161234
Position 4446: 0.0016120753120274663
Position 1845: 0.0015648852766603223
Position 229: 0.0013805768035774404
Position 7835: 0.0010836252424642463
Position 4891: 0.0007666085048232812
Position 9442: 0.0007645064276156174
Position 144: 0.0006368241956505599
Position 9590: 0.0005196724798971505
Position 8671: 0.0005190467166402107
Position 8950: 0.0005136867050498413
Position 4450: 0.0004244891843320167
Position 1242: 0.0003466447054496108
Position 9644: 0.00024580572692501626
Position 189: 0.00016244295776707165
Position 1335: 0.00014269889039407926
Position 1381: 0.00010970161057352998
Position 1438: 9.871821993894001e-05
Position 241: 9.457464664072596e-05
Position 170: 8.473110839547456e-05
Position 1313: 5.545865901167364e-05
Position 636: 5.284157087456857e-05
Position 341: 4.33019245764891e-05
Position 302: 3.348046923309732e-05
Position 704: 1.8964893785305837e-05
Position 9114: 1.5096386332631065e-05
Position 329: 5.5697656682842515e-06
Position 485: 5.514490456737727e-06
Position 4202: 2.1202706764716756e-06
Position 7730: 6.474696390237848e-09
Position 344: 2.1198147918260905e-09
Position 154: 2.002962200577302e-09
Position 182: 5.399160304985275e-10
Position 305: 5.109150062799472e-10
Position 238: 4.25449761355384e-10
Position 195: 2.376619717517317e-10
Position 148: 2.1053058467674204e-11
