Gene = CPTP
index = 406
Annotated 5SS: [ 336 2266]
Annotated 3SS: [2068 2473]
SMsplice 5SS: [336]
SMsplice 3SS: [2473]
top_k =  100
Partition function (log Z): -6.521038450085029

Sorted 5' Splice Sites (High to Low Probability):
Position 336: 0.8442283410518828
Position 2266: 0.44030139189077966
Position 1197: 0.1800927179391895
Position 2673: 0.16127329681086208
Position 3060: 0.10944831768739151
Position 221: 0.08836808403569553
Position 111: 0.061301086635775416
Position 2186: 0.03521712668010465
Position 3269: 0.03477518135698837
Position 829: 0.028627599699932792
Position 1726: 0.014521576409291732
Position 1926: 0.014505039751788377
Position 2293: 0.010194559530313757
Position 62: 0.005954126237136587
Position 3120: 0.003910854690998311
Position 3162: 0.0035815448526824835
Position 2222: 0.002660741570386342
Position 2163: 0.0022329092352796386
Position 2859: 0.0013098709689778876
Position 1686: 0.0005698412544920661
Position 1844: 0.00022360496775390034
Position 682: 0.00018292630918173146
Position 23: 2.5911827867159845e-05
Position 364: 2.097229799509676e-05
Position 119: 2.0196747927810184e-05
Position 1183: 1.830467491291272e-05
Position 516: 1.771835001292589e-05
Position 311: 1.5007364806672196e-06
Position 149: 9.832858805045536e-09
Position 295: 5.330727459227602e-09
Position 274: 1.0019986672910684e-09
Position 369: 4.142661771814657e-10
Position 345: 2.397135804417133e-10
Position 306: 1.3485680515936461e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 2473: 0.6307713593460449
Position 2068: 0.4348776796501473
Position 3861: 0.27132009454818234
Position 3035: 0.21732141222728632
Position 3590: 0.103455105497659
Position 1081: 0.09138634469439433
Position 2162: 0.05732699385257983
Position 1595: 0.0487049524834594
Position 1090: 0.034161054395557985
Position 2516: 0.03391754257005427
Position 2376: 0.029300322674663242
Position 1033: 0.025077136497018804
Position 202: 0.018836910070631
Position 565: 0.01236658028331451
Position 1142: 0.0070436636023192755
Position 455: 0.006474109065151918
Position 1132: 0.004669880350114227
Position 656: 0.00465806534023575
Position 306: 0.004407457190849726
Position 424: 0.003003012355786185
Position 2357: 0.0014709121262662995
Position 1703: 0.0008618204489417561
Position 591: 0.00047138195052877374
Position 282: 0.0004712615202533899
Position 1160: 0.0004292752204990978
Position 898: 0.00037811029858370135
Position 799: 0.0002760492424314081
Position 693: 3.447919002822235e-05
Position 624: 2.469441210934282e-05
Position 598: 1.7404213112063286e-05
Position 220: 1.7053296563532908e-05
Position 824: 9.16047792077788e-06
Position 793: 9.123228564733215e-06
Position 604: 8.721930000060826e-06
Position 279: 8.62701281515012e-06
Position 726: 8.487078844145263e-06
Position 703: 6.711256713998074e-06
Position 158: 2.411556875509251e-06
