Gene = MEPCE
index = 835
Annotated 5SS: [2059 3507 3759]
Annotated 3SS: [3287 3631 3870]
SMsplice 5SS: [2059 3507 3759]
SMsplice 3SS: [3287 3631 3870]
top_k =  100
Partition function (log Z): -1.7197854840497078

Sorted 5' Splice Sites (High to Low Probability):
Position 3759: 0.997046703166883
Position 3507: 0.970497440445408
Position 2059: 0.725258415077846
Position 580: 0.2217711136357516
Position 152: 0.0579797366343066
Position 2969: 0.03519831658902978
Position 4003: 0.024152057042529804
Position 131: 0.023853770280320423
Position 904: 0.017526662695870908
Position 167: 0.012052711912768178
Position 584: 0.012010545565863059
Position 3371: 0.010469294821342465
Position 850: 0.009621214132585177
Position 110: 0.008798418153762652
Position 1916: 0.008670086083023776
Position 27: 0.008595998728724352
Position 1656: 0.008344457490208023
Position 424: 0.00730920038900578
Position 1223: 0.007117686837954424
Position 180: 0.007039387982220588
Position 224: 0.006538791355313225
Position 2095: 0.005920436953852595
Position 189: 0.005119318540700164
Position 2925: 0.005097184925632169
Position 333: 0.005092646955148018
Position 128: 0.004360046345585186
Position 481: 0.0043489873270449635
Position 4383: 0.002359037633584913
Position 3476: 0.001008521679938974
Position 3456: 0.0007005739058306775
Position 3482: 0.0004131030054618671
Position 3338: 0.0003035473571975528
Position 3375: 0.000245434972496308
Position 1000: 0.00022615963909038624
Position 3566: 0.0002254725997623557
Position 3289: 0.00015515639241385276
Position 845: 8.854224744363385e-05
Position 1066: 5.363846584537961e-05
Position 2472: 4.893916550289451e-05
Position 542: 2.8392506611100352e-05
Position 318: 2.1864325936200524e-05
Position 721: 1.854287143658596e-05
Position 3707: 3.442024419229135e-06
Position 3768: 1.161420979024597e-06
Position 3993: 3.8348226545401485e-07
Position 3943: 3.4498147560283553e-07
Position 3679: 2.31843235522044e-07
Position 3731: 9.12447867947506e-08
Position 3790: 2.660689500521806e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 3631: 0.9992570315762008
Position 3287: 0.9362866876036205
Position 3870: 0.9355839225846402
Position 1887: 0.08004718938436645
Position 1976: 0.048724467213614085
Position 3361: 0.04081899232890264
Position 2846: 0.040295501514661936
Position 2002: 0.03071206977358658
Position 4079: 0.01834011330821992
Position 4261: 0.01606749951974402
Position 4204: 0.015380768805639237
Position 4417: 0.006977693123997161
Position 3258: 0.006925442350035494
Position 4110: 0.006065432467146338
Position 1398: 0.006014534306792427
Position 4029: 0.005225997334890592
Position 3902: 0.005000361527946884
Position 4473: 0.0049825239746989864
Position 3878: 0.002601001423897451
Position 1597: 0.0022685124558630312
Position 3831: 0.0015212478963038823
Position 4155: 0.0014804431116728022
Position 4052: 0.0013841229577637247
Position 4312: 0.0008780065001217805
Position 3916: 0.00047937400836281843
Position 4299: 0.0003900538341203467
Position 3939: 0.00036779477840676847
Position 3586: 0.0003515180070509239
Position 4056: 0.00031852500612750454
Position 3704: 0.0003177153852989543
Position 3973: 0.0003110313228868927
Position 4452: 0.00020130487849148726
Position 3670: 5.99064595863618e-05
Position 2361: 4.8939165502894525e-05
Position 4323: 7.4859468951766895e-06
