Gene = STRA8
index = 1350
Annotated 5SS: [   60  8738 10878 11432 13351 14724 19891 23247]
Annotated 3SS: [ 8539 10801 11346 13323 14437 19816 23134 26438]
SMsplice 5SS: [   60  1925  8738 10878 11432 14438 14724 19891 23247]
SMsplice 3SS: [ 1840  8539 10801 11346 14264 14549 19816 23134 26438]
top_k =  100
Partition function (log Z): 3.25087087923842

Sorted 5' Splice Sites (High to Low Probability):
Position 1925: 1.0
Position 14724: 0.9885677858458817
Position 23247: 0.9736005519125833
Position 11432: 0.9725807734348381
Position 8738: 0.9197053086335764
Position 10878: 0.8628056225889903
Position 19891: 0.8580674827365792
Position 60: 0.7320945672836722
Position 14438: 0.5975052668387058
Position 283: 0.5791866181690941
Position 13496: 0.4021042553817315
Position 1643: 0.3836807623894849
Position 24540: 0.2796882757698554
Position 1521: 0.25382538377449076
Position 22981: 0.18993762533865952
Position 13549: 0.18762966260995317
Position 14323: 0.14682402118242394
Position 23968: 0.14233802304019585
Position 19992: 0.10169677840752901
Position 18889: 0.09534373469645535
Position 19710: 0.0842037703536292
Position 18680: 0.0455060040430565
Position 22139: 0.04345333428568973
Position 24192: 0.03740670172858204
Position 23005: 0.03391352346056055
Position 25216: 0.023121983677792765
Position 19957: 0.02038348036342535
Position 23799: 0.017244876856166002
Position 23238: 0.013913669020991271
Position 11964: 0.013340921767304096
Position 12583: 0.009479725228040858
Position 11954: 0.007009517394087513
Position 302: 0.006000825500363114
Position 25983: 0.004768771501077528
Position 19967: 0.004130781799355038
Position 24521: 0.0037135913670841136
Position 18012: 0.001291329156537944
Position 76: 3.912218825979042e-05
Position 188: 7.21303043941659e-06
Position 181: 6.598248351888169e-06
Position 151: 1.3199500561261325e-06
Position 171: 8.170666096479358e-07
Position 109: 3.161609254352406e-07
Position 125: 2.434991921078568e-07
Position 15: 2.196687138625947e-07
Position 123: 7.643537147000836e-08
Position 156: 7.044112786303562e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 23134: 0.9880106881854859
Position 11346: 0.9725711486607189
Position 19816: 0.8963323401718144
Position 10801: 0.8628056225889903
Position 1840: 0.7787319152196682
Position 14264: 0.7523548611299858
Position 26438: 0.7482587722689612
Position 8539: 0.6317886970310294
Position 14549: 0.5860730526845865
Position 14437: 0.3944691600524387
Position 1455: 0.3598015457455127
Position 13308: 0.332414226387466
Position 24408: 0.30842838968701797
Position 8507: 0.287916611602547
Position 135: 0.2558057000853401
Position 23749: 0.21634036275050939
Position 22885: 0.20082974839564277
Position 1844: 0.19867226034102303
Position 1435: 0.14223990494137448
Position 25121: 0.1277980335088813
Position 13323: 0.10174349064578023
Position 13363: 0.1008165098571532
Position 18706: 0.09534373469645535
Position 1404: 0.08635795865884598
Position 19589: 0.0842037703536292
Position 19750: 0.0702876524052262
Position 1400: 0.049106736818242416
Position 18457: 0.045506004043056526
Position 170: 0.04359437272646781
Position 22045: 0.04345333428568973
Position 13333: 0.03335743735022907
Position 22719: 0.023021400403577273
Position 25889: 0.022967290741476926
Position 1874: 0.022595824439308628
Position 23952: 0.022025318611193067
Position 13367: 0.02140225375105612
Position 24030: 0.018643185902291068
Position 19753: 0.01765853072984788
Position 24309: 0.015901607895372816
Position 26276: 0.013077890584610083
Position 23139: 0.010459437895385837
Position 176: 0.010227090072017636
Position 11833: 0.009996313592891184
Position 12496: 0.009479725228040858
Position 11808: 0.00857309026697853
Position 180: 0.005810041446284461
Position 23882: 0.0020183889145037872
Position 11857: 0.0017810353015218993
Position 23798: 0.0015505413693256277
Position 263: 0.0013157433058405127
Position 17879: 0.001291329156537944
Position 231: 0.0004688404017973856
Position 24339: 0.0003165365593142485
Position 150: 0.00011621960442939302
Position 11044: 9.624774118967868e-06
