Gene = MECR
index = 827
Annotated 5SS: [  202 14345 14928 24171 27802 28990 30417 34735 34992]
Annotated 3SS: [14246 14795 24026 27698 28886 30342 34673 34918 36752]
SMsplice 5SS: [  202   623 10099 14345 14928 24171 27802 28990 29559 30417 34992]
SMsplice 3SS: [  525  9989 14246 14795 24026 27698 28886 29413 30342 34918 36752]
top_k =  100
Partition function (log Z): -19.69247805613924

Sorted 5' Splice Sites (High to Low Probability):
Position 623: 0.8266632476406698
Position 202: 0.45516483352102394
Position 10099: 0.2530340760242201
Position 371: 0.231029721661561
Position 345: 0.215853455399696
Position 578: 0.1605681718606605
Position 7793: 0.10313072805324479
Position 8090: 0.10245332447874277
Position 194: 0.027497298141876972
Position 402: 0.025157740327862346
Position 349: 0.023344759266011515
Position 6257: 0.02182293949443504
Position 6237: 0.016176028668973344
Position 152: 0.008969409550296376
Position 4529: 0.00855308308271724
Position 289: 0.006361893699570779
Position 6247: 0.004829274493896088
Position 53: 0.004170774832910697
Position 3223: 0.0032241727581478296
Position 709: 0.001915161291760875
Position 28: 0.0015909679459603988
Position 4495: 0.0015626426966140257
Position 437: 0.00044238780433834086
Position 239: 0.00019560648319060967
Position 32: 0.00012832463548507624
Position 39: 2.6938633780537334e-05
Position 14: 2.4617283901743546e-05
Position 10: 2.0275862955355017e-05
Position 435: 1.96821342500438e-05
Position 417: 1.3128153317980846e-06

Sorted 3' Splice Sites (High to Low Probability):
Position 525: 0.9967610751339843
Position 9989: 0.3473229909147275
Position 14418: 0.24501890818289268
Position 8247: 0.23485060890463938
Position 7619: 0.10759206402164677
Position 14795: 0.10465616608457108
Position 7990: 0.10365034453321682
Position 4616: 0.09690704674211975
Position 6342: 0.054088920079766095
Position 6142: 0.04719134318828145
Position 7987: 0.031602137980359976
Position 4193: 0.025616228657966016
Position 9270: 0.021129573713187157
Position 8120: 0.020479968781437343
Position 8172: 0.013236122669382316
Position 9598: 0.011079713527358627
Position 6279: 0.010663564910026123
Position 5394: 0.009422255687507933
Position 2940: 0.004221362425075061
Position 5889: 0.0026398356356434364
Position 1968: 0.002492339523976871
Position 2999: 0.0024367908445806067
Position 3061: 0.002071650402618328
Position 3035: 0.001807795526764281
Position 4032: 0.0017412965686971606
Position 2725: 0.0014561146614261063
Position 2230: 0.0009539646708883906
Position 886: 0.0008127746214556648
Position 733: 0.0006304393988214992
Position 500: 0.0005756183136499053
Position 1358: 0.0005349297141924302
Position 3123: 0.0002843195232844473
Position 348: 4.408409643063314e-06
Position 441: 9.24295688476892e-08
Position 565: 8.416072479242925e-08
