Gene = IL12A
index = 686
Annotated 5SS: [ 425 1563 4376 4743 4860 5095]
Annotated 3SS: [1416 4261 4700 4817 4950 6653]
SMsplice 5SS: [ 425 1563 4376 4860 5095]
SMsplice 3SS: [1416 4261 4700 4950 6653]
top_k =  100
Partition function (log Z): -1.7840969160908953

Sorted 5' Splice Sites (High to Low Probability):
Position 5095: 0.986252123719054
Position 1563: 0.9723843133071851
Position 4860: 0.9244230437051413
Position 4376: 0.8804690037080783
Position 425: 0.7592903038932503
Position 4743: 0.18530370361156667
Position 2633: 0.08161600564285845
Position 1159: 0.06779012421841044
Position 462: 0.057629002752351645
Position 2809: 0.027910947228738527
Position 1309: 0.027466695998908816
Position 445: 0.021951861924047928
Position 900: 0.017352802514140876
Position 3599: 0.01692236391173252
Position 4215: 0.01672333201730584
Position 819: 0.014295306739925826
Position 362: 0.014125647612781261
Position 3452: 0.010225956923930836
Position 1018: 0.010102047261946146
Position 3018: 0.008452174293367285
Position 851: 0.005523539318301216
Position 321: 0.0052862573184225235
Position 6151: 0.004456632844928318
Position 6624: 0.004334419017454117
Position 35: 0.003940422055290335
Position 224: 0.003049802929962543
Position 4462: 0.002488160274789256
Position 489: 0.002229794606008222
Position 73: 0.0021384308590496645
Position 277: 0.001803375922989537
Position 1340: 0.0017266869287481672
Position 975: 0.0016633312320576297
Position 429: 0.0016462491633370247
Position 411: 0.0016389431929563873
Position 1272: 0.001120269996732864
Position 493: 0.0010446945978450925
Position 159: 0.000678536298604196
Position 266: 7.490838266895168e-05
Position 205: 3.946445794731989e-05
Position 309: 2.2452068659212814e-05
Position 7: 2.1052672539187414e-05
Position 32: 1.8663965434856395e-05
Position 44: 1.2686004686972934e-05
Position 576: 4.701249152171092e-06
Position 207: 1.5574471794283292e-06
Position 46: 5.499700763434776e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 1416: 0.9663857002447127
Position 4700: 0.8702970478204688
Position 4261: 0.848346429245747
Position 6653: 0.723597372334958
Position 4950: 0.5761208797627072
Position 4964: 0.26814560776050056
Position 4817: 0.257389255911271
Position 4967: 0.12047595297846367
Position 6757: 0.08462232534202373
Position 2424: 0.04997533874736343
Position 6422: 0.04290602041786486
Position 4119: 0.03283661060150811
Position 5964: 0.02520882569422202
Position 4301: 0.018497456152918427
Position 2667: 0.017756593116490988
Position 5494: 0.016243536129136142
Position 6440: 0.014927926777562576
Position 695: 0.014752079572338282
Position 6670: 0.013084440532203423
Position 3470: 0.012169894824062038
Position 5878: 0.011941335908643925
Position 5250: 0.011390578483865248
Position 7236: 0.010174630874456435
Position 2504: 0.010040238793990526
Position 2904: 0.008452174293367287
Position 5894: 0.008035241889328294
Position 6429: 0.007945653100201606
Position 2428: 0.007672970874602881
Position 2718: 0.007148947344692952
Position 3250: 0.006509651749353985
Position 6389: 0.005910647849209486
Position 1491: 0.005844473185441495
Position 6054: 0.005742376015204442
Position 6209: 0.005156454203978965
Position 4978: 0.005031571859413756
Position 3502: 0.00475246908767048
Position 2233: 0.004515950074371566
Position 7050: 0.004296283940558283
Position 3374: 0.003716305174576855
Position 5357: 0.003632086169491594
Position 5198: 0.0033407526716624524
Position 2450: 0.003335580432325
Position 2703: 0.003005406767554588
Position 2468: 0.0026305512453997887
Position 361: 0.002431336723077616
Position 7213: 0.0023598174712966763
Position 5663: 0.002018202898679773
Position 2390: 0.0019628784070037657
Position 4747: 0.0019503171423146232
Position 5705: 0.0017917391299308914
Position 2578: 0.0014824970678014903
Position 647: 0.0013413867318294624
Position 1271: 0.0010926274334602693
Position 396: 0.0010383378660336615
Position 4995: 0.0010330418285263258
Position 588: 0.000943480353689859
Position 1147: 0.000689743018336526
Position 783: 0.0006217752022304301
Position 615: 0.0005862950451615891
Position 968: 0.00023259868041925266
Position 1459: 0.00011464280486404112
