Gene = MTURN
index = 895
Annotated 5SS: [  489 11490]
Annotated 3SS: [11366 22627]
SMsplice 5SS: [  541 11490 20067 22724]
SMsplice 3SS: [11408 19978 22627 26904]
top_k =  100
Partition function (log Z): -13.70716546075193

Sorted 5' Splice Sites (High to Low Probability):
Position 11490: 0.9877360805610739
Position 541: 0.9036049226378251
Position 6856: 0.4050641963988023
Position 4872: 0.295519950157198
Position 1790: 0.2611794877346794
Position 2550: 0.2122793763776541
Position 489: 0.0837284471571637
Position 11494: 0.003856233046545046
Position 655: 0.002377782900744178
Position 2235: 0.002316572879502663
Position 2619: 0.00229478879354988
Position 580: 0.0021578775626986133
Position 570: 0.0018618091106041446
Position 1279: 0.0017714660347827814
Position 912: 0.00176805376321499
Position 2885: 0.0017568233590616112
Position 1032: 0.0015101398647144183
Position 685: 0.0012217999730459784
Position 1577: 7.762443418990912e-07
Position 1549: 6.398594975317841e-07
Position 1463: 6.36977013570026e-07
Position 1499: 1.7184484497534293e-07
Position 675: 7.476162214764437e-09
Position 739: 4.685227825029358e-09
Position 601: 1.8505954844835407e-09
Position 441: 5.618882852772552e-10
Position 460: 4.1069679843295943e-10
Position 458: 2.491688952591169e-10
Position 453: 1.1338886617088966e-10
Position 190: 1.0715960658197853e-10
Position 365: 9.419474774786787e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 11408: 0.9955154380729547
Position 22627: 0.8926505350522537
Position 6696: 0.4051816736499556
Position 1676: 0.2612594654079805
Position 4750: 0.24197698246081772
Position 2447: 0.18572873696909498
Position 4590: 0.05378855412630858
Position 17479: 0.04904944407815838
Position 11797: 0.023306805843616083
Position 2415: 0.022256086158160375
Position 11622: 0.014172268749726782
Position 2519: 0.00658900181403929
Position 12879: 0.00435074368297542
Position 12064: 0.0036746634608692745
Position 12105: 0.0029178466126196477
Position 2128: 0.0023154029618808625
Position 9580: 0.0018959640345579576
Position 2789: 0.0015560265753397978
Position 12394: 0.0014700061274002204
Position 4981: 0.0011920390530806302
Position 7367: 0.0002367894694831074
Position 7490: 0.00020904755746674312
Position 2646: 0.00020079678372181273
Position 4546: 0.00018498903395935897
Position 1353: 8.50651913416311e-05
Position 5789: 7.777309432899255e-05
Position 5317: 6.70411526103739e-05
Position 4081: 5.1184840222932805e-05
Position 757: 2.6969074227718216e-05
Position 1079: 1.8144655233263512e-05
Position 1992: 6.817899582435459e-07
Position 1581: 6.226505119052106e-07
Position 2229: 5.545655897728473e-07
Position 2262: 2.737919830299824e-07
Position 1064: 1.8767098242522798e-07
Position 903: 1.1649472168582491e-07
Position 933: 5.965296713337373e-08
Position 1036: 3.796440689802434e-08
Position 977: 1.618583986204793e-08
Position 872: 1.227569717826929e-08
