Gene = BEND5
index = 132
Annotated 5SS: [  313 15582 18019 34296 40680]
Annotated 3SS: [15447 17633 34146 40465 48874]
SMsplice 5SS: [  313   954  2536  3324  3859 10153 18019 23777 24789 30892 34296 40680]
SMsplice 3SS: [  756  2412  3118  3781 10083 17849 23647 24668 30804 34146 40465 48874]
top_k =  100
Partition function (log Z): -22.65818557063302

Sorted 5' Splice Sites (High to Low Probability):
Position 313: 0.9897851238299653
Position 3859: 0.9279174533927737
Position 954: 0.8498191754787846
Position 2536: 0.5452093153722708
Position 1366: 0.06120584803805912
Position 1432: 0.028070783558787882
Position 338: 0.00458971984812719
Position 962: 0.0026774063364778
Position 143: 0.0018067696110818448
Position 195: 0.0017862932143778826
Position 197: 0.0011807021358294552
Position 945: 0.0006553904954919619
Position 89: 0.00032686351070785604
Position 206: 0.00022839661407745706
Position 812: 0.00022788351361271644
Position 147: 0.0001456169863425736
Position 550: 7.922935372694828e-05
Position 546: 6.27387798780745e-05
Position 1061: 5.450211903220732e-05

Sorted 3' Splice Sites (High to Low Probability):
Position 3781: 0.9171217331762217
Position 17551: 0.7505567054749129
Position 756: 0.6978846471303523
Position 2412: 0.5226006336742955
Position 1147: 0.07430453822338358
Position 12174: 0.06809170652006882
Position 811: 0.0544722854925745
Position 831: 0.03788700600470493
Position 3810: 0.036405873798640215
Position 688: 0.03375475867375685
Position 5303: 0.027663477066968815
Position 4760: 0.02718365909019807
Position 2140: 0.025519413145626026
Position 8806: 0.02448969614120847
Position 716: 0.019309236330086743
Position 4106: 0.013249807465725119
Position 3118: 0.013247305465594435
Position 1213: 0.009590913559950408
Position 535: 0.007746534118559035
Position 5097: 0.006303094124104027
Position 4941: 0.006211510675030273
Position 4809: 0.005319572208996407
Position 1347: 0.005210602782097346
Position 944: 0.0042491442752490985
Position 1278: 0.003965181090351992
Position 4131: 0.00388842112556718
Position 2514: 0.003428953652660791
Position 4216: 0.003297406940358014
Position 4729: 0.0028659283976255837
Position 1252: 0.002290350939162855
Position 877: 0.0020552721501728155
Position 1621: 0.0020530842728658637
Position 3410: 0.0016203112569584967
Position 1679: 0.0006420520174170241
Position 1547: 0.00044398015481776046
Position 1511: 0.00033375388051360864
Position 1488: 0.0003185796386924639
Position 802: 9.38652536968112e-05
Position 723: 4.216072237926455e-05
Position 838: 3.836178546396614e-05
Position 2267: 3.4781306024735424e-05
Position 777: 1.5886764766301478e-05
Position 1099: 1.2472933910984762e-05
Position 1257: 1.2416200148749609e-05
Position 1282: 2.1361395623990304e-06
Position 732: 9.479765112540245e-10
