Gene = PERM1
index = 1012
Annotated 5SS: [2149 4531]
Annotated 3SS: [4404 4759]
SMsplice 5SS: [ 268 2149]
SMsplice 3SS: [2048 4759]
top_k =  100
Partition function (log Z): -6.980323280001908

Sorted 5' Splice Sites (High to Low Probability):
Position 2149: 0.9769128540580166
Position 451: 0.5202102696313818
Position 268: 0.515663804594296
Position 4813: 0.38178946404234226
Position 4531: 0.24806642538919724
Position 252: 0.1002179369780014
Position 691: 0.040145315803875155
Position 1810: 0.02907420183581199
Position 754: 0.024844138059809638
Position 260: 0.02272678940172028
Position 295: 0.0195663258855659
Position 722: 0.019206968489799456
Position 1509: 0.008019383486835898
Position 561: 0.007010385815314881
Position 1844: 0.006076789012768615
Position 388: 0.003695732781477797
Position 577: 0.002812573078289618
Position 71: 1.062812724924152e-05
Position 121: 9.37962843492972e-06
Position 73: 6.938511036605376e-06
Position 14: 4.2073043995965025e-06
Position 116: 2.3458809924947807e-06
Position 21: 9.288013546134942e-07
Position 31: 9.106435647346479e-07
Position 314: 5.031822513345782e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 2048: 0.9838913773541479
Position 4759: 0.5478935406445898
Position 4643: 0.340700786916377
Position 358: 0.17025542399318203
Position 5246: 0.16525081382049361
Position 4441: 0.13094423918542966
Position 5433: 0.11283199746572839
Position 4470: 0.09701395996435071
Position 608: 0.06607665909634726
Position 5155: 0.05346434684040344
Position 4972: 0.042203480858120035
Position 4404: 0.032792101343008376
Position 1655: 0.026899135066005903
Position 5499: 0.02556640626969532
Position 5382: 0.0203753525321965
Position 4812: 0.01810739623312943
Position 367: 0.011171139668472236
Position 4373: 0.011014332794319908
Position 1745: 0.008251855782574685
Position 637: 0.008245201920906643
Position 1390: 0.0080193834868359
Position 4445: 0.007503296590479786
Position 4707: 0.007384923519494974
Position 330: 0.006018953859804166
Position 327: 0.005134738254484775
Position 371: 0.004882764981804322
Position 2537: 0.004415901531872885
Position 487: 0.0030161770288071855
Position 4688: 0.002345859865166277
Position 410: 0.00172763776035032
Position 2263: 0.0013586800160868236
Position 2565: 0.0012977620278585263
Position 405: 1.417522453700727e-05
Position 428: 1.985734662494192e-06
Position 416: 1.5160218363176003e-06
Position 514: 6.463859699421002e-07
Position 500: 6.370578515649524e-07
Position 473: 6.13326405370867e-07
