Gene = SSU72
index = 1344
Annotated 5SS: [  392 10097 30007 31001]
Annotated 3SS: [ 9952 29866 30881 32701]
SMsplice 5SS: [  263 10097 10536 12136 30007 31001]
SMsplice 3SS: [ 9952 10453 12003 29866 30881 32701]
top_k =  100
Partition function (log Z): -7.723594013175452

Sorted 5' Splice Sites (High to Low Probability):
Position 263: 0.8359269977086985
Position 10097: 0.8066453364409645
Position 12136: 0.6481528139654513
Position 10536: 0.6227375052578498
Position 10520: 0.3048690050495234
Position 392: 0.12332016924601252
Position 10265: 0.09237951557584367
Position 10299: 0.08556028458957181
Position 13289: 0.06593076029315434
Position 16585: 0.048015531837301034
Position 15590: 0.04572382387412164
Position 13538: 0.04139833523940323
Position 6860: 0.025846043589053267
Position 9307: 0.02444411367453998
Position 10383: 0.018508029046725005
Position 974: 0.0182653510558076
Position 268: 0.017773020876234336
Position 10064: 0.017616200593892156
Position 10801: 0.01633071338616212
Position 5438: 0.015887524069579998
Position 7552: 0.013832009929183436
Position 10317: 0.010417237649147624
Position 5559: 0.009984507085557927
Position 4701: 0.007054336597307818
Position 1324: 0.00675859990816581
Position 13261: 0.0063130146382524505
Position 11952: 0.004759396775657741
Position 10525: 0.004398985904414191
Position 13231: 0.004145502555132401
Position 566: 0.004052963513149154
Position 149: 0.003945629846129323
Position 10149: 0.0038034104368989863
Position 3350: 0.0034307729844080944
Position 888: 0.0032747575729044826
Position 1073: 0.002916487042430107
Position 772: 3.72844638737609e-05
Position 709: 3.4849777557781716e-05
Position 657: 2.3372240196914454e-05
Position 510: 7.69444542124206e-06
Position 700: 7.591951500430546e-06
Position 1092: 5.43010490804062e-06
Position 588: 4.612565660299112e-06
Position 916: 3.3182234861414474e-06
Position 514: 3.2322474748881405e-06
Position 342: 4.7403168750703445e-07
Position 333: 1.782979092458062e-07
Position 243: 1.1861305452718426e-07
Position 339: 6.337200624768579e-08
Position 128: 5.8268737405741166e-08
Position 395: 3.038764229162531e-08
Position 37: 2.17007183176537e-08
Position 94: 1.493152065472172e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 9952: 0.9999089985096503
Position 32701: 0.9992217021598273
Position 10453: 0.8885189453569657
Position 12003: 0.6480497286380863
Position 13106: 0.07646291271558292
Position 16508: 0.04807798636324395
Position 15471: 0.045836134519090715
Position 10428: 0.043540075788625864
Position 13363: 0.041455687590730025
Position 6831: 0.025846043589053246
Position 9182: 0.02444411367453998
Position 10172: 0.018262779136609095
Position 10193: 0.01661745311120878
Position 10613: 0.01636910502020439
Position 5369: 0.015887524069579998
Position 7434: 0.013832009929183452
Position 5536: 0.009984507085557938
Position 854: 0.008253942677419732
Position 4589: 0.007054336597307818
Position 1245: 0.0067586949243386525
Position 3103: 0.003430772984408098
Position 11769: 0.0022446823277509818
Position 475: 0.0013497798073033177
Position 11828: 0.001211394604001392
Position 11836: 0.0007747638611978846
Position 11775: 0.0005285559827074843
Position 12006: 0.00029842870673392686
Position 9987: 9.086413903458907e-05
Position 10148: 8.137670367597678e-05
Position 14075: 5.2896777496746966e-05
Position 16996: 3.341316131606006e-05
Position 14050: 3.113092992012907e-05
Position 15532: 1.3022857810697878e-05
Position 11013: 7.854681016280896e-06
Position 12696: 6.526649555041717e-06
Position 10801: 5.597961290482424e-06
Position 11010: 3.2475048199904878e-06
Position 1446: 4.2335141329851256e-08
