Gene = CLEC5A
index = 379
Annotated 5SS: [  177   770  1643  3088 11170 15264]
Annotated 3SS: [  670  1582  3018 11032 15156 16764]
SMsplice 5SS: [  177  1130  3631  8088 10033 15264]
SMsplice 3SS: [  934  3505  7951  9944 15156 16764]
top_k =  100
Partition function (log Z): -8.042762009768534

Sorted 5' Splice Sites (High to Low Probability):
Position 177: 0.9640979881769971
Position 3631: 0.950763250055662
Position 1130: 0.9321227980169331
Position 8088: 0.8192893376459526
Position 3088: 0.7241444896156339
Position 1643: 0.28716004057729444
Position 6119: 0.2504559232187642
Position 7660: 0.24714017630901583
Position 10033: 0.18182460311814766
Position 770: 0.17863552659268492
Position 8893: 0.080123853836845
Position 9049: 0.057576133080547834
Position 9380: 0.04964966562727355
Position 1658: 0.042124307168325575
Position 8954: 0.017542947265480224
Position 8821: 0.016449256706739586
Position 9970: 0.015109918830997875
Position 1315: 0.012912870524002758
Position 5523: 0.011339666314230452
Position 2092: 0.008876084723316179
Position 5527: 0.006417751273354366
Position 327: 0.006183587710698637
Position 9: 0.00501280403889463
Position 727: 0.004589592213799974
Position 2687: 0.004160497909481957
Position 266: 0.003377549258855042
Position 538: 0.0027566608782129045
Position 2250: 0.0026605149667480385
Position 299: 0.002406856832075995
Position 308: 0.002271919102742578
Position 856: 0.0011950267201870138
Position 4113: 0.0006266820091744745
Position 584: 0.000509356649437304
Position 303: 0.00021233060089675924
Position 181: 3.171787419259494e-05
Position 343: 1.9850391926161597e-05

Sorted 3' Splice Sites (High to Low Probability):
Position 3505: 0.9094170194210334
Position 7951: 0.8516962190908803
Position 934: 0.7019325145259896
Position 2770: 0.4143178876070312
Position 16764: 0.36048162558626196
Position 5946: 0.3036848871930883
Position 1582: 0.26909605909497575
Position 8787: 0.2673641901651089
Position 7493: 0.24714017630901583
Position 9543: 0.2424514707930689
Position 9944: 0.21992761881882358
Position 670: 0.18304183748246422
Position 3018: 0.12657611168090796
Position 9143: 0.10782644240730761
Position 2894: 0.10643038941454298
Position 1051: 0.09653844596729924
Position 834: 0.08036574492934344
Position 3000: 0.06300272187785567
Position 8255: 0.04432643946766585
Position 10065: 0.040460206387686985
Position 1590: 0.03332967957850961
Position 3562: 0.029794632446131113
Position 855: 0.02518452918911451
Position 5408: 0.018952180800792494
Position 8381: 0.01874944122939673
Position 7160: 0.018149655889700977
Position 3040: 0.015050933110226032
Position 1628: 0.013497364671331816
Position 1542: 0.011887711781511092
Position 3621: 0.011551598188497282
Position 1217: 0.011106492222665233
Position 943: 0.006131165708187348
Position 9038: 0.006053112806041095
Position 2013: 0.0051870865873659975
Position 1965: 0.004362006040883453
Position 2511: 0.004160497909481957
Position 1002: 0.003784417139052236
Position 4855: 0.002656821965344531
Position 568: 0.0020172523801836807
Position 5189: 0.0017651902422351376
Position 616: 0.0015879395077180952
Position 680: 0.0015363726926156762
Position 1486: 0.001471826531641266
Position 1239: 0.0011918843057242127
Position 2067: 0.0010510953703549081
Position 1978: 0.0009364116914598697
Position 798: 0.0006785781816880468
Position 3986: 0.0006266820091744744
Position 626: 0.0004673344220582292
Position 1100: 0.0003797136152646436
Position 730: 0.0002121455954849641
Position 623: 0.00010051010249019074
Position 1256: 7.795234738685244e-05
Position 1566: 1.7060876509006607e-06
Position 276: 1.6052678048948772e-06
