Gene = SST
index = 1343
Annotated 5SS: [246]
Annotated 3SS: [1121]
SMsplice 5SS: [246]
SMsplice 3SS: [1121]
top_k =  100
Partition function (log Z): -5.513671359555571

Sorted 5' Splice Sites (High to Low Probability):
Position 246: 0.9665134920943924
Position 466: 0.13531269166580237
Position 673: 0.022930872173153247
Position 728: 0.01875073506875317
Position 576: 0.017071120152069522
Position 321: 0.011385643583540075
Position 719: 0.0055315741118256235
Position 202: 0.005183891467450052
Position 26: 0.0014201447875773396
Position 687: 0.0008313451092987215
Position 128: 0.0002840957575369196
Position 265: 3.642406271692456e-05
Position 66: 2.909345566930973e-06
Position 218: 1.0418760876635856e-06
Position 313: 1.6625849876463854e-07
Position 354: 1.0265729570381668e-07
Position 113: 1.8269034318923976e-08
Position 146: 8.652293566943709e-11
Position 169: 3.9258729160208695e-11
Position 171: 3.915552543817002e-12
Position 153: 1.5465243522134934e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 1121: 0.9386513438544888
Position 374: 0.1347158236370355
Position 1049: 0.03148292554899946
Position 589: 0.01495826599642033
Position 325: 0.014862257048033728
Position 445: 0.011718347032026361
Position 1169: 0.006183364024680756
Position 613: 0.004818717112239188
Position 489: 0.0045282499276472574
Position 510: 0.003297804189329212
Position 642: 0.0031824177110300555
Position 873: 0.0024427100238714147
Position 1146: 0.00236567839767637
Position 710: 0.0017727563257581905
Position 526: 0.0015344980356556026
Position 128: 0.0014135041454776918
Position 1208: 0.0013702981129298552
Position 575: 0.001324331502931948
Position 944: 0.0006999073357861091
Position 880: 0.000678889620724104
Position 346: 0.0005979194683705642
Position 749: 0.0005768837642051067
Position 1413: 0.0003938873301509203
Position 383: 0.00029436831714156316
Position 1197: 0.00029427721560085863
Position 564: 0.000245620166714094
Position 801: 0.00024373993510587967
Position 599: 0.00021643409559088714
Position 1362: 0.00019324518813982708
Position 1244: 0.0001686697222195034
Position 196: 1.5335353768525557e-05
Position 215: 3.096851477774631e-06
Position 335: 3.0694621316094893e-06
Position 404: 1.8950472206170271e-06
Position 450: 1.1586667483788837e-06
Position 282: 1.1416455194839458e-06
Position 107: 9.58461419029414e-07
Position 348: 8.225606992403812e-07
Position 460: 8.21694821741589e-07
Position 206: 2.799455971958935e-07
Position 409: 2.6113063364524056e-07
Position 218: 2.572061103053265e-07
Position 242: 2.0283594136569562e-08
Position 391: 9.332264405019731e-09
Position 293: 6.14385538672975e-09
