Gene = SSC4D
index = 1338
Annotated 5SS: [  282  5389  8688  9410 10976 12178 14443 15866 16291 17732]
Annotated 3SS: [ 5189  8651  9103 10897 11862 14364 15790 15978 17653 19319]
SMsplice 5SS: [  282  6621 10976 12178 14443 15866 16291 17732]
SMsplice 3SS: [ 6489 10897 11996 14364 15737 15978 17653 19319]
top_k =  100
Partition function (log Z): 7.353110037073466

Sorted 5' Splice Sites (High to Low Probability):
Position 282: 0.9999927222169197
Position 15866: 0.9968591877069556
Position 6621: 0.9424149313966091
Position 17732: 0.897078714543506
Position 12178: 0.7476150230397579
Position 16291: 0.7350243882106671
Position 10976: 0.6861905742788579
Position 14443: 0.5421132226692125
Position 9410: 0.4684394455151423
Position 8733: 0.4405132434570556
Position 10980: 0.3012462784022564
Position 66: 0.2874858800061208
Position 14473: 0.2645710397544514
Position 8688: 0.25185145364520883
Position 1486: 0.20951135899656456
Position 5389: 0.19286240940549393
Position 12215: 0.1799496719311945
Position 16309: 0.15128494682321325
Position 17949: 0.13086121582512245
Position 14479: 0.07891645962305907
Position 11883: 0.07700665932036754
Position 14484: 0.06101332257825187
Position 14657: 0.04600676982946602
Position 14575: 0.02886088116274184
Position 16009: 0.023981224382853973
Position 13512: 0.018321457416419128
Position 14760: 0.018137943428826492
Position 17911: 0.01700962474908316
Position 7703: 0.014357492403156629
Position 9214: 0.012761857293455275
Position 11580: 0.010156487937710108
Position 9641: 0.009489661962241481
Position 19387: 0.00704713803605645
Position 18364: 0.0050770944910098785
Position 4265: 0.004711922078083187
Position 22: 0.002009955054591126
Position 11752: 0.0015346845971152367
Position 15905: 0.0008253363078152536
Position 11526: 0.0007194383032072207
Position 702: 0.000586106228280466
Position 1368: 0.0002310787708266836
Position 10991: 7.044289130560953e-05
Position 321: 1.421953835870896e-06
Position 57: 7.7963615153526e-07
Position 220: 2.6362988477323604e-07
Position 139: 1.8464739485126748e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 10897: 0.9808596585147703
Position 6489: 0.9424149313966101
Position 15978: 0.93166846291216
Position 14364: 0.919462203056047
Position 17653: 0.8779326433364613
Position 15737: 0.876525717526187
Position 8651: 0.688211373889877
Position 19319: 0.6625347097185554
Position 11996: 0.5251131468129177
Position 9103: 0.4812013028085976
Position 11862: 0.47945820747840223
Position 136: 0.25438825557008965
Position 5189: 0.19286240940549393
Position 15773: 0.10951055337149619
Position 17872: 0.1042617413470001
Position 1320: 0.08018437245859956
Position 20097: 0.07861948400011474
Position 17885: 0.059396156268192904
Position 1437: 0.05086538311291037
Position 14274: 0.042966845606259844
Position 14526: 0.04229831155537804
Position 19980: 0.036305598618144704
Position 17555: 0.0352109107287096
Position 14546: 0.02923898919670997
Position 1464: 0.02815646976471686
Position 19447: 0.025702023692438607
Position 208: 0.025400299261789046
Position 19303: 0.025222969265362823
Position 20226: 0.024987268834944655
Position 18740: 0.02030871824569243
Position 19697: 0.01977364509420326
Position 1334: 0.019151081596904183
Position 18277: 0.01869913072037152
Position 13464: 0.018321457416419128
Position 1344: 0.018007378697526794
Position 18567: 0.016371974634329323
Position 7629: 0.014357492403156629
Position 11427: 0.012410610838032568
Position 15790: 0.011648253117088399
Position 16909: 0.01106935542377654
Position 20266: 0.010997267979166779
Position 183: 0.00970248613036219
Position 9497: 0.009489661962241481
Position 10756: 0.006647637057649832
Position 1278: 0.005757977758241221
Position 14301: 0.005398620340942356
Position 16110: 0.004975850666509511
Position 4119: 0.004711922078083187
Position 1441: 0.00468299848485968
Position 8687: 0.004153323212387243
Position 18587: 0.0033228988959536744
Position 1164: 0.0029367758936326076
Position 483: 0.00033124388330955544
Position 14388: 0.0002546692906718527
Position 578: 0.00014845759033977495
Position 377: 3.3706515085340203e-05
Position 541: 2.4601703959526085e-05
Position 449: 1.956382042681179e-05
Position 419: 1.310718711012397e-05
Position 500: 1.1187396314505764e-05
Position 523: 4.238131734827801e-06
Position 15935: 3.536679424599232e-06
