Gene = LEP
index = 781
Annotated 5SS: [   23 10879]
Annotated 3SS: [10706 13119]
SMsplice 5SS: [   23  1178  1639 10879]
SMsplice 3SS: [ 1034  1436 10706 11157]
top_k =  100
Partition function (log Z): -9.541635090827851

Sorted 5' Splice Sites (High to Low Probability):
Position 1178: 0.9757437622393421
Position 1639: 0.9305825932066176
Position 23: 0.85498733828075
Position 10879: 0.8181061030194114
Position 8088: 0.27379688296377624
Position 460: 0.10115461321035966
Position 271: 0.028852317588849673
Position 400: 0.014910806024498997
Position 1087: 0.008916253358739822
Position 973: 0.0076176884512505795
Position 3251: 0.0036548814633571873
Position 1547: 0.0018216527767453482
Position 2570: 0.001772786839093531
Position 559: 0.0007611026539055948
Position 519: 0.0006187407175928043
Position 1678: 0.0005188369486661533
Position 936: 7.771341486443956e-05
Position 798: 6.520993710595953e-06
Position 236: 6.222666861636278e-06
Position 60: 2.613001173983321e-06
Position 190: 2.5781397064147223e-06
Position 165: 6.76716506240033e-08
Position 115: 9.811060636165662e-09
Position 15: 2.2862860380181953e-09
Position 144: 1.717700621609438e-10
Position 172: 1.6285858028525024e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 1436: 0.8897247058413549
Position 10706: 0.8628424376252954
Position 1034: 0.3636068718932304
Position 1077: 0.3118850062062561
Position 11157: 0.2839732473019927
Position 8002: 0.27379688296377624
Position 1139: 0.1968007538949012
Position 15378: 0.11264995940147512
Position 13227: 0.10491871121639396
Position 13119: 0.10168284870493928
Position 11197: 0.06222717132369114
Position 14636: 0.05951592744503084
Position 11816: 0.05851547431803907
Position 1503: 0.04654081835398455
Position 1039: 0.044814350621610106
Position 917: 0.04275846416073809
Position 9394: 0.038711029605664735
Position 13122: 0.021647946790269497
Position 1009: 0.021402068992432507
Position 4143: 0.020281529049964962
Position 5536: 0.01805594020664975
Position 9685: 0.015562968563827698
Position 1497: 0.014665309644887103
Position 11913: 0.012974816517579884
Position 7578: 0.00509624965889371
Position 1151: 0.003314115141035554
Position 3066: 0.0028761758791914695
Position 1879: 0.0025630871722732854
Position 4099: 0.0024387827090976287
Position 2370: 0.00224061708784576
Position 6166: 0.002105594613875511
Position 243: 0.001884566627798501
Position 1813: 0.0018513008881736795
Position 5189: 0.0016297302999021825
Position 6497: 0.0015753495253102018
Position 956: 0.0014480154164003166
Position 5742: 0.0013844678737658525
Position 178: 0.0013629189462770318
Position 6224: 0.0013469174315158966
Position 5949: 0.0011242055318662456
Position 833: 0.0010754222101927388
Position 315: 0.001066188264006608
Position 357: 0.0009412318428492401
Position 5215: 0.0008352005009947398
Position 2998: 0.0007787055841657175
Position 3802: 0.000730307292650763
Position 246: 0.0006278616848356209
Position 4430: 0.0006123275121219036
Position 377: 0.0004810282467127295
Position 160: 0.0003614607112679073
Position 3501: 0.00033640410457307725
Position 1304: 0.00032920047329300633
Position 3378: 0.0003184766281723916
Position 2517: 0.00030391592909802256
Position 1961: 0.00028487815752803984
Position 1716: 0.00027395070783104407
Position 1933: 0.00023990758530978844
Position 1301: 0.0001690459526056407
Position 1242: 0.00012728032418667608
Position 1537: 0.00010930936425382362
Position 750: 4.0735579827673046e-05
Position 1589: 2.8072153202943375e-05
Position 877: 1.778403234800299e-05
Position 172: 1.0363641736390692e-05
Position 260: 6.70910785918701e-06
Position 144: 3.2455883761567173e-06
Position 182: 2.904956191314881e-06
Position 362: 2.6766055156846984e-06
Position 289: 1.5787398253370195e-07
