Gene = YARS
index = 1583
Annotated 5SS: [  966  7243  7563 11672 20391 26992 31214 31792 35750 37106 38069 38772]
Annotated 3SS: [ 7095  7386 11541 20309 26898 31077 31705 35613 37007 37874 38629 42061]
SMsplice 5SS: [  429  7243  7563 11672 16734 20391 26992 31214 31792 35750 37106 38772]
SMsplice 3SS: [ 7095  7386 11541 16575 20309 26898 31077 31705 35613 37007 38629 38910]
top_k =  100
Partition function (log Z): 2.1550676563336597

Sorted 5' Splice Sites (High to Low Probability):
Position 20391: 0.9999973890511179
Position 7563: 0.9953229372751227
Position 7243: 0.9944606016365891
Position 38772: 0.9825967023735852
Position 11672: 0.9823891364415183
Position 31792: 0.980306964414609
Position 35750: 0.9308016462067796
Position 31214: 0.728465846960253
Position 37106: 0.6787345330072764
Position 16734: 0.5897486099010846
Position 429: 0.44752325989116
Position 1340: 0.4026121832311376
Position 16738: 0.2731541297587275
Position 31142: 0.27151274883815757
Position 243: 0.209613412008871
Position 20046: 0.1596175349300691
Position 20033: 0.13889594494252336
Position 966: 0.13165372775047357
Position 38230: 0.11460602929234501
Position 850: 0.09963624591175808
Position 11878: 0.0958655221361407
Position 37150: 0.06838579061149128
Position 1116: 0.0683067237282132
Position 1804: 0.0636522189393581
Position 7968: 0.06187675318088071
Position 11280: 0.057219983846424
Position 16353: 0.055331474415189034
Position 9223: 0.05247627052136778
Position 5814: 0.045268090730319704
Position 38069: 0.03218863266609646
Position 11450: 0.032093355787669996
Position 775: 0.02042302395621324
Position 16890: 0.01871748783187278
Position 16839: 0.01784445666591883
Position 10537: 0.012792816419713436
Position 37941: 0.010576817131856155
Position 37992: 0.009603828572945443
Position 11618: 0.002763889086525766
Position 7236: 0.0026752985081820776
Position 16699: 0.0023851103127258484
Position 11627: 0.0018610306630532161
Position 7238: 0.0013634223593413514
Position 37953: 0.0012762555040154208
Position 275: 0.0011914537669285748
Position 1112: 0.00023122240967623245
Position 7: 0.00012549807944290387
Position 871: 3.111480016471135e-05
Position 7462: 2.7639661967167307e-05
Position 57: 8.906065467438656e-06
Position 10656: 5.7253164254401435e-06
Position 20434: 2.61094888304225e-06
Position 256: 1.931683124570187e-06
Position 559: 8.328589689068082e-08
Position 343: 7.711053785814426e-08
Position 377: 6.154455053940895e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 20309: 1.0000000000000009
Position 31077: 0.9999785957984105
Position 7095: 0.9984993225041124
Position 11541: 0.9870140561910977
Position 31705: 0.9803069644146083
Position 7386: 0.9515874743224326
Position 35613: 0.9034180798223554
Position 16575: 0.9018497944703298
Position 37007: 0.7186762578257243
Position 38629: 0.6127403635185041
Position 38910: 0.5244353770333775
Position 38673: 0.370940094501489
Position 19751: 0.2985134798725925
Position 42061: 0.1920754020393617
Position 1242: 0.12579513321223573
Position 38156: 0.11972656135430217
Position 42264: 0.0843696274082952
Position 11208: 0.07937617724030233
Position 1152: 0.0738052195227542
Position 42228: 0.06774296281914663
Position 1646: 0.06041763918696056
Position 16292: 0.055331474415189034
Position 37874: 0.05435567074617319
Position 11790: 0.04802785356275209
Position 9164: 0.04802036996730885
Position 1216: 0.04687250221072892
Position 5699: 0.045268090730319684
Position 339: 0.04434123710510228
Position 7453: 0.04374004938963246
Position 7821: 0.0403667057155515
Position 336: 0.03880936750079476
Position 11765: 0.03399391191481824
Position 36969: 0.029316464627746192
Position 42481: 0.02649632445972843
Position 1183: 0.026147686496920553
Position 35579: 0.02541110579927817
Position 7878: 0.021510047465329196
Position 42432: 0.02084941628721226
Position 311: 0.018156456237990296
Position 38927: 0.013770362368454567
Position 40380: 0.01353430321768047
Position 10429: 0.012798541736138884
Position 40142: 0.010440827746555536
Position 11082: 0.009937162393791693
Position 38977: 0.009830857266009156
Position 39031: 0.00803738315450589
Position 40016: 0.005073445490478202
Position 39067: 0.004974846534313607
Position 11813: 0.00492781191695742
Position 39147: 0.00473233681024578
Position 365: 0.0046320836763964245
Position 11727: 0.004624919749578981
Position 35594: 0.00451773600432046
Position 9115: 0.004455900554058931
Position 11842: 0.004291024992033967
Position 1672: 0.0032345797523975475
Position 965: 0.0022422968288318707
Position 40036: 0.0017222783174772414
Position 39916: 0.0015607460120658626
Position 1004: 0.00019901774568072058
Position 769: 0.00012959920315407024
Position 626: 7.606458011291942e-05
Position 761: 5.6712135408118795e-05
Position 646: 4.8908673216056794e-05
Position 424: 4.6640094287390017e-05
Position 20514: 1.464508877705948e-05
Position 7524: 1.2304991783170023e-05
Position 7332: 1.0748233241768413e-05
Position 24521: 6.759112813609477e-06
