Gene = MIOS
index = 846
Annotated 5SS: [  201   817  1252  6898  7325 16501 18934 21692 22692 28261 29590 39200]
Annotated 3SS: [  734  1153  5563  7225 16245 18763 21625 22532 28107 29384 39069 40123]
SMsplice 5SS: [  201   817  1252  6806  7325 16501 18934 22692 28261 29590 39200]
SMsplice 3SS: [  734  1153  6667  7073 16245 18763 22532 28107 29384 39069 40123]
top_k =  100
Partition function (log Z): -10.875614713624303

Sorted 5' Splice Sites (High to Low Probability):
Position 1252: 0.9995163979870578
Position 16501: 0.9988335585850807
Position 817: 0.9981939097229243
Position 18934: 0.9976125527878756
Position 7325: 0.883456813359318
Position 6806: 0.7402292598361785
Position 29590: 0.6599658174108136
Position 201: 0.5014140652097229
Position 613: 0.4342371735138867
Position 15948: 0.17605245893609658
Position 9737: 0.10299776816225709
Position 8250: 0.09395194712538785
Position 2520: 0.06320343351115004
Position 500: 0.03383789455174934
Position 205: 0.012746287744586488
Position 219: 0.008800627813277449
Position 325: 0.006298608391590054
Position 826: 0.0014118338273907745
Position 89: 0.0011554166652620644
Position 639: 0.0005326573432082493
Position 570: 0.0004749673103961447
Position 1229: 0.0004735872926673324
Position 175: 0.00020485884125668124
Position 320: 0.00018235343059036857
Position 57: 0.0001391693067251974
Position 982: 0.00013240864180000966
Position 65: 9.528417512643166e-05
Position 804: 9.380578700813233e-05
Position 698: 4.536795453032702e-05
Position 5283: 2.866228561431214e-06
Position 2630: 2.091039199144383e-06
Position 850: 3.13260332285654e-08
Position 127: 7.35389537792634e-12
Position 154: 5.519519560125822e-12
Position 277: 5.1526877997817466e-12
Position 225: 4.819575209546564e-12
Position 293: 2.5486033428142717e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 16245: 0.9997893477240902
Position 18763: 0.9988335585850807
Position 29384: 0.9855326953453696
Position 1153: 0.9833089703731674
Position 7073: 0.8834746064819479
Position 6667: 0.7402292598361785
Position 734: 0.6937695661533104
Position 30851: 0.3867459493560144
Position 697: 0.2861493955995724
Position 29944: 0.2732198680547996
Position 15757: 0.17605245893609658
Position 9582: 0.10299776816225709
Position 8146: 0.06390118533994925
Position 8040: 0.03005705581179329
Position 2408: 0.029069237946114292
Position 2433: 0.026608453553271325
Position 1109: 0.01659350343693837
Position 754: 0.011503262498918546
Position 769: 0.005830352063171143
Position 20827: 0.004876841379408678
Position 2343: 0.004728281225812408
Position 20164: 0.004316201797524215
Position 2318: 0.002806009788953481
Position 21625: 0.0021780386726585263
Position 715: 0.0013329101187764959
Position 19204: 0.0007087755929124657
Position 544: 0.0003256785872995729
Position 702: 0.00028304645767767637
Position 617: 0.0002383716613702311
Position 639: 0.00021649232164033528
Position 364: 0.00014305786218840757
Position 323: 9.573555884574876e-05
Position 1186: 6.764568057680487e-05
Position 5563: 6.588368925463159e-05
Position 424: 4.731683326991411e-05
Position 7401: 2.7103915807437e-05
Position 907: 2.387140282526784e-05
Position 963: 2.246621318784684e-05
Position 549: 2.1347420349273832e-05
Position 8620: 1.8469549726557876e-05
Position 10550: 1.7468859687689413e-05
Position 910: 1.6310390317259614e-05
Position 7519: 1.6240849932674744e-05
Position 1849: 1.532442531700215e-05
Position 1552: 4.230890563372862e-06
Position 3750: 3.1596830271419936e-06
Position 5673: 2.51762695476209e-06
Position 3562: 2.0870296722223624e-06
Position 5146: 1.8936104630574514e-06
Position 1533: 1.025712529075572e-06
Position 2491: 1.0049653990793486e-06
Position 5219: 9.72618098373766e-07
Position 2114: 8.883347018016642e-07
Position 1830: 7.0106664757261e-07
Position 1350: 6.886409123547658e-07
Position 1662: 5.800996902888614e-07
Position 2438: 1.215935001375315e-07
Position 495: 8.302992033850251e-09
Position 476: 3.3041171665963854e-09
Position 489: 3.245035849436562e-09
Position 407: 5.186218600662145e-10
Position 438: 5.0363441336628e-10
Position 499: 3.1788324591532464e-10
Position 306: 2.391484295872775e-10
Position 370: 2.7148115106308266e-11
