Gene = BNIP1
index = 137
Annotated 5SS: [  115  2444  9899 14331 15537]
Annotated 3SS: [ 2350  9806 14228 15417 19209]
SMsplice 5SS: [  115  9899 15537]
SMsplice 3SS: [ 9806 15417 19209]
top_k =  100
Partition function (log Z): -5.16282158900534

Sorted 5' Splice Sites (High to Low Probability):
Position 115: 0.9800902138284079
Position 9899: 0.9649564469603931
Position 15537: 0.9254065942769518
Position 7180: 0.25526718861986664
Position 2444: 0.2486000337532561
Position 10691: 0.23972502025206402
Position 17896: 0.22445571918934992
Position 17631: 0.1618921512539779
Position 16520: 0.06705971936897029
Position 11584: 0.052582240898882214
Position 10579: 0.04273876682731788
Position 15503: 0.02145892710764067
Position 10560: 0.019963767799553653
Position 97: 0.019909755044813033
Position 17851: 0.009657709410238614
Position 1681: 1.0299613329953405e-05
Position 2072: 5.379362358785288e-06
Position 494: 2.1985135689729625e-06
Position 2213: 8.073643701725392e-07
Position 1737: 2.4744275859491253e-07
Position 650: 2.473542104295584e-07
Position 631: 1.8396202063186353e-07
Position 668: 1.7581971695254307e-07
Position 1824: 1.5291251565888996e-07
Position 1903: 1.444979437222931e-07
Position 1991: 1.2925098619004304e-07
Position 170: 1.3744792205700768e-08
Position 174: 1.0486701399032936e-08
Position 65: 3.365712744259438e-09
Position 280: 1.8861254745817917e-09
Position 55: 7.099601838690576e-10
Position 309: 6.882211347389188e-10
Position 242: 2.1519721319115278e-10
Position 258: 1.4755316734594887e-11
Position 272: 9.07018302897927e-12
Position 269: 6.196862802947249e-12
Position 410: 4.3582803852643884e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 9806: 0.964956446960393
Position 15417: 0.9563931275474858
Position 19209: 0.8734803376809375
Position 17796: 0.3328527346829133
Position 10495: 0.27317507845815875
Position 7104: 0.25526718861986664
Position 17557: 0.1618921512539779
Position 2350: 0.133596571455323
Position 2210: 0.11501864742982822
Position 16378: 0.07027639900323945
Position 11451: 0.052582240898882214
Position 10513: 0.029619025671767045
Position 15739: 0.009084099746291197
Position 15764: 0.0028128133817562117
Position 17832: 0.0014154476219346397
Position 15628: 0.0012782321978581635
Position 6728: 4.3521675067401534e-05
Position 404: 6.677464992641637e-06
Position 1799: 6.359917585437489e-06
Position 2590: 6.216337225323222e-06
Position 1629: 5.964723136828719e-06
Position 1736: 3.899379805184547e-06
Position 221: 2.8882331491281396e-06
Position 1632: 2.7523156922987537e-06
Position 1532: 1.129614963027245e-06
Position 333: 1.1138020333218747e-06
Position 1949: 8.403060508166987e-07
Position 907: 7.792107548492354e-07
Position 1587: 6.868134019190232e-07
Position 2133: 3.2783699855760017e-07
Position 535: 1.6090035728609564e-07
Position 364: 1.2797004792706653e-07
Position 2093: 1.274238019789011e-07
Position 484: 1.1953717981130262e-07
Position 1406: 1.3588894474567562e-08
Position 552: 2.150490968860064e-09
