Gene = GCC1
index = 579
Annotated 5SS: [1457]
Annotated 3SS: [2297]
SMsplice 5SS: [ 759 2133]
SMsplice 3SS: [2000 2297]
top_k =  100
Partition function (log Z): -6.919631451975644

Sorted 5' Splice Sites (High to Low Probability):
Position 3875: 0.7517562654569978
Position 2133: 0.5876001842347711
Position 759: 0.586098225498751
Position 1760: 0.3373828581617823
Position 2619: 0.2823122498815936
Position 1457: 0.26963081325175026
Position 2510: 0.21909608438969463
Position 2337: 0.17082481802895655
Position 2747: 0.12393713192457206
Position 2598: 0.10824319273178636
Position 1895: 0.09756995261351509
Position 2797: 0.09099970150823511
Position 596: 0.06317167324952967
Position 1778: 0.05275209255668633
Position 4130: 0.04255693682919753
Position 876: 0.03794260079106203
Position 605: 0.025512818570830924
Position 303: 0.02310706107355552
Position 2085: 0.018376678967310517
Position 539: 0.009681887081450099
Position 307: 0.0069667607377780815
Position 283: 0.006719021878805478
Position 636: 0.004932846298912294
Position 128: 0.004560770846231517
Position 169: 0.004325991410666322
Position 182: 0.002937921545125568
Position 1225: 0.0027683490368544846
Position 207: 0.0013310005467188565
Position 1661: 0.0012723556774914002
Position 3841: 0.0007124960622690152
Position 62: 0.0006704192959228994
Position 298: 0.0005253181716849351
Position 601: 8.40927404056667e-05

Sorted 3' Splice Sites (High to Low Probability):
Position 2297: 0.9512013329829736
Position 3774: 0.8326725595466634
Position 2000: 0.5293516938233369
Position 4013: 0.3053154087952503
Position 1639: 0.2493290658611895
Position 4508: 0.23852711385210248
Position 4380: 0.2125608587268233
Position 2714: 0.20251230134900908
Position 1535: 0.1541332078381752
Position 1791: 0.07863933808278324
Position 2121: 0.031899758016199174
Position 2052: 0.017214192102508317
Position 4283: 0.016841609069372085
Position 1894: 0.015334891845345524
Position 1120: 0.014341116862692193
Position 1297: 0.01348778591203982
Position 696: 0.011994792138170719
Position 4828: 0.010972216964249801
Position 2243: 0.00902698458619171
Position 1324: 0.006302516624561642
Position 4910: 0.006001182427066494
Position 1957: 0.005772503951218251
Position 1123: 0.0053325543903972785
Position 4657: 0.004807308513599858
Position 1224: 0.0041209340315970875
Position 1876: 0.003177425124246063
Position 635: 0.0028475795103509818
Position 1539: 0.00230118067430753
Position 947: 0.00032133152206052275
Position 616: 1.9825926412853268e-05
