Gene = CRHBP
index = 411
Annotated 5SS: [  503   982  1474  3151  6177 10748]
Annotated 3SS: [  887  1315  2939  6027 10629 16014]
SMsplice 5SS: [  503   982  1474  2639  3151 10748]
SMsplice 3SS: [  887  1374  2529  3006 10629 16014]
top_k =  100
Partition function (log Z): 3.7866505442337988

Sorted 5' Splice Sites (High to Low Probability):
Position 1474: 1.0
Position 3151: 0.9948161252468924
Position 982: 0.9055536115620602
Position 10748: 0.8357279678850209
Position 503: 0.6587346922536108
Position 6177: 0.6103634132923472
Position 2639: 0.46141005546924296
Position 238: 0.25568489140727474
Position 2614: 0.17794281513866522
Position 10753: 0.16396308959007375
Position 8029: 0.14939902588197346
Position 11412: 0.09954709365503858
Position 4537: 0.09730012643692261
Position 16141: 0.09688802161443738
Position 1028: 0.09161810203232468
Position 11379: 0.08663375475957466
Position 6417: 0.06723118737027527
Position 493: 0.06688758495569008
Position 2654: 0.050277637334128523
Position 10960: 0.022381681693409053
Position 2621: 0.020256681512755337
Position 266: 0.014776459763262535
Position 66: 0.008540492527403963
Position 2940: 0.005418101300073331
Position 2372: 0.002769475218138789
Position 2485: 0.002041910759664612
Position 248: 0.001979673244795732
Position 592: 0.0018874453790483285
Position 1038: 0.000982491786977113
Position 45: 0.0008828675468776396
Position 155: 0.0007762460744709986
Position 3014: 0.0005243196007839804
Position 815: 0.00039311283868278824
Position 3419: 0.00018233467602684616
Position 52: 3.041203777829274e-06
Position 94: 5.7980325492866e-07
Position 130: 3.2091044432136556e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 10629: 0.9421512029899693
Position 1374: 0.7165724423484758
Position 16014: 0.7120698170111243
Position 2529: 0.6511076732860699
Position 887: 0.5312930590386906
Position 3006: 0.5045496944869992
Position 2939: 0.4578955745858259
Position 848: 0.3748222888360353
Position 6027: 0.3719290867067594
Position 1315: 0.2726993942863375
Position 6047: 0.2381297297667934
Position 11637: 0.16777485947583876
Position 7920: 0.14939902588197354
Position 11049: 0.10899083294265444
Position 928: 0.09031467859265982
Position 4210: 0.08831614845424902
Position 6355: 0.0672311873702752
Position 10490: 0.057539854485125656
Position 11341: 0.05626358282836185
Position 16694: 0.05314530356523988
Position 13078: 0.049386285472229625
Position 11177: 0.04489899240660457
Position 15573: 0.04131572474448175
Position 2887: 0.0347328630932337
Position 2556: 0.02759498430136712
Position 16408: 0.027147805761107046
Position 10832: 0.025287617166393377
Position 16633: 0.016594912288090378
Position 2613: 0.011427885151623554
Position 4324: 0.009241787989801053
Position 2502: 0.008920465549533432
Position 392: 0.007379486792153901
Position 1400: 0.006276191434422341
Position 2558: 0.005986808378949045
Position 2263: 0.004150566290816905
Position 2371: 0.004015381008765075
Position 1387: 0.0026632324424290905
Position 11892: 0.002265875535427938
Position 2843: 0.0021075409334755605
Position 2963: 0.0014728730482160143
Position 364: 0.0012782865138570132
Position 1341: 0.001007683487988063
Position 2091: 0.0008446112289080394
Position 308: 0.000775128410722188
Position 333: 0.0007486586410573031
Position 892: 0.0006105504059059117
Position 340: 0.0003526178430706033
Position 445: 0.0003441265619930569
Position 5918: 0.0003045968187944165
Position 2216: 0.00027722030408100214
Position 1347: 0.0002396340622848373
Position 3346: 0.00023346719380503274
Position 2409: 0.00019811248863581125
Position 1437: 0.00017198734419266376
Position 347: 0.00016627182153504906
Position 2229: 0.00014955187472210843
Position 1280: 0.00014830281997079114
Position 1220: 0.00012631704977461678
Position 1112: 9.370482603486334e-05
Position 236: 7.497135482558796e-05
Position 316: 6.903873746845394e-05
Position 368: 6.139496207521957e-05
Position 679: 5.400940750491469e-05
Position 897: 5.308713271831225e-05
Position 809: 5.005674220686785e-05
Position 121: 4.8869821131276874e-05
Position 941: 4.855895862787756e-05
Position 394: 4.45877158820468e-05
Position 582: 3.872392052930525e-05
Position 399: 2.0263631180762115e-05
Position 310: 1.6659188787163766e-05
Position 408: 1.3855080632901464e-05
Position 2406: 1.1553919145725608e-05
Position 389: 9.758495119606842e-06
Position 732: 7.5172873531940055e-06
Position 2284: 4.511254609724291e-06
Position 2302: 4.180766468908481e-06
Position 2186: 2.794553779108642e-06
Position 321: 2.67769426276767e-06
Position 2309: 2.2750751200348274e-06
Position 373: 2.1408825693917226e-06
Position 1173: 1.1098980903931442e-06
