Gene = SYNC
index = 1366
Annotated 5SS: [  512  8255 18862 19110]
Annotated 3SS: [ 7074 18736 19029 21258]
SMsplice 5SS: [170 512]
SMsplice 3SS: [  276 19029]
top_k =  100
Partition function (log Z): -17.43625255037162

Sorted 5' Splice Sites (High to Low Probability):
Position 512: 0.6127778644089508
Position 170: 0.5503201245765323
Position 196: 0.40137927642611715
Position 7215: 0.05198929765140643
Position 94: 0.025685842151747927
Position 2340: 0.0054708326442945
Position 1392: 0.0025932200105547717
Position 1135: 0.001009839395852062
Position 245: 0.00026967870565143103
Position 159: 0.0002554957220848355
Position 277: 0.000149270995422921
Position 30: 0.00010281627896736163
Position 934: 2.6883793148154654e-06
Position 359: 2.111082621179201e-06
Position 376: 1.8868741619966934e-06
Position 222: 6.511517680856808e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 276: 0.6378009318590373
Position 308: 0.2744712866018346
Position 7074: 0.19055291495387994
Position 10123: 0.1843398994236367
Position 2428: 0.06668116343540378
Position 1713: 0.02668520431548862
Position 1244: 0.024509838372529014
Position 5391: 0.020326997090751427
Position 8929: 0.02004911451017552
Position 1182: 0.01959971576809748
Position 7111: 0.019589156329675336
Position 1095: 0.017130723937313498
Position 611: 0.016300470967471524
Position 1664: 0.014175751453421023
Position 4607: 0.011779522459692543
Position 2275: 0.0117067913660172
Position 765: 0.010685194449213994
Position 5683: 0.00893127504624316
Position 1594: 0.008568599822541607
Position 4627: 0.0065608904647408975
Position 5551: 0.006447681748017951
Position 3121: 0.005402145917816512
Position 2499: 0.005174280045547068
Position 2449: 0.0050699680008528284
Position 3487: 0.004437029957999546
Position 240: 0.004415685932757052
Position 2424: 0.004230024974279209
Position 1025: 0.003516059225423356
Position 3698: 0.0030435683274132644
Position 1473: 0.002930637249901377
Position 369: 0.0023485245446998567
Position 1938: 0.002293828263987864
Position 3670: 0.0022270971392044144
Position 806: 0.0022186441183229735
Position 2903: 0.002089426555208392
Position 311: 0.0017822140395212212
Position 2325: 0.0012008069954943686
Position 2244: 0.0009231845122743624
Position 1789: 0.0009105880784557245
Position 1312: 0.0008830768586582177
Position 441: 1.6261072810914354e-05
Position 456: 1.4975112944805397e-06
Position 322: 1.2492110571856171e-06
Position 259: 8.619491118818569e-07
Position 376: 1.838806223572412e-07
Position 809: 1.503449912813983e-07
Position 403: 1.2622085302163693e-07
