Gene = UROD
index = 1539
Annotated 5SS: [ 139  873 1069 1208 1645 1924 2430 2690 2860]
Annotated 3SS: [ 759  988 1144 1446 1761 2291 2588 2792 3189]
SMsplice 5SS: [ 139  873 1069 1208 1924 2430 2690 2860]
SMsplice 3SS: [ 709  988 1144 1761 2336 2588 2792 3189]
top_k =  100
Partition function (log Z): 1.8155253547847696

Sorted 5' Splice Sites (High to Low Probability):
Position 1208: 0.9646975633676943
Position 2690: 0.9101498720076087
Position 1924: 0.8861412867620799
Position 873: 0.8440478564844118
Position 1069: 0.7770987152271763
Position 2430: 0.7223818863324178
Position 139: 0.6726624158114234
Position 2860: 0.5865334448960923
Position 1645: 0.13538623367031094
Position 1650: 0.07878156011057855
Position 2396: 0.07274426525057189
Position 1549: 0.06758114263855461
Position 1696: 0.05530536132096738
Position 1897: 0.04493486464480663
Position 1637: 0.043179432429474335
Position 2705: 0.042761783054521885
Position 1613: 0.042135951110303244
Position 658: 0.018685993024419967
Position 78: 0.01605038807995418
Position 160: 0.00841885528247111
Position 2847: 0.006616535432432751
Position 401: 0.006252166919683836
Position 1280: 0.00497039905400963
Position 1462: 0.0033101336178153863
Position 1326: 0.0032526811785073538
Position 635: 0.0003929775668167096
Position 3295: 0.00036595251805055233
Position 133: 2.709502079655485e-05
Position 1199: 2.199401263620736e-05
Position 143: 5.830401770514154e-08
Position 162: 1.221414292494598e-08
Position 187: 1.1205869227740834e-08
Position 257: 8.989674642642534e-09
Position 300: 4.127351567774413e-09
Position 26: 2.9512928625444646e-09
Position 86: 2.4255153889734817e-09
Position 102: 1.7175699136563553e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 1144: 0.9440981906743727
Position 2588: 0.9280257483164978
Position 1761: 0.9169830800253791
Position 988: 0.7722411824185887
Position 3189: 0.649305387751376
Position 2792: 0.6217415679146063
Position 2336: 0.44892567077835066
Position 1446: 0.4395023685703269
Position 709: 0.4105812608608756
Position 3166: 0.28091829006094177
Position 2291: 0.21836364432303773
Position 2319: 0.09067173556953123
Position 759: 0.06502144906730774
Position 601: 0.04964213550956999
Position 2300: 0.03542629023858477
Position 3126: 0.027089158239098462
Position 506: 0.02327113958479985
Position 990: 0.01797285996883552
Position 2624: 0.01716936917351787
Position 2177: 0.012907037974364814
Position 716: 0.007164007752902328
Position 3345: 0.0060615278426677625
Position 1068: 0.004264441203086601
Position 2760: 0.0039767146156552075
Position 806: 0.003410062755096807
Position 766: 0.003371179896822551
Position 721: 0.002960836405292627
Position 1025: 0.002386903845264262
Position 482: 0.0022496561130691795
Position 395: 0.002062467581245733
Position 784: 0.0017420870757708447
Position 1427: 0.0008761618846005922
Position 1014: 0.0006779674257742208
Position 605: 0.00040910452807481205
Position 237: 0.0003786863135759677
Position 853: 0.00037443660537463396
Position 3404: 0.00036595251805055233
Position 1207: 0.0003539412490199518
Position 297: 0.0003471100558638342
Position 1108: 0.00029263111630603784
Position 525: 0.0002885909125863147
Position 261: 0.0001784196085391417
Position 411: 0.00017768079348541666
Position 995: 0.0001678966970626025
Position 633: 0.0001364280200551692
Position 310: 9.476533414177644e-05
Position 348: 7.812169461084156e-05
Position 447: 7.157757570138981e-05
Position 1120: 5.91055673849145e-05
Position 324: 3.233271756814531e-05
Position 335: 1.3565097979392267e-05
Position 423: 6.742587343119198e-06
Position 200: 2.3835208650736748e-07
