Gene = SUB1
index = 1353
Annotated 5SS: [  284 56952 60053 67437]
Annotated 3SS: [56878 59929 67327 69371]
SMsplice 5SS: [  284  3365  5063  8154 39542 60053 67437]
SMsplice 3SS: [ 3297  5004  8018 39423 59929 67327 69371]
top_k =  100
Partition function (log Z): -33.368823360155986

Sorted 5' Splice Sites (High to Low Probability):
Position 284: 0.8884035541670378
Position 8154: 0.8789098254022751
Position 3365: 0.7112526261937772
Position 5063: 0.6777084416430281
Position 6651: 0.35109831802251007
Position 6607: 0.3057505137690673
Position 1159: 0.2622372384935641
Position 946: 0.15174819658867605
Position 345: 0.04638566973366671
Position 1823: 0.02603123375374557
Position 702: 0.019174406481664918
Position 486: 0.013158178992265526
Position 2823: 0.010233941106063587
Position 6620: 0.006029095481187364
Position 95: 0.0037606350112607038
Position 1816: 0.0024656797082981516
Position 414: 0.001739874435107803
Position 381: 0.0017268857902344573
Position 299: 0.0010663876038382362
Position 117: 0.0008147356464633516
Position 924: 0.00044367914274038347
Position 1577: 5.588663838915784e-05
Position 41: 1.8326277482045283e-05
Position 278: 4.072229595208997e-06
Position 15: 2.3998402041044574e-06
Position 6: 1.1912701707624715e-06
Position 349: 1.5478550712045437e-08
Position 220: 1.1883493509392723e-08
Position 320: 2.449448850141112e-09
Position 174: 1.9845852665719996e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 8018: 0.9029560492578573
Position 3297: 0.7197902222198065
Position 6463: 0.6795825211361876
Position 5004: 0.6777084416430293
Position 12682: 0.3202844584186167
Position 1040: 0.23157904748972227
Position 14601: 0.15982496658647888
Position 8994: 0.12721258916332673
Position 14238: 0.12079646184781256
Position 874: 0.08300819644785629
Position 6786: 0.062093476047272625
Position 8926: 0.05942233218676525
Position 10922: 0.05008532917882633
Position 1691: 0.02934533085763904
Position 8750: 0.02242843985120669
Position 8298: 0.01885524816923985
Position 1036: 0.015556986213519359
Position 848: 0.013516729075071296
Position 2615: 0.010662898325179058
Position 702: 0.008178184337005042
Position 1060: 0.007619915013568566
Position 988: 0.007506487511956198
Position 468: 0.007268520228867736
Position 6698: 0.0046448572281983114
Position 188: 0.004595611833180069
Position 380: 0.0039798877650148445
Position 526: 0.0034708222111390313
Position 892: 0.003033733913165581
Position 5407: 0.0020714350922242733
Position 780: 0.001855671570492996
Position 853: 0.00031002528771558894
Position 621: 0.00025230591177245976
Position 876: 0.0001791773085925557
Position 792: 0.00016193541281884225
Position 669: 0.00014611493414668677
Position 827: 8.456682838678772e-05
Position 726: 6.407681760041826e-05
Position 1466: 5.588663838915784e-05
Position 539: 2.309163040187811e-05
Position 567: 2.578257796885299e-06
Position 588: 2.2131057909057853e-06
Position 572: 1.5481505915854265e-06
Position 470: 1.528115148895407e-06
Position 405: 1.1259989991720444e-06
