Gene = PTCD2
index = 1096
Annotated 5SS: [  143  1898  6375 11009 14730 15519 18369 22670 32388]
Annotated 3SS: [ 1804  6244 10890 14650 15426 18254 22594 32273 37835]
SMsplice 5SS: [  143  1898 15519 18369 22695 32388 39161 42811]
SMsplice 3SS: [ 1804 15426 18254 22594 32273 39053 42711 46697]
top_k =  100
Partition function (log Z): -24.322070954709083

Sorted 5' Splice Sites (High to Low Probability):
Position 1898: 0.9977080228652397
Position 143: 0.6779374938155381
Position 5750: 0.6293297222272806
Position 6375: 0.2811082696469109
Position 882: 0.1447405243016615
Position 5448: 0.13561639750961105
Position 90: 0.1252799145139527
Position 6329: 0.0568447093669875
Position 1724: 0.043770074321114356
Position 5518: 0.035268364658148435
Position 284: 0.03296040489471222
Position 6149: 0.02223485208709798
Position 394: 0.016115134615851845
Position 6183: 0.01407943534749868
Position 100: 0.013876827246541825
Position 602: 0.013667070292693546
Position 352: 0.013487981425705974
Position 1562: 0.012221823950992415
Position 1049: 0.010762906596021929
Position 14: 0.006515050144997364
Position 1545: 0.004187253714159249
Position 1282: 0.002661921359479082
Position 1010: 0.0020709474489889533
Position 1015: 0.0009738537481290082
Position 29: 9.78573958745178e-06
Position 296: 3.0157801931560044e-06
Position 118: 2.9818778479850917e-06
Position 19: 2.3088798805040734e-06
Position 88: 1.8603680817494854e-06
Position 196: 1.2194780370080087e-06
Position 7: 4.824364517388251e-08
Position 10: 3.697114539034034e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 1804: 0.9975623238908174
Position 8871: 0.42918571219412877
Position 5688: 0.3854988139438989
Position 9385: 0.3808894311017892
Position 6244: 0.3363691814637013
Position 5343: 0.1728884827200013
Position 5665: 0.12858236876324844
Position 5554: 0.08335723486652427
Position 6063: 0.07825672457165687
Position 752: 0.04896186993543823
Position 5346: 0.046550558460392515
Position 6774: 0.03621300452329092
Position 7125: 0.03451043778263174
Position 1339: 0.03430450223799316
Position 6439: 0.019377439286266226
Position 953: 0.010947193249153709
Position 277: 0.008139922008759336
Position 1651: 0.00679628584707808
Position 6920: 0.005595765366638587
Position 4580: 0.005528585262812709
Position 1630: 0.005341793229233028
Position 5319: 0.005248998518219343
Position 8374: 0.005186838892378475
Position 2000: 0.0035612398739440112
Position 997: 0.002842577642925955
Position 5440: 0.002717372556930059
Position 1153: 0.0026619213594790744
Position 5834: 0.002285585165900552
Position 3764: 0.002084036622261976
Position 1825: 0.0019384896867607202
Position 1969: 0.0018398379416039294
Position 5999: 0.001802532127760129
Position 459: 0.0010354446654283651
Position 4360: 0.0009949864540349973
Position 3327: 0.0008192117339010551
Position 700: 0.000718115975890592
Position 3010: 0.000684850991904436
Position 3303: 0.0006787801300250233
Position 3215: 0.0005250660514230323
Position 3243: 0.0004989172019975302
Position 2119: 0.00045777913950736606
