Gene = OCLN
index = 982
Annotated 5SS: [  368 12003 17528 21818 42548 52828 55810 59294]
Annotated 3SS: [11884 16848 21655 42401 52611 55637 59251 61277]
SMsplice 5SS: [  609 12003 21818 42548 52828 55810]
SMsplice 3SS: [11884 21655 42401 52611 55637 61277]
top_k =  100
Partition function (log Z): -26.23981205556234

Sorted 5' Splice Sites (High to Low Probability):
Position 2724: 0.9999279890930369
Position 12003: 0.9998473908763704
Position 21818: 0.9770676381122632
Position 609: 0.5430992401283417
Position 549: 0.24944550009165234
Position 419: 0.06811490038029878
Position 368: 0.06434481591362423
Position 536: 0.04676613292745618
Position 225: 0.02823320376158048
Position 14986: 0.003086269195357786
Position 12256: 0.0007789232363097243
Position 12246: 0.0006815994456278899
Position 3079: 4.784279028453083e-05
Position 3440: 1.3567716729805342e-05
Position 2749: 9.410977728164845e-06
Position 2437: 8.941819988289701e-06
Position 2450: 4.149304977064871e-06
Position 3031: 3.819433866997403e-06
Position 2676: 2.3667790187342566e-07
Position 1268: 1.6345728565296145e-07
Position 331: 2.664518795679324e-08
Position 175: 8.844350908596703e-09
Position 68: 9.008747338568633e-10
Position 25: 8.907113088701222e-10
Position 524: 4.792570703004263e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 11884: 0.9998473908763704
Position 21655: 0.9770676381122632
Position 2559: 0.6912230890339242
Position 2585: 0.1663855936043014
Position 2631: 0.14232849376702345
Position 27356: 0.13585506890695515
Position 27162: 0.1339443903286251
Position 21905: 0.11602645137905447
Position 26113: 0.10597172629604054
Position 27446: 0.0940937679196154
Position 27694: 0.07564097448598701
Position 26980: 0.05571953864797065
Position 25039: 0.03645178896897756
Position 23639: 0.033955777721696494
Position 22367: 0.03193906341891913
Position 21955: 0.023967791244794614
Position 23139: 0.021415853225012795
Position 21931: 0.018996159196905525
Position 16848: 0.01752510032709902
Position 25565: 0.01610164548859178
Position 22643: 0.0131555767361464
Position 23679: 0.010291832565846685
Position 23719: 0.009880825024465096
Position 23486: 0.009265052787457572
Position 23406: 0.009017479338918541
Position 22024: 0.008155411497430461
Position 22279: 0.0073633854855573565
Position 21881: 0.0061538256517402225
Position 12174: 0.0038931645841418453
Position 21998: 0.0037042517955567515
Position 14867: 0.0024039441124371654
Position 14887: 0.0013354187687133526
Position 17748: 0.0011963987740489417
Position 15358: 0.00039989916079099575
Position 12137: 0.00025450808766754957
Position 12196: 0.00016119291777894472
Position 13100: 9.984363839301163e-05
Position 2986: 7.416740720854544e-05
Position 3168: 6.685750801555711e-05
Position 12396: 5.70742703331476e-05
Position 2834: 3.8225328502259324e-05
Position 3833: 3.674676350858732e-05
Position 2334: 1.1025121192334793e-05
Position 2390: 2.093135697911133e-06
Position 2748: 1.2087954585333832e-06
Position 548: 8.658658791254216e-07
Position 494: 8.449373639871621e-07
Position 1168: 7.967191005921037e-07
Position 535: 7.739906506602674e-07
Position 499: 7.657851524518416e-07
Position 2311: 4.3321149298118027e-07
Position 393: 4.2904803800766525e-07
Position 511: 5.364280288150917e-08
Position 309: 3.8040718178064675e-08
Position 438: 3.2667138161891165e-08
Position 450: 2.6985593193947447e-08
