Gene = RP11-511P7.5
index = 1174
Annotated 5SS: [ 172 3343]
Annotated 3SS: [2437 5013]
SMsplice 5SS: [172]
SMsplice 3SS: [2437]
top_k =  100
Partition function (log Z): -4.953874850366338

Sorted 5' Splice Sites (High to Low Probability):
Position 172: 0.987952305887834
Position 759: 0.2818263900515469
Position 2341: 0.17979768123910228
Position 1949: 0.13367738890088854
Position 2622: 0.09921147469297781
Position 1588: 0.03653845388337847
Position 1022: 0.03262231483509051
Position 1108: 0.020103700657603446
Position 998: 0.016091650597115127
Position 2718: 0.01602573507577116
Position 1646: 0.009093874611942216
Position 176: 0.0084893136179558
Position 1421: 0.006759507495506879
Position 2188: 0.004997608926412428
Position 1616: 0.0038550713487418126
Position 1298: 0.00367801598629419
Position 2681: 0.0030938847173084152
Position 974: 0.0019997970632445643
Position 434: 0.0006165761935396562
Position 385: 0.00036284529170972835
Position 1143: 0.000359788438398436
Position 1782: 0.0002011567236075328
Position 555: 0.00017442644789044686
Position 1040: 0.00016469499135967532
Position 1086: 0.00015605382758455738
Position 837: 0.0001237451514502664
Position 296: 9.676748956780739e-05
Position 550: 9.439953327159274e-05
Position 1197: 8.784837277496711e-05
Position 958: 6.672395080969628e-05
Position 211: 4.451454781965316e-05
Position 543: 2.9555666520895063e-05
Position 925: 2.3135248036116468e-05
Position 1069: 1.789673307715702e-05
Position 560: 6.433834618022551e-07
Position 217: 1.7790351728971197e-09
Position 254: 9.00421725485768e-10
Position 103: 8.075971180760694e-10
Position 285: 6.72807944092579e-10
Position 74: 6.26730737729027e-10
Position 6: 1.061145362845277e-10
Position 274: 2.1767195120353473e-11
Position 266: 1.9008527023337514e-12
Position 333: 5.591413879207049e-14
Position 346: 2.6808400431759738e-14
Position 309: 6.5312717241734945e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 2437: 0.7429320297213331
Position 592: 0.20770757710041782
Position 2081: 0.18479529016551471
Position 1497: 0.17298968078116375
Position 5013: 0.17033694603320346
Position 1826: 0.0862810388160696
Position 996: 0.06890800998062453
Position 922: 0.0466076525760722
Position 697: 0.041033386771890605
Position 4684: 0.03788081808134813
Position 514: 0.026191244733887
Position 1876: 0.022671293083570923
Position 3426: 0.008406819045965606
Position 4735: 0.00765540120538758
Position 3495: 0.0054704032565413415
Position 295: 0.0033537856577690183
Position 2562: 0.0029923505579783796
Position 3454: 0.002748896217316604
Position 650: 0.0023028751825931765
Position 2597: 0.0022007877272496516
Position 1064: 0.001667567081057295
Position 531: 0.0015863930782770343
Position 1315: 0.0005891080622652252
Position 604: 0.0004645681115279832
Position 344: 0.0001713110341298378
Position 574: 0.00015242727713777509
Position 702: 0.00014974106752865232
Position 694: 4.274847728835292e-05
Position 534: 2.5604184919945053e-05
Position 647: 2.4251141195501683e-05
Position 450: 1.850124463567163e-05
Position 606: 1.8099208312730164e-05
Position 673: 1.7795656921249777e-05
Position 424: 1.5816234756889765e-05
Position 675: 1.1494426192480711e-05
Position 447: 5.364041758981087e-06
Position 554: 4.009628362653387e-06
Position 494: 3.834912493549722e-06
Position 411: 2.369458234797197e-08
Position 235: 7.867189731909558e-10
Position 309: 2.7130556068650784e-10
Position 315: 1.7879253789953079e-10
