Gene = DPH3
index = 463
Annotated 5SS: [204 818]
Annotated 3SS: [ 742 4142]
SMsplice 5SS: [204]
SMsplice 3SS: [4142]
top_k =  100
Partition function (log Z): -8.854563093373663

Sorted 5' Splice Sites (High to Low Probability):
Position 204: 0.9790396186033586
Position 818: 0.20431526521524324
Position 4318: 0.07678014110395323
Position 3819: 0.07249767546342205
Position 378: 0.026060894956327244
Position 1689: 0.0248012071129552
Position 1808: 0.016330402984173258
Position 1381: 0.013076357527485755
Position 1653: 0.012442975518343401
Position 854: 0.01203651728804808
Position 3603: 0.007646134986759236
Position 923: 0.006071483339122185
Position 724: 0.004930214865904166
Position 775: 0.0042007211257872774
Position 1849: 0.003998868648008738
Position 671: 0.001960555413922855
Position 680: 0.0010877652629678117
Position 158: 0.0004127670490883724
Position 933: 0.0003839793782301064
Position 553: 0.0003606152436078468
Position 1636: 0.00035193685960397146
Position 407: 0.000265869622184219
Position 278: 0.0001722116959110837
Position 21: 0.0001353407164646407
Position 618: 7.677483850927618e-05
Position 590: 7.522519505664201e-05
Position 117: 4.98671154056217e-05
Position 32: 1.9305877142869418e-05
Position 178: 1.0770606115098386e-06
Position 215: 7.038888871349124e-07
Position 228: 3.385497402808359e-07
Position 252: 2.1566731352353928e-08
Position 247: 1.7121817823804128e-08
Position 104: 5.220742988310544e-09
Position 389: 1.2832071378121917e-09
Position 102: 1.0785410402178984e-09
Position 419: 8.591618196959617e-10
Position 68: 3.308784436406785e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 4142: 0.5501285165580829
Position 514: 0.24183713121604067
Position 6141: 0.19915138609613564
Position 742: 0.1543468612975864
Position 3747: 0.07249767546342205
Position 1535: 0.05916093269843394
Position 460: 0.05132766216956453
Position 5105: 0.027019949172808887
Position 3299: 0.018946250820842572
Position 6171: 0.012429047913255411
Position 3378: 0.011698777835157197
Position 1267: 0.008093750473903198
Position 1758: 0.00791174646706836
Position 1145: 0.007501322856200584
Position 3423: 0.007319088429059353
Position 5161: 0.00716518609830477
Position 281: 0.006886092588157959
Position 552: 0.006869682118991389
Position 3948: 0.0032555738742333904
Position 1298: 0.0030221748244445928
Position 3343: 0.002900815852816379
Position 1350: 0.0024813023547079816
Position 3323: 0.0022873259909432547
Position 3201: 0.002182816227457649
Position 578: 0.0017497807122403555
Position 922: 0.0008843610082609444
Position 102: 0.00014048296945690114
Position 1206: 9.690414929352233e-05
Position 746: 6.89059704223655e-05
Position 641: 5.8903492492590006e-05
Position 668: 5.773461519772395e-05
Position 679: 5.652954941589071e-05
Position 609: 4.4188410275451366e-05
Position 238: 1.3716543750992832e-06
Position 203: 9.915017882019666e-07
Position 381: 5.913951028265934e-07
Position 566: 4.5439708203409535e-07
Position 242: 1.7084206088556e-07
Position 401: 1.55659859856138e-07
Position 128: 1.1755694186591476e-07
Position 183: 4.787817551375603e-08
Position 116: 3.7930172232036594e-08
Position 155: 2.198439951198002e-08
Position 369: 1.66747503822338e-08
Position 213: 1.1311762603821339e-08
Position 247: 1.0608369358776582e-08
