Gene = NPRL2
index = 959
Annotated 5SS: [ 517 1161 1427 1706 2218 2407 2565 2775 2968 3333]
Annotated 3SS: [1068 1257 1596 2080 2308 2527 2680 2849 3189 3417]
SMsplice 5SS: [ 770 1179 2218 2407 2565 2775 2968 3333]
SMsplice 3SS: [1068 2080 2308 2527 2680 2849 3189 3417]
top_k =  100
Partition function (log Z): 8.54167120121873

Sorted 5' Splice Sites (High to Low Probability):
Position 2968: 0.9805892727847575
Position 2407: 0.9141302710219136
Position 2775: 0.7870500312964354
Position 2218: 0.7580142909351809
Position 770: 0.5521467410840126
Position 3333: 0.5175458207207199
Position 1179: 0.5015474925974951
Position 517: 0.483709386600802
Position 1186: 0.41640411047648573
Position 2565: 0.40124872036387565
Position 1706: 0.3016187978036533
Position 2569: 0.29135054013499134
Position 1427: 0.25398474135935295
Position 2781: 0.15173799945002617
Position 219: 0.11675514337448849
Position 1161: 0.08141079097156995
Position 836: 0.07184873642876603
Position 896: 0.07148092716115255
Position 909: 0.03195300818379058
Position 860: 0.031941055738134605
Position 2107: 0.025389423572489005
Position 3241: 0.025372727608544768
Position 2381: 0.020722171282572446
Position 3254: 0.018270400601756352
Position 2237: 0.010762070374578504
Position 1349: 0.0103561231269746
Position 382: 0.009158880527923486
Position 638: 0.0087884583078248
Position 2439: 0.005799467233653389
Position 430: 0.0052529968749395655
Position 1312: 0.0033421211623660767
Position 758: 0.0027584993616246185
Position 743: 0.0018264459554412711
Position 931: 0.0011740458337134872
Position 1159: 0.0003954061203205536
Position 790: 0.00034566882647061366
Position 68: 0.00031549366452270815
Position 137: 0.0002418300166965919
Position 39: 0.00021227104287423166
Position 732: 0.00017165556437306637
Position 1689: 2.7960464760370888e-05
Position 1738: 2.6786668246427497e-05
Position 284: 2.2330862050544105e-05
Position 9: 7.766869969896785e-08
Position 25: 2.363400383656943e-08
Position 31: 1.0760933621963437e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 1068: 0.9991177054379864
Position 2308: 0.9897476226008272
Position 2849: 0.8392426686975665
Position 2680: 0.8260116917793598
Position 3189: 0.8135614728967573
Position 2080: 0.7367191132730797
Position 2527: 0.6250519445184863
Position 3417: 0.6126845464692089
Position 1596: 0.2804616427874055
Position 1257: 0.2312603438418513
Position 611: 0.21093081338385777
Position 2884: 0.15084855826746094
Position 631: 0.1374674268455174
Position 3035: 0.12379633799474415
Position 2653: 0.05738897186369739
Position 2564: 0.0542534891447248
Position 2106: 0.053320153187806786
Position 1262: 0.03375411432012003
Position 757: 0.019949404776405003
Position 1600: 0.01642679267371883
Position 378: 0.012924112424182564
Position 2344: 0.009585131577644753
Position 2710: 0.007546455048593083
Position 2001: 0.004793764242888101
Position 1495: 0.0032422084429169903
Position 1309: 0.002876074052254042
Position 2501: 0.002065040021944689
Position 687: 0.0018991355443147054
Position 446: 0.001631912731639787
Position 711: 0.0011302400577820654
Position 476: 0.0010397039123787066
Position 2895: 0.0008138497848580227
Position 1276: 0.0007754735477782322
Position 585: 0.0007714207705200688
Position 504: 0.0006843720025552546
Position 1363: 0.0005598809193089532
Position 3228: 0.0005377003883750813
Position 1078: 0.0004954811301854277
Position 338: 0.0004246366906467235
Position 369: 0.0003781284779770265
Position 720: 0.0002646870849521957
Position 409: 0.0002317998375977732
Position 402: 0.00021757180644075183
Position 1025: 8.595061384964583e-05
Position 346: 5.9887483338457946e-05
Position 1030: 5.866298385067988e-05
Position 381: 4.314906942502044e-05
Position 297: 3.3574211110427365e-05
Position 2944: 1.469562347047036e-05
Position 412: 8.51991975012821e-06
Position 311: 6.916079472361155e-06
Position 239: 2.6768398741811778e-06
Position 121: 1.8305676741304271e-06
Position 152: 8.34740002029498e-07
Position 271: 4.999189984808325e-07
Position 313: 4.3229682659536665e-07
