Gene = JAGN1
index = 724
Annotated 5SS: [258]
Annotated 3SS: [2360]
SMsplice 5SS: [258]
SMsplice 3SS: [2360]
top_k =  100
Partition function (log Z): -6.926644114940001

Sorted 5' Splice Sites (High to Low Probability):
Position 258: 0.869110258003494
Position 2473: 0.2400954864841783
Position 95: 0.13696768887529265
Position 1346: 0.05056455538657018
Position 265: 0.04532746548098289
Position 1292: 0.040286594681199515
Position 1266: 0.02214619370354224
Position 690: 0.014747542282290922
Position 1200: 0.009425518405032597
Position 132: 0.007863786848038283
Position 1331: 0.0024554163922718133
Position 466: 0.0022231878459011427
Position 2315: 0.0018613438483508714
Position 138: 0.0012718954662677942
Position 790: 0.0010076707627878212
Position 3471: 0.0009840664580632419
Position 125: 0.0002518865218635888
Position 99: 6.564010538720982e-05
Position 23: 1.714810712406355e-05
Position 27: 8.278127852842441e-06
Position 114: 4.0047109973740615e-06
Position 145: 3.5537866477296e-06
Position 53: 2.409563385813088e-06
Position 116: 5.23328393153545e-07
Position 12: 5.014562152069179e-07
Position 153: 1.0906201349750275e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 2360: 0.9435527842066748
Position 1113: 0.12285761532470346
Position 3540: 0.09421443400186702
Position 2588: 0.049568292900569334
Position 184: 0.047338386712756746
Position 163: 0.023290201745081965
Position 2254: 0.022987840175000017
Position 3585: 0.02200394585343193
Position 3560: 0.018642499427575253
Position 2908: 0.016030090552157823
Position 2627: 0.012679095311870161
Position 2564: 0.01262950888657917
Position 1087: 0.010616543120931472
Position 1165: 0.005671720362330706
Position 2911: 0.00483975750403283
Position 2737: 0.004529252829576658
Position 2652: 0.004045387156143105
Position 3662: 0.003936343549646401
Position 3193: 0.003561060800653965
Position 356: 0.003224094776856088
Position 2655: 0.0031745561451474976
Position 3082: 0.002547470697467798
Position 3324: 0.002100254965950258
Position 341: 0.0018157671730809892
Position 3235: 0.0017027760362139676
Position 621: 0.0016762655831451738
Position 1239: 0.0015607928287631396
Position 212: 0.0014019102474828098
Position 3704: 0.001315288075755275
Position 222: 0.00104729567203455
Position 596: 0.0008105320598335537
Position 2798: 0.0007177568946122728
Position 3350: 0.0004061868687457793
Position 426: 6.100066495016397e-05
Position 475: 4.741612445981738e-05
Position 484: 3.485744706717703e-05
Position 693: 1.722393056787901e-05
Position 379: 1.4832846111068954e-05
Position 181: 1.2873155660985353e-05
Position 360: 8.714922843803553e-06
