Gene = SOX30
index = 1296
Annotated 5SS: [ 1309  3764  5784 14191]
Annotated 3SS: [ 3523  5603 13697 25698]
SMsplice 5SS: [  195  3133  5784 13585 14191 18646 25783]
SMsplice 3SS: [ 2953  5603 13399 13931 18471 25698 25957]
top_k =  100
Partition function (log Z): -11.747396654760855

Sorted 5' Splice Sites (High to Low Probability):
Position 5784: 0.9984520938992458
Position 13585: 0.8985661647002208
Position 14191: 0.781698105381209
Position 3133: 0.6931198844618709
Position 195: 0.5029084371927169
Position 18646: 0.3476194894122759
Position 13793: 0.2775380510904954
Position 96: 0.23618053339073442
Position 175: 0.22051101190253028
Position 3764: 0.09793015721197539
Position 3360: 0.037665551416025365
Position 230: 0.02264805721431087
Position 2985: 0.020727225449668464
Position 13590: 0.017721009681703485
Position 125: 0.016819837322252968
Position 723: 0.015965462986138573
Position 3826: 0.01432784899541673
Position 4036: 0.01397103022481459
Position 1444: 0.012306988626081972
Position 3672: 0.004604919238859001
Position 785: 0.003748862391413722
Position 4333: 0.0026909402034147115
Position 5744: 0.0009004712137684359
Position 6660: 0.0006549509814644546
Position 558: 0.0004359444801574355
Position 540: 0.00028578356055047167
Position 6069: 0.00012598861057997634
Position 72: 6.658594786701918e-05
Position 181: 3.875604355805709e-05
Position 242: 3.1935745657127025e-05
Position 28: 3.0570473859741634e-05
Position 157: 1.5196152572679181e-05
Position 289: 1.4722526940132329e-05
Position 1309: 1.2628046290428044e-05
Position 3385: 1.1275024282419243e-05

Sorted 3' Splice Sites (High to Low Probability):
Position 13399: 0.9203221344794968
Position 5603: 0.9139378748460644
Position 2953: 0.7138471099115399
Position 21821: 0.6975448171323557
Position 13931: 0.6874701637873382
Position 13697: 0.5413734258745052
Position 18471: 0.3476194894122759
Position 3523: 0.11706742620764962
Position 16803: 0.10021875692281063
Position 5683: 0.08582979382945477
Position 3281: 0.028994675498739537
Position 632: 0.018326888802579704
Position 3945: 0.012704798335790909
Position 6382: 0.011374089804250594
Position 7226: 0.0064255767139211216
Position 1302: 0.006044586464105935
Position 1362: 0.005698979199575734
Position 3209: 0.0053718721839845105
Position 7840: 0.0036574570127646837
Position 4220: 0.0026909402034147115
Position 3226: 0.002491225801366548
Position 6429: 0.0016819549301569084
Position 6353: 0.0016512241192687222
Position 3545: 0.0011434562307224415
Position 6403: 0.0009036310207637311
Position 3211: 0.0008190529562171722
Position 9840: 0.000740707551987956
Position 8814: 0.0005720451709491642
Position 7446: 0.0005656294685631927
Position 1427: 0.0005634229624003114
Position 647: 0.0004492622077687749
Position 557: 0.00044147154268174365
Position 8673: 0.00043459493362638487
Position 7783: 0.00025519547421012494
Position 674: 0.000250424144552398
Position 533: 0.0002462786799696564
Position 5867: 0.00023878063581592
Position 6761: 0.0001936583905207735
Position 6387: 0.00014101756167426825
Position 5976: 2.7456620363057175e-05
Position 5874: 1.5124174726915265e-05
