Gene = SEC61G
index = 1240
Annotated 5SS: [  85 1752 3468]
Annotated 3SS: [1651 3364 6825]
SMsplice 5SS: [ 209 1752 3468]
SMsplice 3SS: [1651 3321 6825]
top_k =  100
Partition function (log Z): -1.5852204570218988

Sorted 5' Splice Sites (High to Low Probability):
Position 1752: 0.928719170599547
Position 3468: 0.9240792974128086
Position 209: 0.618851830548297
Position 1278: 0.45297598748885776
Position 89: 0.21893107914089682
Position 85: 0.14128073816180242
Position 983: 0.11044313898450922
Position 6217: 0.11043774917727772
Position 2957: 0.09929962879570958
Position 954: 0.04880588924470385
Position 1667: 0.03779863306072613
Position 111: 0.034287090472004116
Position 4004: 0.03395634481483582
Position 5153: 0.0329196901955161
Position 6409: 0.023477076652947484
Position 1626: 0.020941251939191646
Position 807: 0.014375286459497748
Position 1318: 0.011859613698935385
Position 491: 0.011238056990185994
Position 1949: 0.01106139310063549
Position 858: 0.008878361672626683
Position 1428: 0.007170878793201706
Position 2130: 0.0020487323132035128
Position 2203: 0.0011991548612226915
Position 1100: 0.0009253418466242645
Position 1238: 0.0008131113642406801
Position 107: 0.0006201022189453033
Position 581: 0.0005607292770002078
Position 25: 0.000531954069894245
Position 567: 0.00041555614487471555
Position 76: 0.00040727618151280385
Position 80: 0.0003132159845402889
Position 74: 0.00013735956693192183
Position 3472: 5.115744319422641e-05
Position 978: 2.2576268516321532e-05
Position 408: 9.679570941906371e-06
Position 530: 7.011055684408757e-06
Position 19: 6.781376577253057e-06
Position 56: 4.740264391691049e-06
Position 562: 4.466326275294715e-06
Position 49: 1.8569001851935587e-07
Position 58: 1.888220632747765e-08
Position 93: 1.8250826643894343e-08
Position 178: 9.954117498455814e-11
Position 237: 9.437495723350046e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 6825: 0.7110200418396054
Position 1651: 0.5708071551644324
Position 3321: 0.4946023445833315
Position 3364: 0.47149935739288784
Position 1526: 0.41656742461944685
Position 1162: 0.39529785875124773
Position 717: 0.18036097448543637
Position 3573: 0.1268448290058371
Position 5956: 0.10182972187183544
Position 2754: 0.07191496457426838
Position 5980: 0.05401922548887064
Position 1123: 0.05219255632982923
Position 5007: 0.04988749136557944
Position 5228: 0.02736543331290343
Position 6341: 0.023477076652947484
Position 156: 0.01624729745012198
Position 2915: 0.016193438647101814
Position 6447: 0.014553262432818426
Position 1831: 0.012556535953697481
Position 3791: 0.012428738960265312
Position 1095: 0.011792765864125513
Position 2620: 0.011191225574339377
Position 372: 0.010929455830877689
Position 3884: 0.010236118520374964
Position 1077: 0.008965012984140468
Position 3550: 0.008129950708437817
Position 6552: 0.00513664401680072
Position 3930: 0.004857130386210665
Position 1374: 0.0038597564159675306
Position 2016: 0.003591173866260336
Position 4748: 0.0030966976045281236
Position 3695: 0.002275582653916412
Position 912: 0.0018354591401702521
Position 3887: 0.0014843887075726018
Position 821: 0.0014029135997812188
Position 783: 0.0006178094516569397
Position 335: 0.0004012433090400921
Position 3301: 0.0003330834186463737
Position 491: 1.4937733667626705e-05
Position 1272: 1.3268651009869424e-05
Position 432: 9.43655315013684e-06
Position 804: 8.713231879620234e-06
Position 1413: 7.572732054903719e-06
Position 3260: 5.767228313168092e-06
Position 229: 3.083279354057749e-06
Position 278: 1.2336243339139903e-06
Position 378: 1.2025871802573888e-06
