Gene = NPR3
index = 958
Annotated 5SS: [  823 13098 27308 63121 69094 71306 73161]
Annotated 3SS: [12974 27140 62984 68998 71169 73075 74510]
SMsplice 5SS: [  823 13098 14404 27308 30232 30753 34165 63121 69094 73161]
SMsplice 3SS: [12974 14311 27140 30062 30650 34027 62984 68998 73072 74510]
top_k =  100
Partition function (log Z): -34.75211888251599

Sorted 5' Splice Sites (High to Low Probability):
Position 823: 0.9759038299114742
Position 13098: 0.9724079735714752
Position 14404: 0.7110688166762358
Position 1713: 0.5909507462795301
Position 6226: 0.2922349437480796
Position 1006: 0.2671323178818671
Position 958: 0.19247905835494586
Position 1028: 0.15497878505949939
Position 13749: 0.14028886968788373
Position 3201: 0.11936493145359911
Position 16206: 0.09993613054571238
Position 216: 0.02053125169824649
Position 86: 0.013461980924030888
Position 814: 0.009603406610150201
Position 267: 0.008920099162140727
Position 354: 0.006296155691185692
Position 464: 0.005143510717038963
Position 936: 0.00313423125762123
Position 284: 0.0024703066258600667
Position 1083: 0.0011943568849064091
Position 1010: 0.0011129459276039183
Position 1143: 0.0009319958347623837
Position 720: 0.0007798745689959004
Position 795: 0.0004850028923121847
Position 736: 0.000453826401280847
Position 458: 0.0002668650058411899
Position 385: 0.00014931221789770484
Position 69: 6.603661086835025e-10
Position 376: 2.2024356493810227e-10
Position 222: 2.1771158013837659e-10
Position 127: 2.02988150094437e-10
Position 154: 5.3632806446971966e-11
Position 133: 3.0595925472298645e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 12974: 0.9724079735714725
Position 14133: 0.7916192419621555
Position 904: 0.6138808110545114
Position 18263: 0.4517873167325249
Position 1580: 0.3172460079396279
Position 6079: 0.29223494374807746
Position 1399: 0.26224984971016774
Position 15428: 0.2482530020205158
Position 16094: 0.17992000359469246
Position 13655: 0.1709498889795753
Position 3106: 0.12019143988535438
Position 13250: 0.05083984164625581
Position 15424: 0.030332495545586504
Position 7982: 0.01818840963736974
Position 548: 0.015240166358802393
Position 1479: 0.014584308858106396
Position 757: 0.014333040162632062
Position 602: 0.006722453303094396
Position 667: 0.00658869231005215
Position 930: 0.004713495751060757
Position 8754: 0.003582222108186776
Position 957: 0.002068602952722862
Position 728: 0.001838135371324779
Position 1117: 0.0011745110007556467
Position 353: 0.0002376191555734246
Position 1778: 0.00021579647942193925
Position 646: 0.0001552785824959094
Position 1182: 0.00012490936578995205
Position 456: 4.74062726477872e-07
Position 397: 4.258274388859611e-07
Position 298: 1.2021655585055867e-07
Position 236: 4.9081086360303175e-08
