Gene = MCIDAS
index = 821
Annotated 5SS: [ 297  481  740 4365 5140 6300]
Annotated 3SS: [ 383  647 4291 4915 6188 6508]
SMsplice 5SS: [ 297  481  740 4365 6300]
SMsplice 3SS: [ 383  647 4291 6188 6508]
top_k =  100
Partition function (log Z): 0.6552584768809666

Sorted 5' Splice Sites (High to Low Probability):
Position 481: 0.9969966898246129
Position 297: 0.9945915409016304
Position 6300: 0.9889483296718193
Position 740: 0.8267366765734635
Position 3753: 0.1380450709678515
Position 4587: 0.08822740916947162
Position 4710: 0.059167039662574805
Position 4454: 0.05504402985223156
Position 3279: 0.051934882932261756
Position 4059: 0.03679336595405219
Position 3211: 0.035127974064894166
Position 1062: 0.03392480587273418
Position 2930: 0.03194178516052157
Position 6810: 0.007807264616549614
Position 6291: 0.005295119101739823
Position 4096: 0.003387423660884474
Position 531: 0.0023053672460837493
Position 6419: 0.0015230479830549049
Position 4038: 0.001009736766778889
Position 1256: 0.0008346465951550225
Position 3162: 0.0006988967855070564
Position 3525: 0.0006860718847964604
Position 305: 0.0005625988249174701
Position 110: 0.0005610894015462337
Position 857: 0.00018848254002300983
Position 47: 0.00015895050395596497
Position 185: 0.0001421402819654694
Position 440: 7.471566853123224e-05
Position 513: 4.732464356402593e-05
Position 434: 4.533454566983116e-05
Position 325: 1.434108392465107e-05
Position 6412: 8.049770338341544e-06
Position 338: 4.77689601932939e-06
Position 208: 2.6208730819996457e-06
Position 103: 1.4857822738604235e-06
Position 919: 1.2529445764093484e-06
Position 700: 8.354978403486624e-07
Position 151: 3.975384646922509e-07
Position 112: 2.683931297643264e-07
Position 432: 2.656548108610361e-12
Position 438: 2.1343649174389583e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 383: 0.9798883506215372
Position 6188: 0.9696120351475478
Position 6508: 0.7885656370957934
Position 647: 0.728064001048593
Position 4291: 0.14211834292187972
Position 3405: 0.11285537442830024
Position 3103: 0.08789400567509766
Position 662: 0.05911232442877385
Position 6886: 0.05218120616136981
Position 3908: 0.04119052638171556
Position 4423: 0.040627999635377145
Position 584: 0.0392613578585705
Position 7027: 0.03765776685228439
Position 6568: 0.03611896593758807
Position 919: 0.03266000559444832
Position 2825: 0.02874024387798068
Position 6088: 0.02776241165214253
Position 7057: 0.027692530460646493
Position 3719: 0.025946455446246543
Position 6511: 0.022983801739063447
Position 4520: 0.02120824267251898
Position 7224: 0.011340787498669515
Position 420: 0.008063555721811446
Position 401: 0.0075903343416286375
Position 7013: 0.0075550990843090355
Position 6852: 0.005467857133172126
Position 6776: 0.004667865434238566
Position 6995: 0.00451848785328044
Position 2712: 0.0032015412825408917
Position 7133: 0.0018072080401034937
Position 6713: 0.0015222993902208382
Position 972: 0.0011515832067334403
Position 1193: 0.0009721419996569603
Position 7287: 0.0009006143451655643
Position 6858: 0.0006263914103217666
Position 6945: 0.0005980018372537379
Position 670: 0.00041500149091796786
Position 820: 0.0001132759117715153
Position 1286: 4.723653446240706e-05
Position 2110: 4.2532110152679145e-05
Position 347: 3.473716104345565e-05
Position 1831: 3.416004446840282e-05
Position 545: 8.381016091889755e-06
Position 603: 5.130475563779943e-06
Position 471: 4.820604803226655e-06
Position 739: 3.2807502406673268e-06
Position 609: 3.194011331002759e-06
Position 238: 2.0111702404483616e-06
Position 899: 6.273062553820729e-07
Position 1027: 5.653933164985689e-07
Position 591: 5.003787086216864e-07
Position 446: 3.461667476134116e-07
Position 464: 3.0292815306642543e-07
Position 427: 1.465753433034578e-07
Position 151: 1.0419627708372852e-07
Position 223: 6.708339198841126e-08
Position 275: 6.491722589772381e-08
Position 128: 1.930630191933964e-13
