Gene = KNCN
index = 751
Annotated 5SS: [ 151 2023]
Annotated 3SS: [1947 3405]
SMsplice 5SS: [ 151  981 1282 2023]
SMsplice 3SS: [ 829 1212 1974 3405]
top_k =  100
Partition function (log Z): -1.4010683625393958

Sorted 5' Splice Sites (High to Low Probability):
Position 2023: 0.949523216782655
Position 1282: 0.7616457454454884
Position 151: 0.7484437205078817
Position 981: 0.6160276612831233
Position 96: 0.22413034682438357
Position 1486: 0.19402513858975404
Position 736: 0.04433226560956507
Position 491: 0.04056603681951907
Position 830: 0.03832524293250463
Position 3429: 0.02807128769183348
Position 2456: 0.020590090736346635
Position 2801: 0.016419955619296045
Position 967: 0.001712609750914956
Position 279: 0.0012243353520344123
Position 836: 0.001026088232272618
Position 194: 0.0008367324572553918
Position 216: 0.0007507984711030525
Position 124: 0.0006095706999989589
Position 752: 0.0002980415107320001
Position 281: 1.4109583042548741e-05

Sorted 3' Splice Sites (High to Low Probability):
Position 3405: 0.8463699135197604
Position 1212: 0.7099249445253206
Position 829: 0.5853227974379319
Position 1974: 0.41891082612578023
Position 1947: 0.337308286269732
Position 1440: 0.179132685804479
Position 1764: 0.1281023013878222
Position 2617: 0.07582619622100656
Position 1795: 0.052414184906198466
Position 3287: 0.0422688811069477
Position 634: 0.039931866564391454
Position 694: 0.03493556108993379
Position 1190: 0.03426350419751323
Position 3547: 0.028102780360550434
Position 2666: 0.024491141922143165
Position 583: 0.023115910762976376
Position 2292: 0.018107610309379966
Position 1138: 0.015850395577720975
Position 343: 0.012851749546719308
Position 763: 0.011186914183407413
Position 2477: 0.011037863755042199
Position 1157: 0.009979236909842946
Position 1980: 0.00986669647470886
Position 413: 0.004426984817712119
Position 1307: 0.004371312588123935
Position 3408: 0.0037835523559332186
Position 3563: 0.003532962629239904
Position 1619: 0.00345474436262311
Position 1173: 0.0033070367249505945
Position 961: 0.002969296773765258
Position 2393: 0.0029566862897266715
Position 3308: 0.0013715793846976769
Position 2101: 0.0013575698860989315
Position 586: 0.0012695558849571788
Position 3774: 0.00108531530212657
Position 349: 0.0007676588702989567
Position 3725: 0.0006866730531386007
Position 1077: 0.0006516729876301268
Position 1244: 0.0005714428758146586
Position 893: 0.0005473649590425052
Position 1039: 0.0003052688898596272
Position 249: 0.00027340651184323594
Position 1055: 0.0002241102909909201
Position 1018: 0.0002063259006245831
Position 1670: 0.0002046608624256929
Position 426: 0.0001770173845133501
Position 308: 0.0001539647548723888
Position 455: 0.00014501546227428143
Position 473: 0.00012936134380225802
Position 215: 0.0001097589041918835
Position 420: 9.79655449597846e-05
Position 300: 8.190263519953127e-05
Position 256: 2.407428581369841e-05
Position 1281: 1.7723750348041126e-05
Position 735: 1.641155572012173e-06
Position 246: 1.5045455722310925e-06
Position 203: 1.406850357520427e-06
Position 224: 1.0174996814015212e-06
Position 272: 9.717265074286064e-07
Position 289: 8.860877260917359e-07
Position 1656: 8.578638917562302e-07
Position 230: 2.9031398254010474e-07
Position 158: 9.281478524162749e-08
Position 276: 6.455565365651403e-08
Position 278: 4.625906688949437e-08
