Gene = P4HTM
index = 994
Annotated 5SS: [  722  1026 11740 12708 14372 15282 15979 16299]
Annotated 3SS: [  943 11548 12610 14208 14971 15828 16174 16797]
SMsplice 5SS: [  503  1026 11674 12708 15979 16299]
SMsplice 3SS: [  943 11548 12610 15828 16174 16797]
top_k =  100
Partition function (log Z): 2.4027204471350467

Sorted 5' Splice Sites (High to Low Probability):
Position 12708: 1.0000000000000002
Position 1026: 0.9999999999999996
Position 16299: 0.9716649501790605
Position 11674: 0.852872561378333
Position 503: 0.8157220445471267
Position 15979: 0.7359910249074376
Position 14372: 0.6993633851492572
Position 6928: 0.4168965499838743
Position 14068: 0.19350546997818874
Position 14130: 0.19020028563236585
Position 15043: 0.15891644801632776
Position 722: 0.14136576897004619
Position 15702: 0.13955312040446316
Position 9769: 0.12219785940854049
Position 15829: 0.10021950753200407
Position 14105: 0.08428018247292446
Position 14866: 0.04982511857360568
Position 14332: 0.0372131952446422
Position 13677: 0.03344395983552782
Position 585: 0.015201540419367629
Position 13595: 0.013667826340963043
Position 16273: 0.012761753328806523
Position 13685: 0.011664140998330422
Position 60: 0.01051705377928347
Position 15926: 0.0074689502987526964
Position 825: 0.006324059532571282
Position 16677: 0.005127453340614744
Position 13525: 0.00452786341980467
Position 829: 0.003951879172069023
Position 13614: 0.0026459054930622543
Position 13711: 0.002200648156662788
Position 693: 0.0014862150069088265
Position 73: 0.0014386965759099423
Position 175: 0.0011623432595216845
Position 565: 0.0007492271516282102
Position 127: 0.0006722466446514077
Position 554: 0.0005700114005002031
Position 383: 0.00031398578800008713
Position 795: 0.00016358226450483677
Position 577: 0.00014345329346136777
Position 258: 0.00013815488625723156
Position 84: 7.973730819189116e-05

Sorted 3' Splice Sites (High to Low Probability):
Position 16174: 0.9927472560606518
Position 12610: 0.9923704795981215
Position 943: 0.9826785203424431
Position 16797: 0.8768724967830678
Position 11548: 0.852872561378333
Position 14208: 0.7365765803938996
Position 15828: 0.6492903142709844
Position 6837: 0.4168965499838743
Position 13843: 0.27834886417106847
Position 15466: 0.20858771497149028
Position 13969: 0.18963707391241044
Position 14971: 0.15690197969736372
Position 9599: 0.12219785940854049
Position 15887: 0.06947503938091386
Position 16565: 0.06803769198676968
Position 13499: 0.06674223632430702
Position 15777: 0.048726703973886114
Position 14735: 0.031410736909686224
Position 16405: 0.03098148276015519
Position 14697: 0.018414381663919448
Position 17101: 0.009161977922224989
Position 752: 0.009151036854460311
Position 12354: 0.007629520401878359
Position 15955: 0.007152830545383001
Position 899: 0.00711709486901035
Position 16925: 0.005935721813632773
Position 16431: 0.004490151720419318
Position 14828: 0.0020144683189640515
Position 13281: 0.001408107920043942
Position 917: 0.001053347934086428
Position 17139: 0.0007943548650525866
Position 16897: 0.0005330229365063049
