Gene = CNST
index = 387
Annotated 5SS: [  218 25496 55189 65479 67565 68142 75325 75592 81592 93889]
Annotated 3SS: [25065 54982 65447 67477 68026 75302 75494 80692 93752 99253]
SMsplice 5SS: [  218  3545 25367 28481 28685 51956 55189 67565 68142 70995 75592 81592
 87849 91057 93889 95169]
SMsplice 3SS: [ 3411 25225 28383 28605 51811 54982 67477 68026 70851 75494 81454 87658
 90873 93752 95062 99253]
top_k =  100
Partition function (log Z): -49.422326572484536

Sorted 5' Splice Sites (High to Low Probability):
Position 218: 0.745999864893504
Position 3545: 0.6979354338870423
Position 344: 0.25040659927208364
Position 5221: 0.2437187844240798
Position 3500: 0.03192589337604212
Position 6395: 0.031166126214999007
Position 6209: 0.02944213157686521
Position 3850: 0.016864600283985363
Position 3033: 0.013397747357756427
Position 5363: 0.012947114776002473
Position 5778: 0.01186014154577113
Position 3067: 0.009040409386165339
Position 1088: 0.005437389459182022
Position 52: 0.00354806426414876
Position 4336: 0.003261043843343688
Position 189: 0.0011234708356445216
Position 2763: 0.0006014651084281093
Position 1999: 0.00045613600063210916
Position 1056: 0.00036513066029097616
Position 522: 0.00026179995994984775
Position 1124: 0.00023145407954603932
Position 1579: 0.00015487307016395164
Position 1945: 0.00015204782568786058
Position 86: 0.00011863105071845553
Position 349: 5.565302210042909e-05
Position 138: 1.0295834089330792e-05
Position 385: 6.107891961954887e-06
Position 158: 3.318194228327799e-06
Position 88: 2.3347055288420897e-06
Position 721: 1.8519627521240077e-06
Position 150: 5.450299824126206e-07
Position 13: 9.979163250115729e-08
Position 351: 4.164003536319106e-08
Position 128: 3.4438937075788886e-08
Position 359: 9.38849775353289e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 5097: 0.46699371098533443
Position 3156: 0.36517582187050057
Position 3411: 0.3456832168009014
Position 10614: 0.3292807421585441
Position 5973: 0.1122704829762787
Position 6293: 0.09230537923331755
Position 12889: 0.08936869036198582
Position 3453: 0.0788932421724761
Position 2890: 0.0305334193881509
Position 974: 0.025935817276323297
Position 6327: 0.02145714958073773
Position 5546: 0.019962757084396612
Position 9300: 0.01991113229196468
Position 462: 0.015488240465357163
Position 6017: 0.014783275380988434
Position 5253: 0.009073418099618981
Position 4273: 0.008324893872181476
Position 3176: 0.007920614688816243
Position 3712: 0.007151838751818994
Position 4511: 0.005263536236268636
Position 6089: 0.005161244768898263
Position 3750: 0.005008152914049859
Position 4056: 0.004930596807104929
Position 4727: 0.004552505805694823
Position 3152: 0.003813291674386358
Position 411: 0.00333744405340733
Position 3783: 0.003302004293740004
Position 1461: 0.0028123701429441012
Position 553: 0.0019363721525535102
Position 1914: 0.001758700311116579
Position 4027: 0.0017410948817539315
Position 3387: 0.0017410516376246002
Position 3816: 0.001402604324376505
Position 1944: 0.0007910923886332294
Position 217: 0.000726156925548738
Position 2498: 0.000601465108428107
Position 384: 0.0005503440430937394
Position 321: 0.0005491714058548361
Position 186: 1.6779296092175236e-06
Position 286: 5.356866400855627e-07
Position 329: 4.6300398563767674e-07
Position 134: 2.825666801317875e-07
Position 173: 2.231783266943893e-07
Position 192: 1.398306143745876e-07
Position 158: 1.2429700775242915e-07
Position 243: 1.228096689835001e-07
Position 275: 1.8483525122033707e-08
Position 222: 1.3950537078539876e-08
