Gene = SSUH2
index = 1345
Annotated 5SS: [   85 16316 16775 18409 20026 21270 22411 24377 25846 26533 28526]
Annotated 3SS: [16216 16692 18132 19964 21144 22347 24290 25752 26426 28417 32059]
SMsplice 5SS: [  147 12127 13229 16316 16775 18409 20026 22411 24377 25846 26533 28626]
SMsplice 3SS: [12004 13147 16216 16692 18278 19964 22321 24290 25752 26426 28417 30447]
top_k =  100
Partition function (log Z): 12.518831063195117

Sorted 5' Splice Sites (High to Low Probability):
Position 16775: 0.9991406748839388
Position 24377: 0.9982823022603929
Position 16316: 0.9928163443129067
Position 20026: 0.9687887899362106
Position 12127: 0.9521521232066187
Position 13229: 0.9137990625712055
Position 26533: 0.8568319048900842
Position 28626: 0.8338085738488802
Position 18409: 0.8256287471784532
Position 25846: 0.8210337617414386
Position 3852: 0.5536855524979358
Position 14002: 0.5070578659986914
Position 147: 0.49502819037342655
Position 1313: 0.4716222580554219
Position 85: 0.4037000052772507
Position 19886: 0.3881504758624089
Position 21270: 0.36835257913734065
Position 20769: 0.2935432444533975
Position 12284: 0.24758370977742833
Position 29489: 0.23224016806880457
Position 22807: 0.21202458621411224
Position 18224: 0.20423999450525196
Position 28526: 0.1661914261511194
Position 27547: 0.12089701952222659
Position 9040: 0.11593546349147238
Position 19123: 0.10195411895547875
Position 50: 0.07883541627602135
Position 26351: 0.07437985447044176
Position 17882: 0.06870198201474693
Position 29763: 0.05409958505003568
Position 18700: 0.04514952163798721
Position 13225: 0.04324719514525597
Position 14605: 0.03386982200681619
Position 17677: 0.03169350840526538
Position 12131: 0.031249162041452866
Position 13233: 0.02466583717940333
Position 27466: 0.024089301609483034
Position 13935: 0.016097095780869368
Position 858: 0.014438344959465027
Position 18426: 0.013646030670712342
Position 27045: 0.01178583564699422
Position 13525: 0.010475174421880817
Position 17297: 0.008341709875244055
Position 16537: 0.007105280914912367
Position 16517: 0.007010680778867408
Position 201: 0.006808215334911754
Position 17788: 0.006532562867939766
Position 16368: 0.004513011248101681
Position 28849: 0.0025000358266531616
Position 29072: 0.0023729120344207935
Position 28981: 0.001744617162529891
Position 450: 0.0011898277789242902
Position 17561: 0.0006840746023222484
Position 16786: 3.128103402404483e-05

Sorted 3' Splice Sites (High to Low Probability):
Position 24290: 0.9982823022603929
Position 12004: 0.9959467181089624
Position 16216: 0.9897483474365166
Position 16692: 0.9888578189684158
Position 28417: 0.9888504310224736
Position 26426: 0.855431027312902
Position 25752: 0.8210337617414386
Position 19964: 0.7601140976381153
Position 13147: 0.7150856109974383
Position 18278: 0.6971940858403631
Position 19784: 0.5667912213178392
Position 3739: 0.5536855524979354
Position 13836: 0.5104278181413827
Position 29373: 0.44301533499743795
Position 30447: 0.3773798534325161
Position 21224: 0.27936991951184453
Position 13150: 0.2666264838984262
Position 1160: 0.255278346044598
Position 20693: 0.24387968960086195
Position 22696: 0.2120245862141122
Position 18078: 0.20163672442757405
Position 30727: 0.16418723748218098
Position 29863: 0.15834423103972675
Position 1127: 0.15642884870123092
Position 27362: 0.14498632113170953
Position 12216: 0.1409443704628788
Position 8836: 0.11593546349147228
Position 19055: 0.10008373517065253
Position 12220: 0.09409390645365873
Position 18132: 0.08507273223537355
Position 26272: 0.07578073204762464
Position 17786: 0.06644027440930705
Position 21026: 0.05959158104684792
Position 18501: 0.04514952163798723
Position 1277: 0.043556424550300094
Position 18323: 0.043514772354419
Position 31339: 0.03477389126665897
Position 14513: 0.03386982200681619
Position 20487: 0.032823790760592095
Position 17536: 0.03035217957911709
Position 19927: 0.03003394684266501
Position 20867: 0.02939107857864795
Position 29625: 0.024265830635614365
Position 30274: 0.023084700714333165
Position 32059: 0.01895304463924431
Position 29691: 0.018760723813384002
Position 20634: 0.016839764091943446
Position 1225: 0.016358638759293276
Position 18235: 0.016035117772564268
Position 16454: 0.014202353727278766
Position 30579: 0.012829547992952148
Position 13679: 0.01272714363817765
Position 27001: 0.01178583564699422
Position 28468: 0.01114671826193519
Position 17428: 0.010819673901850187
Position 13454: 0.010475174421880817
Position 16695: 0.010056586414319564
Position 16267: 0.007581008124490682
Position 28762: 0.0074575880636625624
Position 17107: 0.006283826081586095
Position 29045: 0.005787804867781288
Position 28925: 0.0031227092327119135
Position 17188: 0.0019343801063189591
Position 18955: 0.0018703837848261953
Position 28832: 0.0009948199642387731
Position 16616: 0.00012369075118917077
Position 17210: 0.00012350368733899983
Position 18015: 6.133972412327258e-05
Position 16500: 2.2827542426434986e-05
Position 16669: 1.4146046836669444e-05
Position 16728: 7.492855492976785e-06
Position 16516: 3.0013057827661248e-06
Position 28253: 2.8507155903063986e-06
