Gene = SLC51A
index = 1271
Annotated 5SS: [  247  1433 10616 11234 11770 12417 13558 16021]
Annotated 3SS: [ 1337 10460 11159 11610 12304 13410 15914 16558]
SMsplice 5SS: [  247  1433  1845 10616 11770 12417 13558 16021]
SMsplice 3SS: [ 1300  1727 10460 11610 12304 13410 15914 16669]
top_k =  100
Partition function (log Z): 3.6521357540975377

Sorted 5' Splice Sites (High to Low Probability):
Position 247: 0.9991784128631507
Position 1433: 0.9908895537838811
Position 11770: 0.9892722623027205
Position 12417: 0.8645363065742795
Position 16021: 0.7190214795260249
Position 1845: 0.5914560378883801
Position 13558: 0.4393150492206402
Position 3089: 0.2748389293536864
Position 3099: 0.26612820197983605
Position 546: 0.2100411081726453
Position 13520: 0.1765344870468593
Position 12114: 0.11089329337192455
Position 403: 0.10883329940091357
Position 589: 0.09191701524014556
Position 634: 0.07292343647364055
Position 12428: 0.06716713428252344
Position 14974: 0.04198479012422428
Position 469: 0.026212902455218408
Position 538: 0.016245327372345544
Position 14727: 0.011616839252391025
Position 11786: 0.010727737697280401
Position 15970: 0.010055794428124386
Position 419: 0.009652972899815907
Position 1867: 0.00960178493476266
Position 13618: 0.008365498919554881
Position 407: 0.006577593745023604
Position 2272: 0.0054906568798082644
Position 388: 0.00356095097234987
Position 542: 0.0027796936175758474
Position 2287: 0.0014684339124733119
Position 251: 0.000779658544486941
Position 177: 3.086308090763667e-05
Position 21: 5.890459730117485e-06
Position 40: 7.529724730694954e-07
Position 289: 1.476473843988545e-14
Position 275: 2.932977655061347e-16

Sorted 3' Splice Sites (High to Low Probability):
Position 11610: 1.0000000000000007
Position 15914: 0.994888023226977
Position 12304: 0.928017664670154
Position 13410: 0.6208265805041839
Position 1727: 0.5495819627963393
Position 1300: 0.5489116912117099
Position 2985: 0.5409671313335226
Position 16669: 0.5305973330056034
Position 327: 0.42720934709111447
Position 1337: 0.3629020441707414
Position 453: 0.10456576926957235
Position 1321: 0.07855745128631327
Position 16126: 0.06306749480064987
Position 16558: 0.058612948007876864
Position 11924: 0.057921545706890204
Position 11838: 0.04531760298814197
Position 14808: 0.04198479012422426
Position 16198: 0.028899422784103894
Position 16804: 0.026847905553555186
Position 1573: 0.01709269502962328
Position 1684: 0.014700413305122381
Position 16524: 0.014061616609650801
Position 1753: 0.012979522511383252
Position 14550: 0.011616839252391023
Position 593: 0.00788068590351267
Position 11902: 0.00765414467689237
Position 16829: 0.00699055319270968
Position 2189: 0.006959090792281576
Position 1734: 0.004896955828175804
Position 12356: 0.003685776186649596
Position 417: 0.00361117332850396
Position 15797: 0.0029584296351674684
Position 13321: 0.0027798559753059717
Position 432: 0.002058040923251703
Position 13557: 0.0016156199098187887
Position 1832: 0.0015627374626801644
Position 550: 0.0014901470401810408
Position 14030: 0.0011465259356018146
Position 350: 0.0007748487588829236
Position 387: 0.0005608998346020551
Position 1348: 0.00042098228483512974
Position 527: 0.00040074821171881504
Position 1531: 0.0002435358898187671
Position 329: 0.00018601996554330324
Position 1404: 9.738483028194964e-05
Position 118: 2.1965568843925216e-06
Position 123: 8.58453501199081e-10
Position 377: 2.9428601660079286e-10
Position 395: 1.3128107555485938e-10
Position 197: 5.506185305118549e-11
Position 360: 4.758639230544609e-11
