Gene = ESM1
index = 511
Annotated 5SS: [ 447 3667]
Annotated 3SS: [3516 6227]
SMsplice 5SS: [ 447 3667]
SMsplice 3SS: [3516 6227]
top_k =  100
Partition function (log Z): -7.031425195725923

Sorted 5' Splice Sites (High to Low Probability):
Position 3667: 0.968126538506381
Position 447: 0.5087070314579135
Position 249: 0.4203195456508038
Position 3010: 0.22465009210280243
Position 5505: 0.13081223116081947
Position 756: 0.09617380007694462
Position 512: 0.050133472974907375
Position 2660: 0.02843492504934795
Position 2158: 0.027180959307368534
Position 5806: 0.016545774171589575
Position 313: 0.01463989227996279
Position 2812: 0.014187812502796658
Position 3038: 0.01268477577085505
Position 581: 0.012669821321784151
Position 813: 0.011570587945583789
Position 3738: 0.00883057073277628
Position 6017: 0.006873945938690454
Position 6521: 0.0035803873450280382
Position 3799: 0.0029874530323972877
Position 536: 0.0003463564152503076
Position 391: 0.0003380190388221438
Position 435: 0.00022747409234839854
Position 311: 0.0001234988758035812
Position 423: 7.07510370347208e-05
Position 194: 7.02259610783526e-05
Position 554: 4.0514049466091005e-05
Position 517: 3.4487707442269794e-05
Position 221: 1.684351351594403e-05
Position 56: 6.125291677754334e-06
Position 240: 8.405171398637823e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 3516: 0.970613467700715
Position 6227: 0.8126340403844574
Position 2759: 0.2486245102237645
Position 5447: 0.1045022807400717
Position 682: 0.08569989079539964
Position 3791: 0.0377332253250235
Position 4277: 0.03615143911477752
Position 2379: 0.022488803627536295
Position 323: 0.02226523782097463
Position 5602: 0.019845842279978584
Position 1998: 0.018193522330724545
Position 5054: 0.017239121161391858
Position 5477: 0.01660038971447716
Position 5712: 0.015344685295739582
Position 6191: 0.01456160061046391
Position 6606: 0.01424255466017661
Position 5773: 0.01213058780377919
Position 3406: 0.011343830771737068
Position 5333: 0.010173756258301374
Position 4959: 0.00875732313512
Position 2046: 0.0061428134200685455
Position 2339: 0.005946121421811677
Position 6792: 0.005509253527111826
Position 5282: 0.004947392373199813
Position 3914: 0.004853019434050262
Position 4019: 0.004772368128845044
Position 6848: 0.004464222729628409
Position 350: 0.0040228481342680245
Position 4348: 0.0037713019906850873
Position 580: 0.0032340021655179138
Position 2113: 0.003175782438710794
Position 2659: 0.0028981701526893987
Position 7756: 0.002751870928969424
Position 3995: 0.0021108268421190287
Position 5072: 0.0013622511267394628
Position 4050: 0.0010090899679880037
Position 640: 0.0002673092913219521
