Gene = MRTO4
index = 883
Annotated 5SS: [ 325 3302 4513 5607 5983 6446 7015]
Annotated 3SS: [3242 4408 5524 5914 6293 6937 7141]
SMsplice 5SS: [ 325 4513 5607 6018 6446 7015]
SMsplice 3SS: [4408 5524 5914 6293 6937 7141]
top_k =  100
Partition function (log Z): 7.968500707635348

Sorted 5' Splice Sites (High to Low Probability):
Position 4513: 0.9941247966852149
Position 7015: 0.9884668077340881
Position 5607: 0.9833705380390682
Position 325: 0.9610545975103227
Position 6446: 0.9392419111816316
Position 6018: 0.5402830391612213
Position 3302: 0.2066596364564912
Position 6185: 0.20592473575743517
Position 5843: 0.11269759652840101
Position 5983: 0.10213595385062833
Position 7311: 0.09338092289169263
Position 710: 0.07813718290308061
Position 3350: 0.07785597954044213
Position 6845: 0.02884234741636671
Position 386: 0.027873803395177987
Position 4701: 0.01948705529688999
Position 6355: 0.015343539226266127
Position 6335: 0.012383137402069175
Position 500: 0.009852376615691678
Position 5975: 0.008937649222404283
Position 6471: 0.008554053633757702
Position 2090: 0.008113874034978317
Position 8314: 0.007768737815510028
Position 555: 0.006718923753129102
Position 4119: 0.00667867176999568
Position 5402: 0.004254889916933145
Position 5939: 0.0037608351138592173
Position 6819: 0.003617639292673939
Position 7509: 0.0035922202030469422
Position 7493: 0.0034485664401290327
Position 8338: 0.002891690111664156
Position 7175: 0.001987262171124849
Position 7153: 0.0018755981314896033
Position 6817: 0.001759662196078262
Position 5284: 0.0016294768897927672
Position 5934: 0.0013197695258607234
Position 5338: 0.0011599376974172275
Position 5044: 0.0010124351994694903
Position 6152: 0.0004144845708107685
Position 5342: 0.0003035818827463325
Position 5915: 0.00022493841994908096
Position 4706: 0.00018339034435869154
Position 6967: 7.606296072658286e-05
Position 514: 7.53751204945534e-05
Position 440: 7.358055226901421e-05
Position 7213: 7.277238385175343e-05
Position 519: 3.187848068592755e-05
Position 191: 2.8717052891801764e-05
Position 6911: 2.2860458497978846e-05
Position 72: 1.0189013561711524e-05
Position 485: 3.0265947543554123e-06
Position 577: 2.8451095674853657e-06
Position 363: 9.791639585346677e-07
Position 283: 4.645483675379517e-07
Position 340: 2.7115566959469793e-07
Position 262: 3.495234766397146e-08
Position 119: 3.228300883867399e-08
Position 251: 1.0103498719960169e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 6937: 0.9869090831857147
Position 6293: 0.9745526276820349
Position 4408: 0.9673116396944583
Position 5524: 0.967258151988371
Position 7141: 0.9555593548153078
Position 5914: 0.7044244250446768
Position 3135: 0.23403557288311652
Position 6147: 0.14535080508933212
Position 8210: 0.1059882570944601
Position 5765: 0.08079861081528486
Position 3242: 0.04196718154882471
Position 6723: 0.03698459458050715
Position 554: 0.03245484137864667
Position 8406: 0.03144091651279353
Position 4386: 0.026671479070722127
Position 4603: 0.02068288084071817
Position 414: 0.020443917208219742
Position 5697: 0.018505945355301166
Position 704: 0.017768370182073195
Position 5500: 0.014897362142584022
Position 548: 0.012033679195524293
Position 7394: 0.011202827897627846
Position 5677: 0.01011236595612636
Position 3098: 0.00851286156499194
Position 5546: 0.008079128075159203
Position 1927: 0.00675913184781082
Position 7144: 0.005546260437625388
Position 4004: 0.0035002041328277434
Position 3933: 0.0031801636241022384
Position 5272: 0.0030057599070723263
Position 5231: 0.0029352039799471603
Position 6096: 0.002930347593651507
Position 7204: 0.0027708271410049534
Position 6077: 0.002176146061292481
Position 6112: 0.0020404533281075925
Position 5199: 0.0016511031220862492
Position 1975: 0.0013547421871674974
Position 6876: 0.0011413454875704094
Position 567: 0.0009479155762952433
Position 5733: 0.0007357520389299895
Position 5687: 0.0006586431206454581
Position 5771: 0.0005869590681088741
Position 5774: 0.00036372734520561745
Position 5379: 0.0002773215704653586
Position 5919: 0.00027713335402034255
Position 7398: 0.00018077923423702647
Position 4136: 0.00013998193310072962
Position 5331: 0.00013840196328472945
Position 588: 0.00013765001146740386
Position 5704: 0.00010984212197155445
Position 7002: 7.890382009163127e-05
Position 462: 7.791475625193796e-05
Position 5968: 6.92664409978795e-05
Position 5242: 4.584855594723873e-06
