Gene = PDZK1IP1
index = 1009
Annotated 5SS: [ 190 2737 5054]
Annotated 3SS: [2627 4957 6011]
SMsplice 5SS: [ 190 2737 5054]
SMsplice 3SS: [2627 4957 6011]
top_k =  100
Partition function (log Z): 0.6971365087808362

Sorted 5' Splice Sites (High to Low Probability):
Position 2737: 0.9766516533837658
Position 5054: 0.9743632313018006
Position 190: 0.9712470201252185
Position 1062: 0.17715154091056112
Position 3087: 0.16046569604408145
Position 848: 0.14063883150213957
Position 3359: 0.037264233352029885
Position 502: 0.03054023210800624
Position 6064: 0.02888073942419929
Position 3431: 0.01955960670919079
Position 1513: 0.01895608491595139
Position 3466: 0.015376152499211062
Position 3070: 0.014303443987418474
Position 238: 0.013715849360479124
Position 4151: 0.013185695261519317
Position 787: 0.012925356993756198
Position 5027: 0.00979252352008987
Position 5059: 0.009740440356375394
Position 497: 0.008783092298175425
Position 1258: 0.008243294189788804
Position 1103: 0.0058261086922506014
Position 6081: 0.004074398008423057
Position 739: 0.0013983709773877986
Position 5079: 0.0013849927496741446
Position 491: 0.0013368430218055824
Position 5117: 0.0007831950908724779
Position 389: 0.00043791096564994397
Position 773: 0.0003913937680159903
Position 746: 0.0003853215707468865
Position 2985: 0.0003532896910828096
Position 768: 8.618785670421234e-05
Position 181: 1.5410283284299992e-05
Position 125: 6.696846803990892e-06
Position 5010: 2.5190727720288924e-06
Position 32: 2.4358471985413285e-06
Position 165: 1.0956738018265444e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 6011: 0.9962149463230056
Position 4957: 0.9854737239614285
Position 2627: 0.8773930642206488
Position 949: 0.1879826157510492
Position 726: 0.1457330386436673
Position 2966: 0.10843375500441368
Position 3161: 0.07228603776403147
Position 2609: 0.06780215766906533
Position 3035: 0.05570799010746825
Position 262: 0.029054637952309743
Position 6306: 0.025885169572851977
Position 1377: 0.017165726601495335
Position 4031: 0.013185695261519317
Position 2514: 0.012472261294794257
Position 4842: 0.010326865732137714
Position 2656: 0.01019150170824889
Position 2583: 0.00871254770753315
Position 2942: 0.006880631694315322
Position 6184: 0.005439804984898547
Position 2989: 0.003318397450097197
Position 1046: 0.0032059890409703194
Position 6231: 0.003063891850870996
Position 738: 0.0022896562542191966
Position 279: 0.0022052986452908065
Position 812: 0.0019757218517783256
Position 1257: 0.0017903583144560512
Position 6017: 0.000993606232727742
Position 6202: 0.0005319053491394374
Position 6236: 0.0005090899297385963
Position 2800: 0.0003101265587184319
Position 4590: 0.00030061686908204485
Position 568: 0.00025561952666131304
Position 3018: 0.0002383070591171335
Position 2803: 0.00023322184845271917
Position 373: 0.0001161461539132831
Position 674: 0.00010324432406512603
Position 4566: 9.895024293643019e-05
Position 6411: 9.489739652790563e-05
Position 2411: 8.012078347515861e-05
Position 325: 5.407940677237572e-05
Position 825: 5.3861775382200204e-05
Position 399: 3.517985866933751e-05
Position 847: 1.6349606442374087e-05
Position 329: 1.223175145036636e-05
Position 295: 1.1915253919053064e-05
Position 331: 9.523503218375107e-06
Position 307: 6.803974833303506e-06
Position 5990: 2.5258752612476493e-06
Position 386: 2.4812882337883055e-06
Position 345: 2.09742089744007e-06
Position 407: 1.898674561195923e-06
Position 389: 1.3768794406638456e-06
Position 417: 1.2111069395588556e-06
Position 314: 9.197689620940892e-07
