Gene = MORN5
index = 855
Annotated 5SS: [  109  7005  9846 14717]
Annotated 3SS: [ 6856  9733 14584 39973]
SMsplice 5SS: [  109  9846 14717]
SMsplice 3SS: [ 9733 14584 39973]
top_k =  100
Partition function (log Z): -13.69211619755447

Sorted 5' Splice Sites (High to Low Probability):
Position 9846: 0.9999982257736535
Position 109: 0.9963404000451669
Position 14717: 0.7440469293572037
Position 3242: 0.44197042853954216
Position 7005: 0.38529868049721216
Position 1516: 0.2005526146635814
Position 3452: 0.14044803724938532
Position 5908: 0.09581768261920318
Position 16754: 0.09305319034579285
Position 20077: 0.058522707353759966
Position 3604: 0.04593332129431005
Position 3599: 0.032956096434240884
Position 10910: 0.02728793171221863
Position 11417: 0.023437045212787295
Position 11784: 0.021145755503556005
Position 1466: 0.011145806845970723
Position 14585: 0.00832355042442382
Position 2561: 0.006787066727733303
Position 1105: 0.0056529400904037465
Position 11400: 0.0017187326037304618
Position 222: 0.0009817771585730333
Position 11: 0.0006370180343252624
Position 451: 0.00043890008264665156
Position 3005: 0.00037653347609272153
Position 292: 6.393838437180889e-07
Position 294: 4.119544587845402e-07
Position 582: 4.026016926011202e-07
Position 98: 3.9765754621861885e-07
Position 311: 3.915850748103869e-07
Position 313: 3.7550684192921053e-07
Position 67: 3.481214733830266e-07
Position 309: 3.3039958021802565e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 9733: 0.9999982257736534
Position 19909: 0.7593525352687538
Position 14584: 0.7454235464829554
Position 3004: 0.3960499085552285
Position 6856: 0.38529868049721233
Position 24843: 0.1873443339169547
Position 1465: 0.18238414959171528
Position 3349: 0.1580839235254762
Position 16619: 0.11195384246605126
Position 5806: 0.0958176826192032
Position 17990: 0.07851257829208351
Position 3387: 0.06125353145246023
Position 3196: 0.04505882720561653
Position 1203: 0.027406505571678015
Position 11480: 0.01679223833054565
Position 14277: 0.015523553420071936
Position 11273: 0.012898811408825511
Position 11276: 0.012256966407692223
Position 10627: 0.008534519626420496
Position 10754: 0.007766231157824292
Position 10715: 0.006966257218975074
Position 2458: 0.005851608947580164
Position 11558: 0.005032969282983461
Position 10672: 0.0044021022873236846
Position 11944: 0.002376006509392796
Position 13811: 0.0022017328773665796
Position 890: 0.001964126230257397
Position 724: 0.0018380326088581983
Position 2852: 0.0011362177973752352
Position 2427: 0.0009354577801531627
Position 1362: 0.000803838267389644
Position 1443: 0.0006333931516532727
Position 1487: 0.00029614866064451683
Position 866: 0.0002539480088582687
Position 11521: 0.00019584333290372644
Position 1447: 0.00017438626647136893
Position 2875: 0.00010200845741461007
