Gene = MGLL
index = 841
Annotated 5SS: [   167   1557  41462 100821 102198 112675 128276]
Annotated 3SS: [  1411  41354 100683 102086 112584 128059 130926]
SMsplice 5SS: [   167   1557   8143  10401  14046  14368  22873  24460  41462  56112
  57560  68767  87546 100821 102198 112675 128108 128276]
SMsplice 3SS: [  1411   7920  10320  13954  14311  22777  24319  41354  55987  57442
  68688  87356 100683 102086 112584 128059 128194 130926]
top_k =  100
Partition function (log Z): -56.72517782442552

Sorted 5' Splice Sites (High to Low Probability):
Position 167: 0.9593230153727933
Position 1557: 0.8801800529164348
Position 942: 0.19359479857394932
Position 1530: 0.11979048052207654
Position 4617: 0.09904144551942463
Position 583: 0.09346425344285339
Position 6005: 0.07318142751863926
Position 527: 0.03336423460390636
Position 3907: 0.03277629526088871
Position 2541: 0.030007174810027768
Position 591: 0.02948627522769061
Position 570: 0.02862303009738265
Position 2568: 0.027717464634945625
Position 6777: 0.023095984993934338
Position 523: 0.022930365238085476
Position 951: 0.006716484512687718
Position 805: 0.004020457175037127
Position 748: 0.003958314400997512
Position 1206: 0.0038871441126596077
Position 2207: 0.002753704543837011
Position 1265: 0.0024839133787362385
Position 1252: 0.0021884263155208866
Position 593: 0.0016503388144031889
Position 273: 0.001317887240455263
Position 216: 0.0008659480473629877
Position 294: 0.0008389784335411437
Position 488: 0.0006297963894547862
Position 328: 0.00023400615669939522
Position 318: 9.336933378504635e-05
Position 1585: 2.9466561477113845e-05
Position 300: 2.5983408859755722e-05
Position 279: 2.5468179935300232e-05
Position 271: 1.7229680735796495e-05
Position 277: 1.5118665534238753e-05
Position 209: 7.81552828898601e-06
Position 281: 7.208404682102796e-06
Position 283: 6.754878763611037e-06
Position 326: 6.2074422123848285e-06
Position 310: 5.394638235014554e-06
Position 316: 4.472840695431245e-06
Position 296: 2.0315230937325753e-06
Position 201: 5.008809858084702e-07
Position 80: 4.828953729121395e-07
Position 252: 1.2994311339128666e-07
Position 234: 1.1051886597548515e-07
Position 298: 3.2423079725476956e-09
Position 308: 3.067534434265525e-09
Position 285: 2.573559033010147e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 1411: 0.9984778367505328
Position 4468: 0.30549353131591694
Position 6555: 0.24379806955950223
Position 426: 0.16430883020516815
Position 6878: 0.1477005457815422
Position 5778: 0.09818639934347285
Position 8440: 0.0908272788618304
Position 855: 0.08338064182370289
Position 2379: 0.062359055013181716
Position 895: 0.06158594228854798
Position 457: 0.05462302626870857
Position 3830: 0.0518240441630524
Position 7027: 0.04864408164293721
Position 2692: 0.033867261204773166
Position 2043: 0.028823596724323206
Position 2349: 0.022491687916507446
Position 2999: 0.0205292559002742
Position 7285: 0.019192971039137884
Position 1744: 0.018958543423869115
Position 3309: 0.018113868320351854
Position 6501: 0.01558947879733667
Position 1778: 0.01517634192842511
Position 2327: 0.0117213572057947
Position 2494: 0.008810773569008707
Position 405: 0.006680396841055801
Position 1110: 0.006071010799596091
Position 1690: 0.005886810379199674
Position 2269: 0.005293568181311832
Position 475: 0.00526642381945225
Position 3630: 0.004654873376497167
Position 3581: 0.004274586560974853
Position 797: 0.004143707518620784
Position 3054: 0.0032517999727823188
Position 1747: 0.002103593098091242
Position 1467: 0.0014733531153239973
Position 1061: 0.001457452026308409
Position 661: 0.001224108588418388
Position 968: 0.0010310209810122314
Position 2072: 0.0004404625948373944
Position 2093: 0.0002911246678936679
Position 2090: 0.00026853673887275605
Position 1482: 1.9862475685413118e-05
Position 1341: 1.9669594776933042e-05
Position 506: 1.4727453620243098e-05
Position 365: 8.66656657422582e-06
Position 1507: 4.718954539015472e-06
Position 1529: 2.8580718519577193e-06
Position 1430: 1.7010372809748257e-06
