Gene = VPRBP
index = 1550
Annotated 5SS: [  122 16276 29066 33192 36881 56229 58610 59025 66526 67298 69188 74253
 76823 77879 78441 79770 81933 82607 83275 83564 84178 93434 97845]
Annotated 3SS: [16157 28988 33117 36766 56090 58096 58922 66345 67087 69017 74127 75558
 77679 78357 79684 81698 82512 83169 83489 84075 93180 97751 99454]
SMsplice 5SS: [  122  3261 10687 16276 29066 33192 36881 56229 58610 59025 74253 77879
 78441 79770 80263 81912 82607 83275 83564 84178 93434]
SMsplice 3SS: [ 3213 10566 16157 28988 33117 36766 56090 58460 58922 74127 77679 78357
 79684 80178 81698 82512 83169 83489 84075 93180 97751]
top_k =  100
Partition function (log Z): -27.365368158916844

Sorted 5' Splice Sites (High to Low Probability):
Position 16276: 0.9999999999999979
Position 36881: 0.9979502718235694
Position 29066: 0.9922789420474882
Position 122: 0.8726105489543082
Position 3261: 0.8627768341906086
Position 10687: 0.736364005029687
Position 33192: 0.44283321766246814
Position 33196: 0.16898316654678808
Position 7606: 0.10724784822729322
Position 33351: 0.09205685582496675
Position 33384: 0.07924587802683704
Position 3395: 0.07099381051535243
Position 36: 0.0413811089627982
Position 25: 0.0373839543521339
Position 174: 0.032517401073675865
Position 33369: 0.03219637694783052
Position 3366: 0.02881365714983553
Position 9840: 0.023527391201284057
Position 35239: 0.020097672805652115
Position 4229: 0.01999016550413349
Position 29205: 0.016863570358165384
Position 29343: 0.012189597531671197
Position 409: 0.012168656073662864
Position 710: 0.009897585720925256
Position 33240: 0.00940332863545669
Position 9706: 0.008250132355838172
Position 40571: 0.003826188656333647
Position 33918: 0.00291810553188363
Position 264: 0.001714053310089346
Position 31031: 0.0016781702457565927
Position 640: 0.0008784342772636145
Position 1895: 0.0003878756489968912
Position 697: 0.00037584175202839693
Position 378: 1.4081830170571971e-05
Position 199: 5.503906644482417e-06
Position 19: 4.609628905309963e-06
Position 21: 4.507767480322539e-06
Position 17: 4.3608112118205944e-06
Position 59: 4.106522784452324e-06
Position 61: 3.646399983493275e-06
Position 492: 2.2439097882941468e-06
Position 57: 2.225766350712017e-06
Position 15: 2.1942256701190177e-06
Position 40: 1.2977220726231913e-06
Position 87: 9.866684223942577e-07
Position 411: 6.43400555595454e-07
Position 396: 4.6262247900975887e-07
Position 413: 3.255182307433062e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 28988: 0.9999999999999979
Position 16157: 0.9999999999999962
Position 36766: 0.9996486758802868
Position 3213: 0.9625707840264545
Position 33117: 0.8250701477640596
Position 10566: 0.7006965567560755
Position 49481: 0.4742975243218533
Position 43661: 0.06480357692208434
Position 43514: 0.058512140880130126
Position 42548: 0.04994993234941445
Position 7480: 0.04678671157111662
Position 42078: 0.042762755170289636
Position 46045: 0.03984966521880398
Position 46402: 0.03694141614745323
Position 10562: 0.03566744827361269
Position 7419: 0.03551501862399356
Position 38867: 0.03235244858007394
Position 9570: 0.031777523557122295
Position 42876: 0.02715025309336621
Position 7505: 0.024946118032183245
Position 39384: 0.02339948874024754
Position 37251: 0.02300905810563503
Position 35090: 0.02009767280565216
Position 42267: 0.018014396333635104
Position 44103: 0.017559773618099735
Position 39206: 0.017368814950229444
Position 40700: 0.012884621881239932
Position 29245: 0.011084953409805877
Position 40527: 0.009811334959675793
Position 38193: 0.00944256742671078
Position 40989: 0.0087805552463792
Position 40093: 0.008299197911760705
Position 29156: 0.008248353397516759
Position 4101: 0.00739379969927222
Position 4110: 0.005715914657981014
Position 481: 0.00547958019671091
Position 41773: 0.0050074639272731656
Position 4077: 0.003841662070618208
Position 38333: 0.0037816398069874086
Position 38088: 0.0033632528510604276
Position 37950: 0.0032381975510933697
Position 33799: 0.002918105531883627
Position 563: 0.0028552743824021296
Position 39873: 0.0023536062685464484
Position 40408: 0.0020147255144862776
Position 29193: 0.001998803130005134
Position 37070: 0.0019624022906857643
Position 37094: 0.001958975755144804
Position 38978: 0.0017118986451336597
Position 30974: 0.0016781702457565927
Position 4174: 0.0011646313906892335
Position 3920: 0.0009613728190326107
Position 37129: 0.0009488183296065563
Position 4003: 0.0009127848665402025
Position 296: 0.0006436336321099022
Position 40290: 0.0002459576828033843
Position 1641: 0.00023499768246901742
Position 1711: 0.00015287796652787625
Position 2866: 1.2967466476056387e-05
Position 3311: 5.503628658873359e-07
