Gene = STYXL1
index = 1352
Annotated 5SS: [  342 17583 19362 26153 34262 42745 44246 47114]
Annotated 3SS: [17478 19299 26010 34115 42598 44147 47000 51403]
SMsplice 5SS: [  342 14196 14368 17583 19362 26153 34262 42745 44246 47114]
SMsplice 3SS: [14059 14296 17478 19299 26010 34115 42598 44147 47000 51403]
top_k =  100
Partition function (log Z): -22.44306303072667

Sorted 5' Splice Sites (High to Low Probability):
Position 342: 0.9999950623459748
Position 17583: 0.9987468488451807
Position 19362: 0.9232922081108292
Position 14368: 0.7378308777643157
Position 14196: 0.737830877764313
Position 26153: 0.36610129008082437
Position 192: 4.7472478141536205e-06
Position 91: 1.9040620636832415e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 17478: 0.9987468488451807
Position 19299: 0.8748197622460475
Position 27467: 0.7948654261870499
Position 14059: 0.7379076251139888
Position 14296: 0.737830877764313
Position 26010: 0.37712995738043825
Position 19275: 0.06339318813581474
Position 23393: 0.04894538919576048
Position 23061: 0.03209265739281789
Position 22776: 0.01727737837748717
Position 22222: 0.016809506772161614
Position 20391: 0.014112532770732197
Position 25345: 0.008391582882699844
Position 20947: 0.007452018291282136
Position 22524: 0.006744103892083804
Position 21818: 0.0062801667785520226
Position 20788: 0.004371255435435881
Position 20856: 0.0029449311950187607
Position 20563: 0.0029128483102726075
Position 22902: 0.0027366366747542926
Position 18462: 0.002410734123085982
Position 19526: 0.0018469230148478602
Position 18911: 0.0014129400754957114
Position 20763: 0.0012038019853416037
Position 19446: 0.0006315883574630686
Position 11296: 9.222553428677196e-05
Position 13206: 8.652764345825419e-05
Position 14536: 8.124064628892303e-05
Position 5018: 7.102919778110256e-05
Position 12546: 3.9706183637745915e-05
Position 7181: 3.7753318499887274e-05
Position 12061: 2.6565414825348477e-05
Position 520: 2.1878261739529674e-05
Position 8443: 1.3672307112379294e-05
Position 4418: 9.344556740686836e-06
Position 593: 8.516632034725415e-06
Position 4244: 5.218727425026263e-06
Position 4390: 4.105105478716161e-06
Position 6829: 3.946434138410349e-06
Position 4166: 3.850784751914648e-06
Position 423: 3.2596257068979468e-06
Position 445: 2.939710300878678e-06
Position 6272: 2.9226060917489486e-06
Position 3476: 2.4444071827635327e-06
Position 749: 2.3643899173191158e-06
Position 3881: 2.3052234434392137e-06
Position 4470: 1.994302527572826e-06
Position 3439: 1.976602268071676e-06
Position 429: 1.5507321466972478e-06
Position 3461: 1.4323748774441602e-06
Position 3054: 1.048990695007996e-06
Position 819: 4.590149084636547e-07
Position 2310: 3.9580449042810026e-07
Position 907: 3.015191392324311e-07
Position 910: 2.3443005061173107e-07
Position 565: 2.1088538627462568e-07
