Gene = MSL2
index = 887
Annotated 5SS: [875]
Annotated 3SS: [43107]
SMsplice 5SS: [  875  1149  3896 42995]
SMsplice 3SS: [ 1048  3816 42818 43107]
top_k =  100
Partition function (log Z): -26.21319365974958

Sorted 5' Splice Sites (High to Low Probability):
Position 3896: 0.8742252113023603
Position 875: 0.821274829429521
Position 1149: 0.7183562642242529
Position 1452: 0.42071939587817075
Position 1989: 0.3506632118555959
Position 265: 0.08701553900662054
Position 2471: 0.04527679898715107
Position 2905: 0.025274844041521614
Position 940: 0.022763333120163272
Position 2984: 0.02265551520594617
Position 2869: 0.012508185217222087
Position 2021: 0.011090139814438597
Position 935: 0.010787622772866901
Position 6445: 0.0038612721889295996
Position 2812: 0.0030271341721942197
Position 252: 0.0011695104792062837
Position 617: 0.0009505877805706134
Position 963: 0.0009487190160614007
Position 494: 0.0005216601752563163
Position 514: 0.0004350829026305529
Position 967: 0.0003977079741341966
Position 554: 0.0002362550028773724
Position 28: 0.00020026623906500545
Position 363: 0.00019244049754369382
Position 556: 3.633226535480274e-08
Position 522: 3.235758271294273e-08
Position 598: 2.7460177264915913e-08
Position 468: 6.217445548206433e-09
Position 143: 1.070689163938961e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 3816: 0.9121928385529862
Position 1048: 0.5753193921446438
Position 14701: 0.25738375100751837
Position 13934: 0.2481349592996776
Position 1338: 0.24025559256757778
Position 1926: 0.1890070143613939
Position 7127: 0.14875490541305045
Position 992: 0.1301668395585419
Position 1369: 0.1259222787684793
Position 1840: 0.11735790917843412
Position 7147: 0.08838752400081326
Position 6127: 0.06886868323290314
Position 2743: 0.052902782174513475
Position 6554: 0.04573649111724152
Position 2367: 0.045276798987151035
Position 8179: 0.036759129171261375
Position 1902: 0.03208293902118584
Position 7416: 0.026678603850065513
Position 1837: 0.02311798244633978
Position 4080: 0.013153891790007866
Position 6574: 0.011269371605960102
Position 2775: 0.010562896462370673
Position 4008: 0.009341725278327252
Position 1009: 0.008813288328188604
Position 4100: 0.003968639082101599
Position 4051: 0.0034087609929679768
Position 1083: 0.0029627844420669906
Position 1052: 0.0026687618561347555
Position 974: 0.0021019574934906327
Position 3364: 0.0009056304542405016
Position 920: 0.0004314967059919661
Position 1408: 0.00025641615407302423
Position 1787: 0.00018750666268097852
Position 1232: 8.279575686299663e-05
Position 1026: 6.754450243922165e-05
Position 679: 2.2934164711308013e-05
Position 709: 1.2691978340024014e-05
Position 773: 1.0943000924363284e-05
Position 781: 6.0531304120668244e-06
Position 573: 4.2730898551197e-06
Position 852: 2.126674263713677e-06
Position 724: 1.615872272496075e-06
Position 338: 4.796545525258606e-07
Position 802: 2.991542088358073e-07
Position 810: 2.1458956371896206e-07
Position 830: 1.1602805716515857e-07
