Gene = ASZ1
index = 105
Annotated 5SS: [  168   688  5287  7361 41826 42798 44538 45455 46513 47586 58912 60172]
Annotated 3SS: [  587  5163  7248 41713 42662 44412 45378 46455 47475 58805 60057 63774]
SMsplice 5SS: [  168   688  5287 41826 42798 44538 47586]
SMsplice 3SS: [  587  5163 41713 42662 44412 47475 58805]
top_k =  100
Partition function (log Z): -30.278616547317956

Sorted 5' Splice Sites (High to Low Probability):
Position 688: 0.9951172027975754
Position 168: 0.9800852768488726
Position 5287: 0.8593714178551445
Position 7361: 0.35533854649588836
Position 146: 0.016955038323837365
Position 11957: 0.011529362392191196
Position 5840: 0.0011461868728396883
Position 4722: 0.0008611474730596274
Position 5727: 0.0008068784121702961
Position 112: 0.0007354405744581849
Position 383: 0.0004929817340658013
Position 5069: 0.0004791158048733251
Position 399: 0.00045186627768434344
Position 464: 0.0003273327485022436
Position 266: 0.00029534733921890785
Position 377: 0.00021979027745912423
Position 502: 0.00016344544742676352
Position 35: 7.82453865491136e-05
Position 298: 4.8042713031594175e-05
Position 264: 3.9185370361360936e-05
Position 161: 3.464037669166162e-05
Position 201: 2.670940942286199e-05
Position 394: 2.28679181979717e-05
Position 5263: 1.5066525369592241e-05
Position 302: 1.4645118278253227e-05
Position 522: 9.144135934314927e-06

Sorted 3' Splice Sites (High to Low Probability):
Position 587: 0.9853656010538655
Position 5163: 0.8301617925833477
Position 7248: 0.35497068653389496
Position 16795: 0.3458796707663063
Position 11809: 0.24311071432302894
Position 12286: 0.14104692495622756
Position 14197: 0.06513895497359176
Position 11820: 0.038411469507202756
Position 5545: 0.036734128823925676
Position 13221: 0.023390774012350374
Position 7782: 0.022688586855046655
Position 5189: 0.02012483724558764
Position 5526: 0.012152431907521365
Position 5221: 0.010976340014030448
Position 5965: 0.01061664426772397
Position 5839: 0.00832653940323526
Position 615: 0.008161853804958652
Position 10870: 0.007167475495330863
Position 7100: 0.006330108717786892
Position 3664: 0.005428012530847905
Position 8142: 0.005212505291682488
Position 5235: 0.005207728591881272
Position 6036: 0.004999287931217774
Position 8280: 0.004798975275472581
Position 1037: 0.0038307316408793812
Position 8569: 0.003134033701298008
Position 4353: 0.00245482999094348
Position 6450: 0.002325433831135039
Position 5713: 0.0019785016426666162
Position 897: 0.0013404336205352467
Position 6674: 0.0012083197667806312
Position 472: 0.0011733029720705675
Position 1376: 0.0011093470605823687
Position 758: 0.0010023976414208812
Position 431: 0.0007402028973745511
Position 376: 0.0007191136790532963
Position 598: 0.000718255285920497
Position 4579: 0.0006435850402644648
Position 4857: 0.0004791158048733251
Position 1989: 0.00046776040244620896
Position 3344: 0.0004519414598039209
Position 1061: 0.0004495096855799584
Position 916: 0.00043566975245522033
Position 2406: 0.000391924409907226
Position 4008: 0.00038580037830802065
Position 2661: 0.0003845909962960938
Position 3688: 0.00037557202470895045
Position 3843: 0.00035179718757904506
Position 2611: 0.0003472029322593485
Position 2336: 0.00029414046819524665
Position 3200: 0.00024059503805693734
Position 1210: 0.00018791493078150676
Position 1551: 0.00018268048568785645
Position 1448: 0.00014866850758881765
Position 4549: 0.0001294420032232314
Position 284: 8.012189069238293e-05
Position 5030: 7.963465285324086e-05
Position 620: 9.14502751305242e-06
Position 671: 7.850327761414329e-06
Position 394: 1.510557902609387e-06
Position 534: 1.1651243077067635e-06
Position 635: 1.652375204205974e-07
Position 639: 1.651757341781891e-07
Position 654: 1.4464327259161203e-07
Position 560: 1.227423402521335e-07
Position 624: 2.1721190422426694e-08
Position 674: 1.4086944436675244e-08
Position 310: 3.336336622937644e-09
