Gene = TRMO
index = 1487
Annotated 5SS: [  153  6407  9170 12611]
Annotated 3SS: [ 6231  9011 11953 17577]
SMsplice 5SS: [ 153 6407 9170 9698]
SMsplice 3SS: [ 6231  9011  9594 17577]
top_k =  100
Partition function (log Z): -3.038126357043344

Sorted 5' Splice Sites (High to Low Probability):
Position 153: 0.9406724091531076
Position 6407: 0.9164566750033962
Position 9170: 0.8266438885082087
Position 9698: 0.6480958965029847
Position 8063: 0.5652890886433017
Position 9933: 0.38346340787336347
Position 10770: 0.3142909602963613
Position 8592: 0.2644869122760366
Position 9163: 0.1683421244004137
Position 764: 0.1499742102927648
Position 9823: 0.09559564056534625
Position 8586: 0.06831437131572692
Position 5618: 0.057833565739783495
Position 13299: 0.03317513118000345
Position 14107: 0.026136720470526106
Position 8581: 0.01925909764703524
Position 9327: 0.01809160391851318
Position 8661: 0.018046575570770097
Position 759: 0.01623630237690514
Position 1617: 0.010974423162617132
Position 9693: 0.009544278353305347
Position 3367: 0.007610456833389685
Position 309: 0.00650037519939293
Position 3740: 0.004788194741608227
Position 190: 0.0007966083491232543
Position 254: 0.0007208295565410191
Position 9343: 0.0004717901210479621
Position 52: 0.0004417742498628081
Position 314: 0.00013192777700003742
Position 419: 0.00012471248186262548
Position 479: 0.00011264065604985935
Position 38: 9.302688201638847e-05
Position 172: 4.058705177523511e-06
Position 121: 3.7800530358387e-06

Sorted 3' Splice Sites (High to Low Probability):
Position 9011: 0.9900951895280288
Position 17577: 0.9368930539008512
Position 6231: 0.9164566750033964
Position 9594: 0.7190586255373402
Position 9786: 0.39090165216665645
Position 8543: 0.3701069568095687
Position 10581: 0.3235645581149837
Position 8031: 0.21164087767160014
Position 7838: 0.16379696361485163
Position 7893: 0.12328629763195458
Position 630: 0.10859242636875072
Position 7995: 0.06656494972489548
Position 5466: 0.057833565739783495
Position 13988: 0.0442231748675793
Position 9801: 0.034506068493766126
Position 13227: 0.03317513118000345
Position 10016: 0.023264664753048697
Position 9258: 0.02100970513432876
Position 3225: 0.007610456833389676
Position 1528: 0.007281763299771325
Position 8944: 0.004127215156356919
Position 1511: 0.003692659862845817
Position 691: 0.003083557698011572
Position 632: 0.0026900119283877486
Position 3346: 0.0026788221426204952
Position 3397: 0.0021093725989877327
Position 11953: 0.0019313783946947407
Position 522: 0.001446659737692399
Position 8841: 0.00047343771383599503
Position 9565: 0.0003374167381991239
Position 8873: 0.0002901705104014188
