Gene = PIP
index = 1032
Annotated 5SS: [ 135 3223 7113]
Annotated 3SS: [3116 6997 7440]
SMsplice 5SS: [ 135 3223 7113]
SMsplice 3SS: [3116 6997 7440]
top_k =  100
Partition function (log Z): -6.725036995433428

Sorted 5' Splice Sites (High to Low Probability):
Position 135: 0.9995675680763049
Position 3223: 0.9942150059695373
Position 7113: 0.5234979643036878
Position 3495: 0.4205784462308479
Position 5276: 0.2351153665040167
Position 3815: 0.2035767671308907
Position 3468: 0.09586309744977663
Position 6064: 0.03841881584422693
Position 3612: 0.032311297744088
Position 3658: 0.025171519800039035
Position 5533: 0.01691178090238786
Position 3833: 0.016685296635496432
Position 3533: 0.009207859847105015
Position 4523: 0.004660529802667183
Position 1197: 0.003832969288173837
Position 3157: 0.0011134190461031144
Position 513: 0.0006677894995728978
Position 394: 0.00041761735278813866
Position 1048: 0.0004146702636297619
Position 384: 0.00040337721409112147
Position 2491: 0.00034286310855035545
Position 2486: 0.00020440163146865102
Position 2494: 0.00017488449204052227
Position 1184: 0.00014430178645327848
Position 278: 8.411099911195278e-05
Position 701: 7.457613897595889e-05
Position 879: 3.949668523406195e-05
Position 759: 2.3883715670981554e-05
Position 60: 4.6685742292961776e-07
Position 105: 1.8906344491129093e-07
Position 371: 1.5158678407067656e-07
Position 91: 8.381107702505378e-08
Position 334: 2.727606148185608e-08
Position 192: 3.86838629284947e-09
Position 28: 6.78688612881635e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 3116: 0.9159922854424506
Position 7440: 0.893747784785307
Position 3403: 0.6315062390297717
Position 6997: 0.5493601310017799
Position 5017: 0.12454252726319207
Position 5130: 0.1155202578887854
Position 3658: 0.10413797115824946
Position 3070: 0.07724171138539168
Position 3720: 0.06527655200712915
Position 5942: 0.03841881584422693
Position 3605: 0.022098810080464878
Position 4153: 0.018266583297819286
Position 5387: 0.018137988845311585
Position 6284: 0.01226307233130386
Position 4197: 0.011795094263747299
Position 4098: 0.004661187951473261
Position 3354: 0.0042912405440612075
Position 1014: 0.0030755394626901782
Position 7594: 0.0029734767290911547
Position 2830: 0.002094333507745952
Position 3312: 0.001158534478811234
Position 299: 0.001107509351317004
Position 3794: 0.0010064249515261158
Position 1103: 0.0008083750946273512
Position 3926: 0.0007793381032792198
Position 239: 0.0006970608326135441
Position 3384: 0.0006201933675173071
Position 3360: 0.00048122973964111643
Position 3739: 0.00040740081796347536
Position 1120: 0.000357139085514924
Position 2373: 0.00035318775910309335
Position 2293: 0.0002825020129751784
Position 2404: 8.645945998125764e-05
Position 452: 8.567784516189285e-05
Position 900: 7.637238772316281e-05
Position 3409: 1.159182515125827e-05
