Gene = MTPN
index = 893
Annotated 5SS: [  288 25800 26718]
Annotated 3SS: [25685 26633 47303]
SMsplice 5SS: [  288  2051  4463 25800 26718 29962]
SMsplice 3SS: [ 1859  4369 25685 26633 29847 47303]
top_k =  100
Partition function (log Z): -25.063749191876564

Sorted 5' Splice Sites (High to Low Probability):
Position 288: 0.8774913972691027
Position 4463: 0.6761394389096236
Position 2051: 0.5917982233187444
Position 4120: 0.4455735687373379
Position 1662: 0.2094265934886422
Position 1901: 0.16337301855507153
Position 653: 0.13111278233108256
Position 325: 0.06465546008467687
Position 468: 0.026545160239198208
Position 1609: 0.019680522820537182
Position 1387: 0.017399305462004196
Position 3500: 0.015591785893485907
Position 2591: 0.01309316476865222
Position 267: 0.005170812092834541
Position 493: 0.005097752460168274
Position 307: 0.0021378036149159113
Position 898: 0.00190980140906887
Position 933: 0.0012833149159933838
Position 218: 0.0009107650952237304
Position 1304: 0.0007323963422609515
Position 1559: 0.0006038595165977681
Position 1442: 0.0005246898690974358
Position 380: 0.00023089246824580797
Position 2019: 0.00013214032786111667
Position 691: 7.815015583514041e-05
Position 476: 2.0318053940682722e-05
Position 236: 1.862665179931545e-05

Sorted 3' Splice Sites (High to Low Probability):
Position 1859: 0.8581671303564824
Position 4369: 0.7496857605534056
Position 4001: 0.47249266471710916
Position 8880: 0.28607048928916057
Position 7219: 0.11402854651301123
Position 7240: 0.09186704310597035
Position 1555: 0.08454934127617053
Position 513: 0.06515011950770543
Position 2464: 0.056613901398555266
Position 4823: 0.05437479576953333
Position 1416: 0.05320056213609555
Position 576: 0.04348608956465467
Position 1502: 0.03417873045930975
Position 6428: 0.030184435486584053
Position 2834: 0.02577274803507882
Position 4252: 0.025237694338913826
Position 4921: 0.024468305957988542
Position 1512: 0.023858871976720947
Position 5491: 0.022496191945927786
Position 3425: 0.015591785893485907
Position 1223: 0.014661442992726807
Position 6129: 0.014625516811085627
Position 4558: 0.01452595587178079
Position 4632: 0.014070448874421656
Position 4461: 0.013721259210950174
Position 1367: 0.012483881013470121
Position 1474: 0.011827524278383354
Position 5683: 0.009427709284159001
Position 2494: 0.008147551165655227
Position 1523: 0.006202231672081908
Position 3177: 0.00407334058753588
Position 492: 0.0035872963884468908
Position 517: 0.0024450028971915567
Position 1342: 0.002231703701039357
Position 1635: 0.0016508684772323196
Position 749: 0.0016228118907297784
Position 1302: 0.0014309183982581669
Position 1254: 0.0011499226596969772
Position 627: 0.0005386911347242096
Position 554: 0.0004263457435639052
Position 604: 0.00031740071929255885
Position 1976: 5.8065343978803686e-05
Position 578: 1.751037724090614e-05
Position 1337: 5.1437223029273454e-06
Position 557: 3.8521702770612945e-06
Position 467: 2.7664226748857027e-06
Position 549: 1.3747612420974196e-06
