Gene = STPG1
index = 1349
Annotated 5SS: [   52 12407 29824 34073 40024 44052 52875]
Annotated 3SS: [12268 29721 33901 39914 43885 52683 55105]
SMsplice 5SS: [   52  3023 12407 16655 22165 29824 34073 40024 44052]
SMsplice 3SS: [ 2907 12268 16522 22045 29721 33901 39914 43885 55105]
top_k =  100
Partition function (log Z): -19.92928498662915

Sorted 5' Splice Sites (High to Low Probability):
Position 12407: 0.9999995122956129
Position 22165: 0.9980196949462329
Position 29824: 0.9410365086022539
Position 52: 0.890656970997349
Position 16655: 0.7188850346573809
Position 3023: 0.6357169178326348
Position 12674: 0.566088029055408
Position 34073: 0.5166208122053181
Position 1421: 0.11521251871014307
Position 1592: 0.10002515452132416
Position 627: 0.04045699043140396
Position 160: 0.03332902941189157
Position 4475: 0.030394751932560107
Position 505: 0.0054585714521808255
Position 189: 0.0037629342952696515
Position 353: 0.0024075219703365686
Position 1164: 0.0018342586556154838
Position 934: 0.0013973917911412022
Position 89: 0.0010187306337277357
Position 4033: 0.0009026689815153731
Position 387: 0.0007948524795724978
Position 273: 0.0007752020109467742
Position 1292: 0.0007739271591213996
Position 717: 0.0006676556114862826
Position 14: 0.0005761636075863152

Sorted 3' Splice Sites (High to Low Probability):
Position 12268: 0.9999995122956123
Position 22045: 0.9996126389112737
Position 29721: 0.9703806908566501
Position 16522: 0.7188850346573806
Position 33901: 0.6273251763548028
Position 2907: 0.5972329214767397
Position 12509: 0.387034397037541
Position 35572: 0.36803604862329675
Position 1395: 0.18584435756534246
Position 12523: 0.17465495961081132
Position 34884: 0.16894915165992613
Position 33851: 0.16710044112671235
Position 34431: 0.05287581349278973
Position 29922: 0.045601487927733594
Position 4372: 0.027453656632505426
Position 2939: 0.01880773233272823
Position 30026: 0.01598602057688825
Position 2846: 0.015300903077564083
Position 28248: 0.011833627212361905
Position 31132: 0.011783181045424149
Position 1329: 0.01098537136861918
Position 26349: 0.00805160527475014
Position 22262: 0.0053468735888973565
Position 2807: 0.004375360945603221
Position 4368: 0.002941350242487018
Position 24010: 0.0024068980135742795
Position 12536: 0.0022602709242801
Position 12546: 0.002222392032014242
Position 1542: 0.0010058547687702946
Position 3790: 0.00090266898151537
Position 1333: 0.0005472158796315992
Position 1060: 0.0004187030793150566
Position 1034: 0.0003464440239685791
Position 19316: 0.00017914171638086425
Position 12729: 4.676965823669641e-05
Position 14056: 4.097081686531232e-05
Position 14302: 2.5329945704513456e-05
Position 13253: 1.0670697915408997e-05
Position 3119: 1.5981540445952389e-07
