Gene = CAMP
index = 276
Annotated 5SS: [ 366 1115 1328]
Annotated 3SS: [1006 1255 1945]
SMsplice 5SS: [ 366 1115 1328]
SMsplice 3SS: [1006 1255 1415]
top_k =  100
Partition function (log Z): -2.873224044048701

Sorted 5' Splice Sites (High to Low Probability):
Position 366: 0.9742634974252236
Position 1328: 0.9639805064984284
Position 1115: 0.9288583777521422
Position 915: 0.5244087909514471
Position 587: 0.15363694296986338
Position 1140: 0.036019814690415396
Position 1586: 0.01727478091007777
Position 231: 0.0058197299407618825
Position 89: 0.004800628464261005
Position 1499: 0.004209282649238458
Position 258: 0.0026105457065239753
Position 940: 0.001752444679678982
Position 810: 0.0017283301720593723
Position 841: 0.0016519477351056965
Position 625: 0.0015867079466356142
Position 715: 0.00090476078084095
Position 69: 0.0006789762814848267
Position 210: 0.000631000475025645
Position 135: 0.00057994536330896
Position 200: 0.0001642159509820305
Position 203: 7.420585958527889e-05
Position 5: 7.00712363027567e-05
Position 311: 8.92140324383727e-06
Position 279: 1.3777718321373492e-06
Position 413: 6.639512811245966e-07
Position 415: 1.4315697347508347e-07
Position 286: 1.6546235942393092e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 1006: 0.9575017867012311
Position 1255: 0.9113435083059915
Position 1415: 0.6921217663396778
Position 836: 0.1948017382862442
Position 490: 0.19222869278400406
Position 742: 0.1113899747181798
Position 1440: 0.1086906604725357
Position 1945: 0.09169050363160669
Position 878: 0.08546240340226346
Position 775: 0.05097912338465821
Position 1229: 0.040127641513225835
Position 1782: 0.03087338761988113
Position 1699: 0.027841111624658875
Position 586: 0.020029428080905985
Position 1208: 0.01257514874767227
Position 690: 0.012245118599784848
Position 1420: 0.009320980283861252
Position 1472: 0.008799995813657237
Position 1494: 0.007796437044516522
Position 1730: 0.007377546273708289
Position 1537: 0.007012525433609134
Position 294: 0.006470166602291554
Position 1623: 0.005984524446851991
Position 257: 0.0052666284466230525
Position 449: 0.0036528997616800045
Position 1805: 0.003241423117187595
Position 521: 0.002833824495853934
Position 661: 0.002536137986202692
Position 502: 0.002331158155772218
Position 2099: 0.0021560819181931892
Position 1241: 0.0018832847836134817
Position 914: 0.0015889842517596462
Position 839: 0.001488804454675746
Position 1019: 0.001096448556300336
Position 797: 0.0010487555113328612
Position 559: 0.0009784520182423333
Position 1046: 0.0007488086804049402
Position 2064: 0.000681033961199382
Position 844: 0.00046161626839137307
Position 746: 0.0004591280386206147
Position 1317: 0.0003856766303267294
Position 1294: 0.00013165239062490482
Position 355: 4.6961004552583286e-05
Position 452: 2.0020373670392058e-05
Position 265: 1.2641539566084549e-05
Position 308: 9.528145987168528e-07
Position 170: 7.041457606031845e-07
Position 272: 1.5593082546893935e-07
Position 276: 7.636343472097823e-08
Position 178: 4.883454409251274e-08
Position 106: 3.3854686718220994e-08
Position 527: 2.4902150378953662e-08
Position 143: 1.7196674724662356e-08
Position 153: 3.2283327385836835e-09
Position 145: 2.6505285891223275e-09
