Gene = MCL1
index = 822
Annotated 5SS: [ 748 1347]
Annotated 3SS: [1098 2098]
SMsplice 5SS: [ 443  748 1347 2223]
SMsplice 3SS: [ 558 1098 2098 3764]
top_k =  100
Partition function (log Z): -1.9915469835599884

Sorted 5' Splice Sites (High to Low Probability):
Position 748: 0.9599631355790501
Position 443: 0.8384965747958579
Position 1347: 0.8041966907159416
Position 2223: 0.760485683418665
Position 3164: 0.22799746015982503
Position 1305: 0.12435046977386507
Position 84: 0.021829128400616467
Position 1182: 0.018065874018150373
Position 662: 0.011092996282508712
Position 2172: 0.010378372974078969
Position 3932: 0.007064654296217653
Position 3929: 0.004804898406481324
Position 1521: 0.004152657479577589
Position 611: 0.003280746020296015
Position 511: 0.0027151324125404917
Position 1414: 0.0024493596008235597
Position 4: 0.002279511700202101
Position 1155: 0.001822640133593804
Position 1029: 0.0010410787639988592
Position 960: 0.0009281765926415145
Position 1288: 0.0005523195340379101
Position 225: 0.0004581728000540207
Position 494: 0.00041101464189801577
Position 978: 0.00038089679680238664
Position 523: 0.0003468717311011611
Position 819: 0.00033799812282089327
Position 705: 0.00024658592660816174
Position 1734: 0.00020934686289011847
Position 315: 0.00018719490191985118
Position 1793: 0.00018550787182782902
Position 1664: 0.00016084837949472823
Position 998: 0.00012814045671203806
Position 106: 0.00011696819214524696
Position 1008: 7.579824103817544e-05
Position 2499: 7.457715724504988e-05
Position 498: 4.9250276119231007e-05
Position 62: 7.886675745191224e-07
Position 285: 1.0860079922985301e-07
Position 17: 4.236984693789023e-08
Position 324: 4.043790278862105e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 2098: 0.9724556520898834
Position 1098: 0.9427941659995623
Position 3764: 0.5448440702957845
Position 558: 0.4548479208603661
Position 561: 0.358729116356054
Position 3058: 0.13401209998719926
Position 2924: 0.05664517388593105
Position 3028: 0.04775027637709252
Position 3704: 0.038865120856646264
Position 3786: 0.038706428880991434
Position 2713: 0.033375905398360266
Position 4142: 0.02484532768219238
Position 626: 0.0168780679701675
Position 3817: 0.016386131267157364
Position 3011: 0.0162861490996006
Position 2948: 0.01546476064490062
Position 3579: 0.012033569132509692
Position 1057: 0.008429220534287999
Position 4572: 0.008092213315358547
Position 3683: 0.008074294792412886
Position 3396: 0.00790046908791808
Position 3417: 0.006170928168347595
Position 3178: 0.005831028804531278
Position 4340: 0.005275764510898407
Position 3064: 0.004652433286894329
Position 1456: 0.0037963436321039076
Position 2601: 0.0034590661970741263
Position 1174: 0.0028100498243776775
Position 523: 0.0023148104676323114
Position 2805: 0.0022688389921462705
Position 875: 0.0022527175980551527
Position 563: 0.0022342822081144334
Position 590: 0.0016722045068470154
Position 2535: 0.0016015952636022368
Position 679: 0.001166496022894131
Position 1564: 0.001149838504732707
Position 1586: 0.0011387917730695263
Position 2969: 0.0009487628753604965
Position 661: 0.0008266539891027774
Position 273: 0.0006698650117490081
Position 1284: 0.0006219986714388265
Position 641: 0.0005478710719841704
Position 676: 0.000530257457517629
Position 572: 0.00047764729425600014
Position 314: 0.00042715051813037736
Position 936: 0.0002205444951011502
Position 599: 0.00020139228151270827
Position 1719: 0.00018550787182782877
Position 879: 8.192562508532183e-05
Position 566: 7.842001876330104e-05
Position 386: 6.964359243815177e-05
Position 2884: 5.2973110043086625e-05
Position 429: 5.0709476800878116e-05
Position 179: 3.1520477878245896e-05
Position 343: 2.077553505119852e-05
Position 2171: 1.1236755932459182e-05
Position 1995: 1.0609686950953527e-05
Position 182: 7.910400875619186e-06
Position 156: 6.242576882122083e-06
Position 389: 5.5360054419635505e-06
Position 283: 3.7477790669421793e-06
Position 176: 3.3088667047760123e-06
Position 204: 2.5065864198533936e-06
Position 238: 2.253522154571461e-06
Position 1036: 1.988195873905389e-06
Position 133: 1.672769861692826e-06
Position 76: 1.1095301850340506e-06
Position 2404: 9.936129236687603e-07
Position 431: 8.113363520245047e-07
Position 200: 5.018475237056965e-07
Position 434: 5.016028605193868e-07
Position 2307: 4.848497490315686e-07
Position 722: 4.202756619867277e-07
Position 396: 4.1524903123604706e-07
Position 494: 3.4006866838150696e-07
Position 250: 1.4193079991656868e-07
