Gene = FPGS
index = 564
Annotated 5SS: [ 188 1539 1678 1826 4213 4412 4608 4814 5437 5831 6015 6960 7232 8137]
Annotated 3SS: [ 1409  1623  1760  4097  4333  4545  4710  5358  5682  5924  6808  7155
  8069 10319]
SMsplice 5SS: [  282  1539  1678  1923  4238  4412  4608  4814  5437  5831  6015  6960
  7232  8137 10449]
SMsplice 3SS: [ 1439  1623  1760  4116  4333  4545  4710  5358  5682  5924  6808  7155
  8069 10319 10966]
top_k =  100
Partition function (log Z): 44.83609596776701

Sorted 5' Splice Sites (High to Low Probability):
Position 7232: 0.9996541173524831
Position 6960: 0.9974124102036598
Position 4608: 0.9901733156262609
Position 6015: 0.9865872111728002
Position 1678: 0.9831653473435709
Position 4412: 0.9830372095276472
Position 5831: 0.9828590274224359
Position 4814: 0.9320949904970923
Position 5437: 0.9303637378943547
Position 1539: 0.92999847427035
Position 10449: 0.782517540683242
Position 282: 0.5753299759975166
Position 8137: 0.49950490240265516
Position 1923: 0.44914126701268864
Position 1826: 0.44235001033903043
Position 4238: 0.39745068816307694
Position 4213: 0.3778096878747093
Position 4242: 0.21994331632129396
Position 188: 0.17795969854228355
Position 530: 0.1481263942770603
Position 7855: 0.1351853117243114
Position 8185: 0.08149131477270763
Position 1155: 0.06493470921459221
Position 1544: 0.056906331505403765
Position 8144: 0.0450466995002683
Position 5468: 0.036304304176156404
Position 125: 0.033653137887269334
Position 7611: 0.033426617499930485
Position 2292: 0.03264237415659503
Position 8220: 0.028053399829659813
Position 4938: 0.024001389046901387
Position 5000: 0.023744227190413573
Position 9316: 0.0235940093441929
Position 511: 0.017578769948410056
Position 3079: 0.017290078906290255
Position 5859: 0.016182024692927965
Position 8213: 0.013942101495894066
Position 745: 0.012833077342745327
Position 233: 0.011403247803396735
Position 1698: 0.010802759514288204
Position 5472: 0.009870264826942202
Position 4901: 0.007828949589603451
Position 5090: 0.007084270353477512
Position 1464: 0.006858442247034833
Position 1305: 0.0054494493333737525
Position 1371: 0.005115320052165755
Position 4567: 0.0034355438023883638
Position 6283: 0.0032723703754395993
Position 7896: 0.0028419108270924752
Position 6269: 0.0023557229210722334
Position 10749: 0.002057089746656341
Position 8978: 0.001913450944598465
Position 4173: 0.0015144418080126735
