Gene = CTC-534A2.2
index = 418
Annotated 5SS: [342]
Annotated 3SS: [4702]
SMsplice 5SS: [342]
SMsplice 3SS: [3142]
top_k =  100
Partition function (log Z): -11.05593308355439

Sorted 5' Splice Sites (High to Low Probability):
Position 342: 0.8056879104972184
Position 163: 0.1961352701886728
Position 3224: 0.07094421990791165
Position 899: 0.04273846159153588
Position 5780: 0.012247714210475633
Position 189: 0.005637129874454105
Position 546: 0.0034256289456840896
Position 1442: 0.00093087982790055
Position 656: 0.0006439586801757568
Position 148: 0.0005065442051341906
Position 182: 0.00028614906248860725
Position 136: 3.53774985543363e-05
Position 76: 3.173392917249623e-05
Position 266: 2.5915641253825937e-05
Position 222: 2.161830545191246e-05
Position 132: 1.3043568553293453e-05
Position 273: 2.5238964196495344e-06
Position 52: 1.3020038445688218e-06
Position 54: 9.733951577463334e-07
Position 10: 9.205910099090688e-07
Position 413: 8.8565512314064e-07
Position 26: 8.649983779672166e-07
Position 302: 7.462166045321042e-07
Position 246: 7.849215713663724e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 3142: 0.240206329558319
Position 3317: 0.15724019475189593
Position 6104: 0.11395857668364828
Position 3284: 0.07995184925428686
Position 578: 0.07844799738308059
Position 3715: 0.06784930426757652
Position 5319: 0.056381305391950375
Position 508: 0.041820028373784957
Position 4702: 0.041225806408817976
Position 528: 0.0373663656556295
Position 4763: 0.03452780170018568
Position 5679: 0.025622365713124328
Position 440: 0.015555346380154768
Position 5568: 0.015517496784699238
Position 269: 0.015146759237482673
Position 4654: 0.01514217034511057
Position 1547: 0.014452348844143191
Position 246: 0.013947171870449577
Position 960: 0.011602733733492729
Position 1014: 0.011353059861690638
Position 4392: 0.011079699287798032
Position 474: 0.009488598690736483
Position 1568: 0.007784613762455964
Position 4052: 0.0044366592607979335
Position 4048: 0.0039798586599400585
Position 795: 0.0038278159763133826
Position 2604: 0.0035477985122006226
Position 889: 0.002321590710023951
Position 2065: 0.001736050485183084
Position 416: 0.0014642978940254837
Position 817: 0.0011529923213690325
Position 1295: 0.0002804519718017174
Position 319: 0.0002206195043492408
Position 643: 0.00022041912951599143
Position 260: 0.00021556129365265752
Position 1342: 9.433042447432708e-05
Position 1205: 6.771502400407439e-05
Position 284: 4.97512721901063e-05
Position 735: 1.558243679322185e-05
Position 221: 1.4987058873892529e-05
Position 322: 4.240874085867266e-06
Position 302: 1.1713795075019666e-06
Position 175: 2.038744699037277e-08
Position 99: 1.2666268770091007e-08
