Gene = F3
index = 520
Annotated 5SS: [ 264 1544 5836 8711 9480]
Annotated 3SS: [ 1431  5635  8531  9319 11203]
SMsplice 5SS: [ 264 1544 5836 8711]
SMsplice 3SS: [ 1431  5635  8531 11203]
top_k =  100
Partition function (log Z): -4.0459991641195865

Sorted 5' Splice Sites (High to Low Probability):
Position 264: 0.9709997853246013
Position 8711: 0.9680430583369605
Position 5836: 0.9557861393173123
Position 1544: 0.8031148157352391
Position 9480: 0.47106842026067075
Position 6043: 0.15178653165320727
Position 6135: 0.1385267098723504
Position 3145: 0.06614099190505505
Position 2649: 0.057372618462891184
Position 1229: 0.053798022607300953
Position 9888: 0.041048080597849146
Position 9443: 0.03765099578583649
Position 909: 0.02413845584095255
Position 931: 0.017065427184300392
Position 6103: 0.012567559940717638
Position 6446: 0.0121157535860653
Position 588: 0.00842624119628628
Position 6089: 0.007939125517236753
Position 7586: 0.007310618705385373
Position 5956: 0.0070590044901085
Position 248: 0.00691612172460168
Position 1352: 0.005239980149894091
Position 5993: 0.004440164044340675
Position 3014: 0.0038121536997458285
Position 5779: 0.0037243524353013212
Position 1824: 0.003567763410859042
Position 2545: 0.003006597187932299
Position 786: 0.0026566743126340896
Position 651: 0.0003084045861868132
Position 8975: 0.00014320677641918258
Position 8570: 0.00013410131244013488
Position 427: 4.475409995745087e-05
Position 158: 3.522380537817441e-05
Position 520: 3.4697228376917654e-05
Position 1553: 1.4638392132448011e-05
Position 1574: 5.7795505994047095e-06
Position 188: 1.4855773217063908e-07
Position 514: 1.255678089744173e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 8531: 0.9965553653063473
Position 1431: 0.7863357079837036
Position 11203: 0.7034700771283383
Position 5635: 0.6720735574843851
Position 9319: 0.43888345544436547
Position 5949: 0.24627404675850817
Position 5679: 0.2392971980310022
Position 9715: 0.1196748172408754
Position 12133: 0.07315911758120837
Position 5987: 0.07135846703497184
Position 3041: 0.06614099190505504
Position 2388: 0.05727446668245622
Position 9075: 0.05071276585397197
Position 5760: 0.04856118817141412
Position 9368: 0.045033493640238925
Position 733: 0.03783807279475149
Position 1153: 0.030963744041975185
Position 10603: 0.01623827957268905
Position 9416: 0.015419132624164885
Position 11729: 0.01540705308355592
Position 9253: 0.014480222363290782
Position 6334: 0.01211575358606529
Position 10138: 0.011379536160430203
Position 1015: 0.010310783727479544
Position 1452: 0.00772960489173295
Position 5910: 0.007435094019189446
Position 7373: 0.00731061870538538
Position 1351: 0.005127548588326572
Position 9712: 0.005106339997227233
Position 819: 0.0050616519968103655
Position 9589: 0.004685023007725279
Position 2876: 0.0038121536997458285
Position 1649: 0.0036922314751449406
Position 1200: 0.0035118890085964276
Position 8799: 0.0029605392179598683
Position 2450: 0.002935551155942574
Position 775: 0.0029259705928826236
Position 1104: 0.0017818920525208147
Position 8916: 0.0012912167975940708
Position 1255: 0.0004779599538341437
Position 1109: 0.000393009594997862
Position 785: 0.0002821478097991781
Position 9219: 0.0002455130254527219
Position 2628: 9.961505266840652e-05
Position 2604: 6.95827597562986e-05
Position 1524: 5.6964514091630836e-05
Position 6070: 4.8568681468534e-05
Position 8802: 4.291405009124233e-05
Position 1306: 2.3483124791735377e-06
