Gene = IQCC
index = 713
Annotated 5SS: [  63  637 1101 1460]
Annotated 3SS: [ 492  847 1340 1578]
SMsplice 5SS: [  63  637 1101 1460]
SMsplice 3SS: [ 492  847 1340 1578]
top_k =  100
Partition function (log Z): -1.9803124687170954

Sorted 5' Splice Sites (High to Low Probability):
Position 63: 0.9274156687130352
Position 1101: 0.9254931067287923
Position 1460: 0.829288524371216
Position 637: 0.7198722363798842
Position 1452: 0.14873566069812574
Position 48: 0.020359625403023617
Position 559: 0.017566714288041737
Position 568: 0.013060034725873526
Position 546: 0.007950245031809716
Position 389: 0.006224648345563702
Position 39: 0.0025820029367914434
Position 927: 0.0006990690911409526
Position 514: 0.00038957382016587504
Position 82: 0.00016108120190459787
Position 965: 0.0001316364373904968
Position 152: 8.572934732003113e-05
Position 50: 4.0784548786257344e-05
Position 384: 3.824311645510843e-05
Position 976: 1.5032927245266601e-05
Position 887: 1.3403138654491929e-05
Position 116: 3.4749599671006776e-07
Position 11: 6.992301256853944e-10
Position 320: 6.12655298962974e-10
Position 157: 5.439047049024089e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 1340: 0.9788134174864508
Position 1578: 0.8380631225879945
Position 847: 0.578591410686826
Position 492: 0.5553013830751571
Position 1036: 0.1714107527624322
Position 388: 0.11284676428429874
Position 850: 0.10962891016655196
Position 1651: 0.06372070316937566
Position 525: 0.03846969287669682
Position 1014: 0.03639270260655206
Position 1541: 0.020885410939765765
Position 531: 0.01954597454342492
Position 1343: 0.013770097126969465
Position 1968: 0.011321504953853525
Position 782: 0.00909597422785026
Position 932: 0.004709005376914529
Position 2012: 0.004633196127950768
Position 2631: 0.004576713860671671
Position 462: 0.004394801173607118
Position 2510: 0.004382074210421675
Position 1787: 0.003980220826985698
Position 1892: 0.0037305864490823253
Position 2233: 0.003666488460217856
Position 1910: 0.0034606625196275972
Position 2358: 0.0032820476625396505
Position 1538: 0.0026698393331958657
Position 2549: 0.002596347230649696
Position 1308: 0.0025942741715798247
Position 2216: 0.002386377941106518
Position 1368: 0.0023775614237206213
Position 2252: 0.0021175299271325512
Position 2689: 0.0014921982222687814
Position 2027: 0.0009765736535817082
Position 2362: 0.0008453140882083079
Position 423: 0.0006152421615974696
Position 878: 0.0005445844342132889
Position 2098: 0.0005148212559755272
Position 1349: 0.00045908759993924727
Position 1795: 0.0003904980835104498
Position 865: 0.00023443230819663599
Position 281: 0.00017481447013850183
Position 700: 7.155615040538726e-05
Position 723: 6.650408499921257e-05
Position 157: 6.328277485021995e-05
Position 1292: 6.031790437689198e-05
Position 428: 5.6816989179994886e-05
Position 137: 4.830776376400187e-05
Position 355: 4.241685529088679e-05
Position 1225: 3.313560322745874e-05
Position 212: 4.858324367923454e-06
Position 339: 4.7660175905321885e-06
Position 217: 2.966981036871784e-06
Position 141: 2.3320015519320087e-06
Position 185: 1.037782536219063e-06
Position 103: 7.70649625251139e-07
Position 362: 5.754023849460148e-07
Position 617: 3.1366505770561295e-07
Position 1378: 2.971855293923192e-07
