Gene = LARS
index = 762
Annotated 5SS: [  173  5114  9974 10751 14533 18351 22287 23254 24933 25258 28768 28927
 29487 30799 33039 38037 38189 38394 39249 39789 42457 47060 49763 51642
 52643 53683 53989 56226 58679 60169 62290]
Annotated 3SS: [ 4994  9885 10669 14394 18188 22173 23189 24864 25031 28679 28849 29432
 30657 32960 37950 38122 38310 39109 39575 42398 46995 49578 51550 52501
 53541 53877 56114 58573 60072 62156 68348]
SMsplice 5SS: [  173  5114  9974 14533 18351 22287 23409 28768 28927 30799 33109 38037
 38189 38394 47060 49654 51642 52643 53683 56226 58679 60169 62290 62914]
SMsplice 3SS: [ 4994  9885 14455 18188 22173 23189 28679 28849 30657 32960 37950 38122
 38310 46995 49578 51550 52501 53541 56114 58573 60072 62156 62780 68348]
top_k =  100
Partition function (log Z): 30.12440330219192

Sorted 5' Splice Sites (High to Low Probability):
Position 56226: 1.0000000000000024
Position 39789: 0.9999612441000297
Position 28927: 0.9987894684320613
Position 5114: 0.9979015477359753
Position 47060: 0.9916017250452339
Position 14533: 0.9836687944627865
Position 28768: 0.9806642646173241
Position 22287: 0.9761332280652635
Position 62290: 0.9639048988295952
Position 38189: 0.9594218465737614
Position 60169: 0.9564479854376845
Position 53683: 0.9494312375441772
Position 52643: 0.9378129130641548
Position 30799: 0.9200129507364845
Position 38037: 0.9163254816237719
Position 173: 0.9099310681470489
Position 38394: 0.9074596961995411
Position 18351: 0.8962152080664433
Position 9974: 0.8866973692999485
Position 62914: 0.8218830486586329
Position 58679: 0.6958711574818246
Position 33109: 0.692443021249328
Position 23409: 0.6915739781388154
Position 29487: 0.6080700067945124
Position 51642: 0.6001351400308832
Position 49654: 0.591154884752202
Position 10751: 0.5580556496399438
Position 53989: 0.5479141126516736
Position 49763: 0.4088451152478031
Position 31210: 0.3650559464777717
Position 25258: 0.3590070229978341
Position 66604: 0.30891963242612935
Position 33039: 0.3075569787506774
Position 39249: 0.29925683749985177
Position 49404: 0.2623134185680024
Position 39253: 0.25710131803284025
Position 58837: 0.2368821032330059
Position 39509: 0.23131650531662704
Position 55682: 0.22327933451233895
Position 38506: 0.2211664862050124
Position 63028: 0.2104890316848391
Position 62658: 0.20375435583266827
Position 21497: 0.1541997722414415
Position 39287: 0.10960033485313563
Position 34534: 0.104442877765238
Position 63966: 0.1032923957315322
Position 3340: 0.08164601177429041
Position 64367: 0.07273571270802809
Position 12316: 0.06791522682475136
Position 99: 0.06710526120050275
Position 60793: 0.06699889979529261
Position 57430: 0.06267526088357143
Position 521: 0.05942909449858319
